site,year,month_utc,daylight_bins,valid_daylight_pv,valid_daylight_joint,zero_daylight_pv,zero_pv_irradiance_gt200,missing_irradiance_at_zero,signed_mean_negative_at_zero
nist,2015,1,292,292,292,19,0,0,19
nist,2015,2,302,299,299,51,23,0,12
nist,2015,3,360,358,358,40,12,0,23
nist,2015,4,396,348,348,3,0,0,3
nist,2015,5,434,83,83,0,0,0,0
nist,2015,6,437,414,414,5,0,0,4
nist,2015,7,449,446,446,3,0,0,3
nist,2015,8,422,408,408,72,51,0,2
nist,2015,9,366,348,348,24,17,0,1
nist,2015,10,345,316,316,7,0,0,7
nist,2015,11,300,290,57,274,20,230,0
nist,2015,12,301,300,300,40,8,0,9
nist,2016,1,292,289,289,22,6,0,17
nist,2016,2,313,313,313,13,0,0,13
nist,2016,3,361,353,353,3,0,0,3
nist,2016,4,398,373,373,39,21,0,6
nist,2016,5,434,430,430,6,0,0,6
nist,2016,6,438,429,429,4,0,0,4
nist,2016,7,449,447,447,6,2,0,4
nist,2016,8,422,416,416,2,0,0,2
nist,2016,9,365,358,358,4,0,0,4
nist,2016,10,344,320,320,25,17,0,2
nist,2016,11,300,297,297,4,0,0,4
nist,2016,12,301,301,301,7,0,0,7
colorado,2015,1,309,309,309,2,0,0,2
colorado,2015,2,294,294,294,1,0,0,1
colorado,2015,3,365,365,365,3,3,0,3
colorado,2015,4,394,394,394,0,0,0,0
colorado,2015,5,434,434,434,0,0,0,0
colorado,2015,6,420,420,420,0,0,0,0
colorado,2015,7,434,434,434,0,0,0,0
colorado,2015,8,432,432,432,0,0,0,0
colorado,2015,9,361,361,361,0,0,0,0
colorado,2015,10,347,347,347,0,0,0,0
colorado,2015,11,300,300,300,1,0,0,1
colorado,2015,12,310,310,310,4,0,0,4
colorado,2016,1,309,309,309,0,0,0,0
colorado,2016,2,305,305,305,0,0,0,0
colorado,2016,3,366,366,366,4,2,0,4
colorado,2016,4,396,396,396,0,0,0,0
colorado,2016,5,434,434,434,1,0,0,1
colorado,2016,6,420,420,420,0,0,0,0
colorado,2016,7,434,434,434,0,0,0,0
colorado,2016,8,432,432,432,0,0,0,0
colorado,2016,9,361,361,360,0,0,0,0
colorado,2016,10,346,346,346,0,0,0,0
colorado,2016,11,300,300,300,0,0,0,0
colorado,2016,12,310,309,309,2,0,0,2
