system_id,year,month,metric_id,sensor_name,catalog_units,catalog_scale,catalog_offset,rows,distinct_native_timestamps,finite_values,utc_populated,positive_values,raw_min,raw_median,raw_q99,raw_max,short_gap_median_seconds,short_gap_mode_seconds,native_hours_with_samples
1367,2016,1,3091,ac_power,W,1.0,0.0,0,0,0,0,0,,,,,,,0
1367,2016,2,3091,ac_power,W,1.0,0.0,0,0,0,0,0,,,,,,,0
1367,2016,3,3091,ac_power,W,1.0,0.0,5977,5977,5977,0,5430,0.0,105019.532,246038.28143999996,262128.906,60.0,60.0,109
1367,2016,4,3091,ac_power,W,1.0,0.0,24500,24500,24500,0,22051,0.0,97128.907,235839.844,260605.469,60.0,60.0,441
1367,2016,5,3091,ac_power,W,1.0,0.0,27085,27085,27085,0,24422,0.0,115019.532,238831.25012,260917.969,60.0,60.0,477
1367,2016,6,3091,ac_power,W,1.0,0.0,27277,27277,27277,0,24002,0.0,124648.438,223632.812,252050.781,60.0,60.0,480
1367,2016,7,3091,ac_power,W,1.0,0.0,27650,27650,27650,0,24670,0.0,124160.15650000001,217783.39831999998,253925.781,60.0,60.0,494
1367,2016,8,3091,ac_power,W,1.0,0.0,26067,26067,26067,0,23439,0.0,105019.532,218053.51588,256386.72,60.0,60.0,468
1367,2016,9,3091,ac_power,W,1.0,0.0,23278,23278,23278,0,20870,0.0,110556.641,207519.53123,249804.688,60.0,60.0,415
1367,2016,10,3091,ac_power,W,1.0,0.0,21961,21961,21961,0,19552,0.0,89746.094,193496.094,239277.343,60.0,60.0,403
1367,2016,11,3091,ac_power,W,1.0,0.0,16324,16324,16324,0,14435,0.0,89130.85949999999,171119.33638000002,202851.563,60.0,60.0,292
1367,2016,12,3091,ac_power,W,1.0,0.0,0,0,0,0,0,,,,,,,0
1367,2016,1,4195,poa_irradiance,W/m^2,1.0,0.0,44640,44640,44640,0,12730,0.0,0.0,47.3,67.9,60.0,60.0,744
1367,2016,2,4195,poa_irradiance,W/m^2,1.0,0.0,41703,41703,41703,0,15842,0.0,0.0,56.4,64.0,60.0,60.0,696
1367,2016,3,4195,poa_irradiance,W/m^2,1.0,0.0,44442,44442,44442,0,17615,0.0,0.0,61.8,78.5,60.0,60.0,744
1367,2016,4,4195,poa_irradiance,W/m^2,1.0,0.0,43122,43122,43122,0,17515,0.0,0.0,67.1,93.0,60.0,60.0,720
1367,2016,5,4195,poa_irradiance,W/m^2,1.0,0.0,44552,44552,44552,0,18175,0.0,0.0,61.0,79.3,60.0,60.0,744
1367,2016,6,4195,poa_irradiance,W/m^2,1.0,0.0,43113,43113,43113,0,11036,0.0,0.0,25.9,35.8,60.0,60.0,720
1367,2016,7,4195,poa_irradiance,W/m^2,1.0,0.0,44005,44005,44005,0,10457,0.0,0.0,22.1,27.4,60.0,60.0,736
1367,2016,8,4195,poa_irradiance,W/m^2,1.0,0.0,44544,44544,44544,0,11009,0.0,0.0,25.1,32.8,60.0,60.0,744
1367,2016,9,4195,poa_irradiance,W/m^2,1.0,0.0,43118,43118,43118,0,12098,0.0,0.0,28.2,35.0,60.0,60.0,720
1367,2016,10,4195,poa_irradiance,W/m^2,1.0,0.0,44573,44573,44573,0,11721,0.0,0.0,28.2,43.4,60.0,60.0,744
1367,2016,11,4195,poa_irradiance,W/m^2,1.0,0.0,43127,43127,43127,0,10901,0.0,0.0,28.2,38.1,60.0,60.0,720
1367,2016,12,4195,poa_irradiance,W/m^2,1.0,0.0,44489,44489,44489,0,8464,0.0,0.0,25.1,35.0,60.0,60.0,744
1367,2017,1,3091,ac_power,W,1.0,0.0,0,0,0,0,0,,,,,,,0
