year,clock,measurement_shift_minutes,poa_threshold,nonexistent_or_ambiguous_grid_slots,bright_quarters,bright_quarters_geometric_night
2016,fixed_utc_plus_5,-15,20,0,15958,29
2016,fixed_utc_plus_5,-15,200,0,8448,0
2016,fixed_utc_plus_5,0,20,0,15958,0
2016,fixed_utc_plus_5,0,200,0,8448,0
2016,fixed_utc_plus_5,15,20,0,15958,32
2016,fixed_utc_plus_5,15,200,0,8448,0
2016,fixed_utc_plus_4,-15,20,0,15958,1082
2016,fixed_utc_plus_4,-15,200,0,8448,10
2016,fixed_utc_plus_4,0,20,0,15958,751
2016,fixed_utc_plus_4,0,200,0,8448,0
2016,fixed_utc_plus_4,15,20,0,15958,443
2016,fixed_utc_plus_4,15,200,0,8448,0
2016,civil_eastern,-15,20,8,15958,740
2016,civil_eastern,-15,200,8,8448,7
2016,civil_eastern,0,20,8,15958,514
2016,civil_eastern,0,200,8,8448,0
2016,civil_eastern,15,20,8,15958,322
2016,civil_eastern,15,200,8,8448,0
2017,fixed_utc_plus_5,-15,20,0,15997,40
2017,fixed_utc_plus_5,-15,200,0,8673,0
2017,fixed_utc_plus_5,0,20,0,15997,1
2017,fixed_utc_plus_5,0,200,0,8673,0
2017,fixed_utc_plus_5,15,20,0,15997,27
2017,fixed_utc_plus_5,15,200,0,8673,0
2017,fixed_utc_plus_4,-15,20,0,15997,1076
2017,fixed_utc_plus_4,-15,200,0,8673,10
2017,fixed_utc_plus_4,0,20,0,15997,752
2017,fixed_utc_plus_4,0,200,0,8673,0
2017,fixed_utc_plus_4,15,20,0,15997,461
2017,fixed_utc_plus_4,15,200,0,8673,0
2017,civil_eastern,-15,20,8,15997,737
2017,civil_eastern,-15,200,8,8673,4
2017,civil_eastern,0,20,8,15997,510
2017,civil_eastern,0,200,8,8673,0
2017,civil_eastern,15,20,8,15997,330
2017,civil_eastern,15,200,8,8673,0
