year,clock,measurement_shift_minutes,poa_threshold,ambiguous_or_nonexistent_slots,bright_minutes,bright_minutes_geometric_night
2016,fixed_mst,-1,20,0,241218,200
2016,fixed_mst,-1,200,0,171763,0
2016,fixed_mst,0,20,0,241218,132
2016,fixed_mst,0,200,0,171763,0
2016,fixed_mst,1,20,0,241218,78
2016,fixed_mst,1,200,0,171763,0
2016,fixed_mdt,-1,20,0,241218,15623
2016,fixed_mdt,-1,200,0,171763,3061
2016,fixed_mdt,0,20,0,241218,15276
2016,fixed_mdt,0,200,0,171763,2938
2016,fixed_mdt,1,20,0,241218,14932
2016,fixed_mdt,1,200,0,171763,2819
2016,civil_mountain,-1,20,120,241218,9220
2016,civil_mountain,-1,200,120,171763,523
2016,civil_mountain,0,20,120,241218,8935
2016,civil_mountain,0,200,120,171763,486
2016,civil_mountain,1,20,120,241218,8663
2016,civil_mountain,1,200,120,171763,450
2017,fixed_mst,-1,20,0,236641,219
2017,fixed_mst,-1,200,0,159931,0
2017,fixed_mst,0,20,0,236641,150
2017,fixed_mst,0,200,0,159931,0
2017,fixed_mst,1,20,0,236641,91
2017,fixed_mst,1,200,0,159931,0
2017,fixed_mdt,-1,20,0,236641,14202
2017,fixed_mdt,-1,200,0,159931,2575
2017,fixed_mdt,0,20,0,236641,13872
2017,fixed_mdt,0,200,0,159931,2480
2017,fixed_mdt,1,20,0,236641,13543
2017,fixed_mdt,1,200,0,159931,2387
2017,civil_mountain,-1,20,120,236641,8302
2017,civil_mountain,-1,200,120,159931,403
2017,civil_mountain,0,20,120,236641,8033
2017,civil_mountain,0,200,120,159931,378
2017,civil_mountain,1,20,120,236641,7769
2017,civil_mountain,1,200,120,159931,354
