year,month,metric_id,rows,utc_populated,raw_min,raw_median,raw_max,nominal_cadence_seconds
2016,1,421,44630,0,-6.0708,-0.67493,1390.3,60
2016,2,421,41760,0,-6.6816,-0.61861,1366.1,60
2016,3,421,40201,0,-6.0715,1.3491,1561.2,60
2016,4,421,39434,0,-5.5039,18.061500000000002,1505.8,60
2016,5,421,44640,0,-7.155,39.176500000000004,1136.4,60
2016,6,421,43200,0,-10.101,57.661500000000004,1167.7,60
2016,7,421,44640,0,-27.594,51.4345,1467.8,60
2016,8,421,44640,0,-99999.0,26.461,1449.0,60
2016,9,421,43200,0,-5.7896,5.7996,1399.1,60
2016,10,421,44640,0,-5.959,-1.2698,1377.5,60
2016,11,421,43200,0,-5.9619,-1.85095,1219.9,60
2016,12,421,44640,0,-5.9657,-1.3259,1289.2,60
2016,1,423,44630,0,-5.2322,-1.2415,1333.9,60
2016,2,423,41760,0,-5.3703,-1.0306,1273.8,60
2016,3,423,40201,0,-5.1427,-0.9859,1359.3,60
2016,4,423,39434,0,-5.4003,-0.77545,1378.2,60
2016,5,423,44640,0,-5.6085,7.22755,1229.0,60
2016,6,423,43200,0,-4.395,17.338,1138.7,60
2016,7,423,44640,0,-4.2578,11.6595,1175.0,60
2016,8,423,44640,0,-4.7429,1.84995,1255.8,60
2016,9,423,43200,0,-4.2116,-0.37639,1270.5,60
2016,10,423,44640,0,-4.6622,-0.53174,1289.7,60
2016,11,423,43200,0,-5.1872,-0.73138,1104.8,60
2016,12,423,44640,0,-5.0181,-0.75363,1167.6,60
2017,1,421,44324,0,-5.3054,-0.52541,1368.9,60
2017,2,421,40319,0,-5.9608,-0.33173,1306.2,60
2017,3,421,39636,0,-5.9859,0.0,1412.4,60
2017,4,421,43200,0,-5.9637,23.945500000000003,1561.7,60
2017,5,421,44638,0,-99999.0,35.702,1402.7,60
2017,6,421,43198,0,-7.1166,53.363,1321.1,60
2017,7,421,41623,0,-10.472,45.523,1342.6,60
2017,8,421,44634,0,-5.9884,29.66,1325.9,60
2017,9,421,38641,0,-5.9551,3.0878,1366.5,60
2017,10,421,44636,0,-7.2612,-0.05528,1443.8,60
2017,11,421,43190,0,-6.9851,-1.2422,1303.8,60
2017,12,421,44636,0,-5.9668,-0.885255,1265.0,60
2017,1,423,44324,0,-5.5602,-0.8313349999999999,1102.0,60
2017,2,423,40319,0,-5.1683,-0.60969,1216.1,60
2017,3,423,39636,0,-4.7793,-0.4765,1306.4,60
2017,4,423,43200,0,-5.2127,-0.553485,1315.0,60
2017,5,423,44638,0,-5.4757,4.31395,1270.2,60
2017,6,423,43198,0,-4.2289,18.259,1161.5,60
2017,7,423,41623,0,-4.481,13.105,1105.2,60
2017,8,423,44634,0,-4.2068,3.4994,1179.3,60
2017,9,423,38641,0,-4.451,-0.47619,1203.1,60
2017,10,423,44636,0,-4.7705,-0.6205,1271.3,60
2017,11,423,43190,0,-5.1905,-0.69837,1206.3,60
2017,12,423,44636,0,-5.0197,-0.82058,1162.2,60
