year,alignment,month,daylight_hours,paired_daylight_hours,paired_fraction,bright_hours,near_idle_bright_hours,near_idle_bright_fraction,daylight_mean_ac_kw,daylight_mean_poa_w_m2
2016,left,all,4414,4334,0.9818758495695514,2927,32,0.01093269559275709,0.4069639082026611,469.0545395614905
2016,left,2016-01,310,310,1.0,220,1,0.004545454545454545,0.4806181107688172,515.0291210166666
2016,left,2016-02,305,305,1.0,238,16,0.06722689075630252,0.4672164859994535,567.8118093890711
2016,left,2016-03,366,329,0.8989071038251366,217,4,0.018433179723502304,0.3805421518718339,448.33804762158064
2016,left,2016-04,396,354,0.8939393939393939,202,0,0.0,0.3595572859887006,414.910811472693
2016,left,2016-05,434,434,1.0,249,0,0.0,0.3326593707645929,368.3448180042243
2016,left,2016-06,420,420,1.0,277,0,0.0,0.3880982679551587,447.546646127381
2016,left,2016-07,434,434,1.0,290,0,0.0,0.3548024115330261,429.1940532980031
2016,left,2016-08,432,431,0.9976851851851852,262,0,0.0,0.3599023445069605,426.2288026187162
2016,left,2016-09,361,361,1.0,268,0,0.0,0.45021825208356414,524.1288416334257
2016,left,2016-10,346,346,1.0,268,0,0.0,0.4838153905626204,547.0454461763006
2016,left,2016-11,300,300,1.0,227,2,0.00881057268722467,0.4947458388477778,546.1033853377778
2016,left,2016-12,310,310,1.0,209,9,0.0430622009569378,0.4031516969172043,469.46378353709684
2016,right,all,4414,4334,0.9818758495695514,2924,31,0.010601915184678522,0.4069607856305568,469.0453105437241
2016,right,2016-01,310,310,1.0,219,1,0.0045662100456621,0.48061686560215056,515.0368538801076
2016,right,2016-02,305,305,1.0,238,15,0.06302521008403361,0.46722702750765027,567.8193710142077
2016,right,2016-03,366,329,0.8989071038251366,218,4,0.01834862385321101,0.38052714028216816,448.31017182928065
2016,right,2016-04,396,354,0.8939393939393939,201,0,0.0,0.3595570865117702,414.90566022598875
2016,right,2016-05,434,434,1.0,248,0,0.0,0.3326602647254224,368.33829246006144
2016,right,2016-06,420,420,1.0,278,0,0.0,0.38810199075238094,447.5450202226191
2016,right,2016-07,434,434,1.0,289,0,0.0,0.35480287164592933,429.20058035215055
2016,right,2016-08,432,431,0.9976851851851852,263,0,0.0,0.35990808134454755,426.2351343623356
2016,right,2016-09,361,361,1.0,268,0,0.0,0.45021428005586334,524.1081622987073
2016,right,2016-10,346,346,1.0,266,0,0.0,0.48381003019316,547.0489371088632
2016,right,2016-11,300,300,1.0,228,2,0.008771929824561403,0.4947015483538888,546.0093099733333
2016,right,2016-12,310,310,1.0,208,9,0.04326923076923077,0.4031536290467742,469.45967340913984
2017,left,all,4401,4264,0.9688707112019995,2708,10,0.003692762186115214,0.37999589696681524,445.47671157516413
2017,left,2017-01,310,306,0.9870967741935484,188,2,0.010638297872340425,0.3814706143954249,435.0538472674292
2017,left,2017-02,294,294,1.0,196,2,0.01020408163265306,0.4280618140566893,478.33358461961456
2017,left,2017-03,365,317,0.8684931506849315,209,0,0.0,0.4419271397103049,493.66746669085177
2017,left,2017-04,394,394,1.0,260,1,0.0038461538461538464,0.4103751343100677,477.29526930710665
2017,left,2017-05,434,431,0.9930875576036866,255,3,0.011764705882352941,0.3404507646991493,408.8559552563805
2017,left,2017-06,420,419,0.9976190476190476,262,0,0.0,0.35123371639379464,430.71802530429596
2017,left,2017-07,434,402,0.9262672811059908,239,0,0.0,0.3197725630136816,398.051646657131
2017,left,2017-08,432,429,0.9930555555555556,256,0,0.0,0.33826222424087027,412.2080121064491
2017,left,2017-09,361,321,0.889196675900277,197,0,0.0,0.34805589976583595,417.63698018691593
2017,left,2017-10,347,345,0.9942363112391931,240,1,0.004166666666666667,0.4339841486178744,502.65382629999993
2017,left,2017-11,300,297,0.99,199,1,0.005025125628140704,0.40572862535185183,461.3294567334456
2017,left,2017-12,310,309,0.9967741935483871,207,0,0.0,0.40915038514509167,463.3513467162892
2017,right,all,4401,4265,0.9690979322881164,2707,10,0.003694126339120798,0.3800127484579914,445.4791474067214
2017,right,2017-01,310,307,0.9903225806451613,189,2,0.010582010582010581,0.3817727314022802,435.2225168946797
2017,right,2017-02,294,294,1.0,196,2,0.01020408163265306,0.42807066740986394,478.33196517630387
2017,right,2017-03,365,317,0.8684931506849315,208,0,0.0,0.44190306772870663,493.6348968112514
2017,right,2017-04,394,394,1.0,260,1,0.0038461538461538464,0.4103819925198816,477.3004129517767
2017,right,2017-05,434,431,0.9930875576036866,255,3,0.011764705882352941,0.34042961521384374,408.8590165452436
2017,right,2017-06,420,419,0.9976190476190476,262,0,0.0,0.3512377261233095,430.7203484220366
2017,right,2017-07,434,402,0.9262672811059908,239,0,0.0,0.3197698325203151,398.05399687271967
2017,right,2017-08,432,429,0.9930555555555556,255,0,0.0,0.3382317675423466,412.1733118263403
2017,right,2017-09,361,321,0.889196675900277,196,0,0.0,0.348084242470405,417.65730936863974
2017,right,2017-10,347,345,0.9942363112391931,239,1,0.0041841004184100415,0.4339879127198068,502.66916006376806
2017,right,2017-11,300,297,0.99,201,1,0.004975124378109453,0.4056961993209876,461.25555054882153
2017,right,2017-12,310,309,0.9967741935483871,207,0,0.0,0.409152992298274,463.3500115550163
