site,population,endpoint,method,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,forecast_target_pairs,strata,min_events_per_stratum,min_cases_per_stratum,wis_kw,width90_kw
colorado,recorded_ac,failure_recovery,geometric_persistence,0.03646208018493,0.0357244213876894,0.9804833227332476,0.9902177604807738,0.9934202096516114,0.4552225301205337,24646,28,46,859,0.03646208018493,0.4552225301205337
colorado,recorded_ac,failure_recovery,physical,0.056706085848891,0.1256192413274875,0.5525218865191964,0.831193263625768,0.9253663898039868,0.4295864968868738,24646,28,46,859,0.056706085848891,0.4295864968868738
colorado,recorded_ac,failure_recovery,physical_availability,0.0566612079679656,0.1256192413274875,0.5532538123843349,0.8321559040162549,0.9271200793913728,0.4300001644219279,24646,28,46,859,0.0566612079679656,0.4300001644219279
colorado,recorded_ac,failure_recovery,physical_recovery,0.0566877618706415,0.1256192413274875,0.550553492370323,0.830834838361543,0.926338511076248,0.4298105536268725,24646,28,46,859,0.0566877618706415,0.4298105536268725
colorado,recorded_ac,failure_recovery,previous_day,0.0253381955788417,0.0110677289070841,0.96994450681726,0.979452905561896,0.9837202008317149,0.4164188850254269,24646,28,46,859,0.0253381955788417,0.4164188850254269
colorado,recorded_ac,failure_recovery,raw,0.0692374923759021,0.1256192413274875,0.0683442465772881,0.1534141572829591,0.3205895914651425,0.3726213397950416,24646,28,46,859,0.0692374923759021,0.3726213397950416
nist,recorded_ac,failure_recovery,geometric_persistence,0.088862520735604,0.1512492389957679,0.4683613941423646,0.749678693216044,0.8591718032517823,0.4763078541251938,24986,28,48,872,24.055084363128024,128.93653611168995
nist,recorded_ac,failure_recovery,physical,0.0519580443206094,0.0957100206255076,0.4937520315020856,0.8033227992168367,0.9002621781101346,0.3951255556186043,24986,28,48,872,14.065042597588969,106.9604879059562
nist,recorded_ac,failure_recovery,physical_availability,0.0519675740239763,0.0957100206255076,0.4952918855950644,0.8058698970167598,0.9019594614240098,0.3955344838043633,24986,28,48,872,14.067622288290396,107.07118476584114
nist,recorded_ac,failure_recovery,physical_recovery,0.0519605065793264,0.0957100206255076,0.4964718510342742,0.8033431515545378,0.9001025867283662,0.395122756785304,24986,28,48,872,14.065709131023668,106.9597302617818
nist,recorded_ac,failure_recovery,previous_day,0.0866756726558972,0.1440116707139184,0.4889815237761937,0.823659563619872,0.9233893881787626,0.6407153519529126,24986,28,48,872,23.46310458795138,173.44164577365345
nist,recorded_ac,failure_recovery,raw,0.0525336277952705,0.0957100206255076,0.4041321026770659,0.7007638569688694,0.8265349592039284,0.3663253065180226,24986,28,48,872,14.220853044179735,99.16426047442872
