site,year,variant,month,geometric_daylight_hours,valid_pv_hours,pv_mean_kw,pv_median_kw,pv_min_kw,pv_max_kw,poa_mean_w_m2,exact_zero_hours,below_one_percent_capacity_hours,bright_valid_hours,bright_near_idle_hours
nist,2016,primary,2016-02,313,313,75.34689611288606,50.28283333333333,0.0,245.30666666666667,299.1655942492013,13,41,159,0
nist,2016,primary,2016-03,361,353,90.96434442870633,70.43833333333333,0.0,252.45666666666665,373.675723276676,3,21,217,0
nist,2016,primary,2016-04,399,374,79.62633074866311,48.18358333333333,0.0,257.04833333333335,396.9336077094475,39,74,214,21
nist,2016,primary,2016-05,434,430,75.92467403100775,48.58016666666667,0.0,246.14333333333335,333.1177853875969,6,29,211,0
nist,2016,primary,2016-06,438,429,98.15158776223777,91.85799999999999,0.0,237.26666666666668,441.4699851981352,4,25,291,0
nist,2016,primary,2016-07,449,447,92.50247859806115,93.3835,0.0,227.65166666666667,432.86261394481727,6,44,294,2
nist,2016,primary,2016-08,422,416,97.6105702323718,99.23075,0.0,214.92000000000002,451.5473426282052,2,34,283,0
nist,2016,primary,2016-09,364,357,88.26317661064427,72.43283333333333,0.0,222.96,392.52727973856213,4,17,226,0
nist,2016,primary,2016-10,344,320,82.97468609375001,70.60066666666667,0.0,227.36499999999998,391.8064593229166,25,42,203,17
nist,2016,primary,2016-11,300,297,85.6077347362514,76.06633333333335,0.0,207.58666666666667,352.70374427609426,4,21,180,0
nist,2016,primary,2016-12,301,301,66.4911253599114,48.80166666666666,0.0,208.27333333333334,264.8731934662237,7,34,156,0
nist,2017,primary,2017-02,302,299,83.36279654403567,73.62950000000001,0.0,230.20333333333335,335.58454944258636,4,19,178,0
nist,2017,primary,2017-03,360,355,100.1828255399061,86.12049999999999,0.0,256.7916666666667,411.5316725821597,6,28,228,1
nist,2017,primary,2017-04,397,394,87.6111869712352,68.54183333333333,0.0,251.06,376.39878663282576,3,35,227,0
nist,2017,primary,2017-05,434,427,74.46660581576893,53.524833333333326,0.0,241.66833333333335,340.53805148321624,30,60,233,13
nist,2017,primary,2017-06,437,406,95.9100052545156,92.17733333333334,0.0,227.57166666666666,437.8320308702792,4,23,268,0
nist,2017,primary,2017-07,449,441,88.41292003023432,80.2805,0.0,221.44666666666666,411.6506605820106,5,39,283,0
nist,2017,primary,2017-08,422,407,88.2379065929566,75.71016666666667,0.0,211.82999999999998,405.53980900900905,3,32,253,0
nist,2017,primary,2017-09,365,349,94.86666628462275,91.486,0.0,217.03833333333333,421.64857349570195,3,11,244,0
nist,2017,primary,2017-10,345,309,88.02386450916937,74.21816666666668,0.0,213.56,382.90542669902914,4,24,186,0
nist,2017,primary,2017-11,300,296,79.65380917792794,70.3505,0.0,202.915,326.30671897522524,1,14,174,0
nist,2017,primary,2017-12,301,295,60.790862824858756,39.029599999999995,0.0,203.465,253.21900887005648,23,55,143,2
colorado,2016,primary,2016-02,305,305,0.40246671747809454,0.40944980016666666,4.574952066666667e-05,0.9229353716666666,556.3664481015503,0,50,237,16
colorado,2016,primary,2016-03,366,366,0.3355405443950149,0.26475565733333334,0.0,0.9455820283333334,453.039526508316,4,48,242,13
colorado,2016,primary,2016-04,396,396,0.3064399347217522,0.20351582166666665,1.1122208333333308e-05,0.909590455,409.1033890371721,0,70,224,8
colorado,2016,primary,2016-05,434,434,0.2948760611178837,0.21476966933333336,0.0,0.8481265216666667,385.1687078046071,1,41,246,0
colorado,2016,primary,2016-06,420,420,0.3459649729926947,0.2865938158333333,0.00030361665799999996,0.791877795,461.3454993840638,0,12,273,0
