site,scenario,period,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
colorado,clean,development_evaluation,geometric_persistence,1,2182,0.04983552688379258,0.07210752180078968,0.4395050412465628,0.6915673693858845,0.8368469294225481,0.39679661185156045,0
colorado,clean,development_evaluation,geometric_persistence,2,2181,0.07504476116611333,0.1194264610736038,0.422283356258597,0.6799633195781751,0.8390646492434664,0.5364600058162211,0
colorado,clean,development_evaluation,geometric_persistence,3,2180,0.09486487034069105,0.1621610575265658,0.41192660550458715,0.671559633027523,0.8298165137614679,0.6285978937138315,0
colorado,clean,development_evaluation,geometric_persistence,4,2180,0.1094500011901128,0.1970003602871756,0.4077981651376147,0.671559633027523,0.8288990825688073,0.6871153641668148,0
colorado,clean,development_evaluation,multiple_imputation_compact,1,2182,0.0423435871773098,0.06334248507060136,0.5192483959670028,0.7268560953253895,0.8015582034830431,0.17938428563552464,0
colorado,clean,development_evaluation,multiple_imputation_compact,2,2181,0.06379690794158353,0.09268405651280008,0.4621733149931224,0.6469509399358092,0.7207702888583218,0.2180255301329008,0
colorado,clean,development_evaluation,multiple_imputation_compact,3,2180,0.07453139366146491,0.10717484201013754,0.44311926605504587,0.6174311926605505,0.6954128440366972,0.23868004211328694,0
colorado,clean,development_evaluation,multiple_imputation_compact,4,2180,0.0792045295022771,0.1143002218612627,0.43027522935779816,0.6165137614678899,0.7013761467889909,0.2514412935693184,0
colorado,clean,development_evaluation,multiple_imputation_flexible,1,2182,0.04643396106874067,0.06292163735428585,0.4078826764436297,0.580659945004583,0.6571952337305225,0.11380578138912618,0
colorado,clean,development_evaluation,multiple_imputation_flexible,2,2181,0.06834184806004258,0.0895513537649908,0.3709307657038056,0.5075653370013755,0.5850527281063732,0.13463547129360082,0
colorado,clean,development_evaluation,multiple_imputation_flexible,3,2180,0.08320819611778829,0.10692554986592233,0.336697247706422,0.48211009174311925,0.5458715596330275,0.1440713242989013,0
colorado,clean,development_evaluation,multiple_imputation_flexible,4,2180,0.09099737675190424,0.11649747597014137,0.32522935779816514,0.45871559633027525,0.5376146788990825,0.1507127425137972,0
colorado,clean,development_evaluation,persistence,1,2182,0.07234481063076464,0.12133005064844217,0.4106324472960587,0.7167736021998167,0.8657195233730522,0.4691836433149893,0
colorado,clean,development_evaluation,persistence,2,2181,0.1123477897351898,0.20377663949009076,0.4236588720770289,0.7138927097661623,0.8574048601558918,0.629383486294494,0
colorado,clean,development_evaluation,persistence,3,2180,0.136921439418667,0.25968062894732297,0.41743119266055045,0.7220183486238532,0.8600917431192661,0.743997607011041,0
colorado,clean,development_evaluation,persistence,4,2180,0.15067424974340218,0.2912233060552177,0.4279816513761468,0.7123853211009175,0.846788990825688,0.7949138965457418,0
colorado,clean,development_evaluation,quantile_compact,1,2182,0.03980124700498306,0.0635845143068365,0.4605866177818515,0.7218148487626032,0.8583868010999084,0.3792829570594203,0
colorado,clean,development_evaluation,quantile_compact,2,2181,0.052942416266037594,0.09104495886918026,0.44750114626318205,0.7125171939477304,0.8395231545162769,0.4452957800028015,0
colorado,clean,development_evaluation,quantile_compact,3,2180,0.060439718612852716,0.10672573091851503,0.42935779816513764,0.7252293577981651,0.8481651376146789,0.4602243387059984,0
colorado,clean,development_evaluation,quantile_compact,4,2180,0.06302357029200788,0.1148317860086224,0.4504587155963303,0.7256880733944954,0.8366972477064221,0.45887113667805707,0
colorado,clean,development_evaluation,quantile_flexible,1,2182,0.0385757748918376,0.0606903817661472,0.4005499541704858,0.6718606782768103,0.8340971585701191,0.33391970528673387,0
colorado,clean,development_evaluation,quantile_flexible,2,2181,0.052141569745198985,0.09083956891448366,0.38285190279688214,0.6817973406694177,0.8188904172397983,0.41116822809254655,0
colorado,clean,development_evaluation,quantile_flexible,3,2180,0.06073810429845977,0.10709579209007435,0.3793577981651376,0.6743119266055045,0.8068807339449541,0.4251356686025564,0
colorado,clean,development_evaluation,quantile_flexible,4,2180,0.0626477549300237,0.11239684097663408,0.37844036697247707,0.681651376146789,0.7981651376146789,0.42823974618577393,0
colorado,clean,development_evaluation,single_imputation_compact,1,2182,0.04234621442391054,0.06331778346291021,0.5192483959670028,0.7268560953253895,0.8015582034830431,0.1792586278611711,0
colorado,clean,development_evaluation,single_imputation_compact,2,2181,0.06379745378226447,0.09268169825926162,0.46171480972031176,0.6469509399358092,0.7207702888583218,0.21800834552240178,0
colorado,clean,development_evaluation,single_imputation_compact,3,2180,0.07455624200034025,0.10719098343278254,0.44311926605504587,0.6178899082568807,0.6944954128440367,0.23863916313263706,0
colorado,clean,development_evaluation,single_imputation_compact,4,2180,0.07921533641800974,0.1143107870762409,0.43027522935779816,0.6165137614678899,0.7009174311926606,0.2514373864725922,0
colorado,clean,development_evaluation,single_imputation_flexible,1,2182,0.04645210167955343,0.06289517366255111,0.4078826764436297,0.5802016498625114,0.6571952337305225,0.113631297334632,0
colorado,clean,development_evaluation,single_imputation_flexible,2,2181,0.0683429013716514,0.08954254211345505,0.3709307657038056,0.5075653370013755,0.5850527281063732,0.1345989074123399,0
colorado,clean,development_evaluation,single_imputation_flexible,3,2180,0.08322346521862405,0.10693225890666218,0.336697247706422,0.48211009174311925,0.5458715596330275,0.1440359464387958,0
colorado,clean,development_evaluation,single_imputation_flexible,4,2180,0.09100705004025003,0.1165061977359688,0.32522935779816514,0.45871559633027525,0.5371559633027523,0.15070358525401115,0
colorado,clean,validation,geometric_persistence,1,1921,0.050225022218016474,0.0743970600864561,0.45132743362831856,0.7235814679854242,0.8412285268089537,0.4305957380334716,0
colorado,clean,validation,geometric_persistence,2,1921,0.07636374831638375,0.12410095665115806,0.4305049453409682,0.6824570536179073,0.8516397709526289,0.5644742082160993,0
colorado,clean,validation,geometric_persistence,3,1921,0.09791753394331867,0.16699482627045178,0.4081207704320666,0.7006767308693389,0.8302967204580948,0.6557978980024961,0
colorado,clean,validation,geometric_persistence,4,1921,0.11511004071070992,0.20497603118230825,0.4023945861530453,0.6959916710046851,0.8224882873503384,0.7238512780051307,0
colorado,clean,validation,multiple_imputation_compact,1,1921,0.04319201681331067,0.0635604876727527,0.5262883914627798,0.7329515877147319,0.7964601769911505,0.17739642358494412,0
colorado,clean,validation,multiple_imputation_compact,2,1921,0.06049935930561306,0.08916836475616494,0.45809474232170744,0.6559083810515357,0.7329515877147319,0.21408244243620939,0
colorado,clean,validation,multiple_imputation_compact,3,1921,0.0700278940943374,0.10226173591944313,0.4466423737636648,0.6340447683498178,0.7188964081207704,0.2365040646214316,0
colorado,clean,validation,multiple_imputation_compact,4,1921,0.07691677747764342,0.11179952805955491,0.43519000520562207,0.6168662155127538,0.6965122332118688,0.2491050385206896,0
colorado,clean,validation,multiple_imputation_flexible,1,1921,0.04655257884071301,0.06258023547347263,0.431025507548152,0.5960437272254034,0.6720458094742322,0.11268546558571838,0
colorado,clean,validation,multiple_imputation_flexible,2,1921,0.0661452711385907,0.08778863706950754,0.34409161894846435,0.5065070275897969,0.5871941697032795,0.13353163228064677,0
colorado,clean,validation,multiple_imputation_flexible,3,1921,0.07957912154725662,0.10358701761699707,0.3258719416970328,0.47683498178032274,0.5596043727225404,0.14365085357149093,0
colorado,clean,validation,multiple_imputation_flexible,4,1921,0.08680555299221308,0.11232925451911976,0.3274336283185841,0.4586153045288912,0.5304528891202499,0.1504482253564976,0
colorado,clean,validation,persistence,1,1921,0.06969006496742111,0.1180172447313818,0.4424778761061947,0.7402394586153045,0.8693388859968766,0.4952587941916908,0
colorado,clean,validation,persistence,2,1921,0.10977081776420893,0.2022541218048156,0.41644976574700676,0.7214992191566892,0.855804268610099,0.6484728673546497,0
colorado,clean,validation,persistence,3,1921,0.13646613323858653,0.261579382770916,0.4174908901613743,0.7183758459135867,0.84487246225924,0.7623973533091942,0
colorado,clean,validation,persistence,4,1921,0.1536975318546583,0.29937636503209974,0.4466423737636648,0.7027589796980739,0.8328995314940135,0.8231723559786437,0
colorado,clean,validation,quantile_compact,1,1921,0.03861786864415072,0.05986923715582155,0.4752732951587715,0.7568974492451848,0.879229567933368,0.36468557877305974,0
colorado,clean,validation,quantile_compact,2,1921,0.05039194089144714,0.08684440959511425,0.44143675169182717,0.7501301405517959,0.8672566371681416,0.42741246729704585,0
colorado,clean,validation,quantile_compact,3,1921,0.05705764494116249,0.0997385816775128,0.43258719416970326,0.7293076522644456,0.8547631441957314,0.44923164786319586,0
colorado,clean,validation,quantile_compact,4,1921,0.06083443801071488,0.10949413954698431,0.4284226965122332,0.7272254034357105,0.8521603331598125,0.45069948640496765,0
colorado,clean,validation,quantile_flexible,1,1921,0.0371314474219745,0.05801610516624311,0.41072358146798543,0.69807391983342,0.8459135866736075,0.31154448648197575,0
colorado,clean,validation,quantile_flexible,2,1921,0.04949807543082918,0.08384028703585887,0.38521603331598125,0.7043206663196252,0.8381051535658511,0.3943728606923735,0
colorado,clean,validation,quantile_flexible,3,1921,0.05660073518004942,0.09707183582924218,0.3722019781363873,0.6798542425819886,0.8276939094221759,0.4158846687429371,0
colorado,clean,validation,quantile_flexible,4,1921,0.06022828042682412,0.10767298342637495,0.3649141072358147,0.6824570536179073,0.8162415408641333,0.42186771796640443,0
colorado,clean,validation,single_imputation_compact,1,1921,0.04319201681331067,0.0635604876727527,0.5262883914627798,0.7329515877147319,0.7964601769911505,0.17739642358494412,0
colorado,clean,validation,single_imputation_compact,2,1921,0.06049935930561306,0.08916836475616494,0.45809474232170744,0.6559083810515357,0.7329515877147319,0.21408244243620939,0
colorado,clean,validation,single_imputation_compact,3,1921,0.0700278940943374,0.10226173591944313,0.4466423737636648,0.6340447683498178,0.7188964081207704,0.2365040646214316,0
colorado,clean,validation,single_imputation_compact,4,1921,0.07691677747764342,0.11179952805955491,0.43519000520562207,0.6168662155127538,0.6965122332118688,0.2491050385206896,0
colorado,clean,validation,single_imputation_flexible,1,1921,0.04655257884071301,0.06258023547347263,0.431025507548152,0.5960437272254034,0.6720458094742322,0.11268546558571838,0
colorado,clean,validation,single_imputation_flexible,2,1921,0.0661452711385907,0.08778863706950754,0.34409161894846435,0.5065070275897969,0.5871941697032795,0.13353163228064677,0
colorado,clean,validation,single_imputation_flexible,3,1921,0.07957912154725662,0.10358701761699707,0.3258719416970328,0.47683498178032274,0.5596043727225404,0.14365085357149093,0
colorado,clean,validation,single_imputation_flexible,4,1921,0.08680555299221308,0.11232925451911976,0.3274336283185841,0.4586153045288912,0.5304528891202499,0.1504482253564976,0
colorado,clean,warmup,geometric_persistence,1,310,0.06519050795687853,0.08549807123188541,0.3741935483870968,0.5483870967741935,0.6838709677419355,0.30136121847430425,0
colorado,clean,warmup,geometric_persistence,2,310,0.09864751410160803,0.1430098599473238,0.34516129032258064,0.5225806451612903,0.667741935483871,0.46502165571668386,0
colorado,clean,warmup,geometric_persistence,3,310,0.12754671180637006,0.20417673950394913,0.3064516129032258,0.4935483870967742,0.6419354838709678,0.5663557640248147,0
colorado,clean,warmup,geometric_persistence,4,310,0.15236385362045532,0.26342578081139034,0.24516129032258063,0.43870967741935485,0.6193548387096774,0.6023147906079566,0
