site,scenario,phase,method,pool_size,effective_n,freshest_score_age_h,nesting_repaired,unsupported
nist,clean,normal,aci_bounded,368.2994502280969,368.2994502280969,4.91577962334776,0.3526728272312551,0.0
nist,clean,normal,mask50,368.2994502280969,236.18767034158358,4.91577962334776,0.3497485085974968,0.0
nist,clean,normal,physical,368.2994502280969,197.59697239498024,4.91577962334776,0.38296876827699144,0.0
nist,clean,normal,physical_recovery,368.2994502280969,165.57761095587526,4.91577962334776,0.37700315826412445,0.0
nist,clean,normal,recency,368.2994502280969,271.3042986026437,4.91577962334776,0.34998245408819745,0.0
nist,clean,normal,rolling,368.2994502280969,368.2994502280969,4.91577962334776,0.3433150076032285,0.0
nist,joint_gradual,normal,aci_bounded,367.4061064176671,367.4061064176671,4.889876982362532,0.35764043278494145,0.0
nist,joint_gradual,normal,mask50,367.4061064176671,223.58045481058068,4.889876982362532,0.33792796798577146,0.0
nist,joint_gradual,normal,physical,367.4061064176671,193.70958055830985,4.889876982362532,0.3772046835630651,0.0
nist,joint_gradual,normal,physical_recovery,367.4061064176671,149.14798378953887,4.889876982362532,0.3703868385949311,0.0
nist,joint_gradual,normal,recency,367.4061064176671,270.64115018716126,4.889876982362532,0.35067437379576105,0.0
nist,joint_gradual,normal,rolling,367.4061064176671,367.4061064176671,4.889876982362532,0.34504224099599823,0.0
nist,joint_gradual,outage,aci_bounded,375.9728813559322,375.9728813559322,13.213559322033898,0.27288135593220336,0.0
nist,joint_gradual,outage,mask50,375.9728813559322,238.6275630982938,13.213559322033898,0.2745762711864407,0.0
nist,joint_gradual,outage,physical,375.9728813559322,202.63337599284213,13.213559322033898,0.3169491525423729,0.0
nist,joint_gradual,outage,physical_recovery,375.9728813559322,128.20508731342974,13.213559322033898,0.35423728813559324,0.0
nist,joint_gradual,outage,recency,375.9728813559322,278.1352028502038,13.213559322033898,0.26949152542372884,0.0
nist,joint_gradual,outage,rolling,375.9728813559322,375.9728813559322,13.213559322033898,0.26440677966101694,0.0
nist,joint_gradual,recovery_0_6,aci_bounded,352.66987179487177,352.66987179487177,5.157051282051282,0.4775641025641026,0.0
nist,joint_gradual,recovery_0_6,mask50,352.66987179487177,221.41586578068498,5.157051282051282,0.42948717948717946,0.0
nist,joint_gradual,recovery_0_6,physical,352.66987179487177,185.71355391039782,5.157051282051282,0.46153846153846156,0.0
nist,joint_gradual,recovery_0_6,physical_recovery,352.66987179487177,135.59506890021754,5.157051282051282,0.44871794871794873,0.0
nist,joint_gradual,recovery_0_6,recency,352.66987179487177,260.3397037015755,5.157051282051282,0.4423076923076923,0.0
nist,joint_gradual,recovery_0_6,rolling,352.66987179487177,352.66987179487177,5.157051282051282,0.4583333333333333,0.0
nist,joint_gradual,recovery_6_24,aci_bounded,372.7577777777778,372.7577777777778,5.115555555555556,0.3377777777777778,0.0
nist,joint_gradual,recovery_6_24,mask50,372.7577777777778,226.33156720149918,5.115555555555556,0.3422222222222222,0.0
nist,joint_gradual,recovery_6_24,physical,372.7577777777778,197.6405859585664,5.115555555555556,0.37666666666666665,0.0
nist,joint_gradual,recovery_6_24,physical_recovery,372.7577777777778,143.47954468391754,5.115555555555556,0.38222222222222224,0.0
nist,joint_gradual,recovery_6_24,recency,372.7577777777778,274.6651908314815,5.115555555555556,0.3522222222222222,0.0
nist,joint_gradual,recovery_6_24,rolling,372.7577777777778,372.7577777777778,5.115555555555556,0.3433333333333333,0.0
colorado,clean,normal,aci_bounded,370.65138140547975,370.65138140547975,4.848790553708587,0.2546142382207956,0.0
colorado,clean,normal,mask50,370.65138140547975,271.6353334492613,4.848790553708587,0.23856471397455004,0.0
colorado,clean,normal,physical,370.65138140547975,197.71711011426072,4.848790553708587,0.27719821162444114,0.0
colorado,clean,normal,physical_recovery,370.65138140547975,183.93621558625173,4.848790553708587,0.2874011234666972,0.0
colorado,clean,normal,recency,370.65138140547975,273.0838359361274,4.848790553708587,0.2359280064198097,0.0
colorado,clean,normal,rolling,370.65138140547975,370.65138140547975,4.848790553708587,0.2185028086667431,0.0
colorado,joint_gradual,normal,aci_bounded,369.79357464747784,369.79357464747784,4.862625381596162,0.2494548626253816,0.0
colorado,joint_gradual,normal,mask50,369.79357464747784,254.19495464358442,4.862625381596162,0.24989097252507633,0.0
colorado,joint_gradual,normal,physical,369.79357464747784,193.84432606065434,4.862625381596162,0.2811455153365315,0.0
colorado,joint_gradual,normal,physical_recovery,369.79357464747784,175.78768979490778,4.862625381596162,0.292920482628289,0.0
colorado,joint_gradual,normal,recency,369.79357464747784,272.4439855156409,4.862625381596162,0.23797063526675388,0.0
colorado,joint_gradual,normal,rolling,369.79357464747784,369.79357464747784,4.862625381596162,0.21674662014827736,0.0
colorado,joint_gradual,outage,aci_bounded,376.76633986928107,376.76633986928107,12.217320261437909,0.2565359477124183,0.0
colorado,joint_gradual,outage,mask50,376.76633986928107,240.26289809743815,12.217320261437909,0.24019607843137256,0.0
colorado,joint_gradual,outage,physical,376.76633986928107,203.5444477350904,12.217320261437909,0.22712418300653595,0.0
colorado,joint_gradual,outage,physical_recovery,376.76633986928107,131.80245463851065,12.217320261437909,0.22875816993464052,0.0
colorado,joint_gradual,outage,recency,376.76633986928107,278.89438689524593,12.217320261437909,0.23529411764705882,0.0
colorado,joint_gradual,outage,rolling,376.76633986928107,376.76633986928107,12.217320261437909,0.22875816993464052,0.0
colorado,joint_gradual,recovery_0_6,aci_bounded,358.785016286645,358.785016286645,4.947882736156352,0.21498371335504887,0.0
colorado,joint_gradual,recovery_0_6,mask50,358.785016286645,240.27868135603183,4.947882736156352,0.20846905537459284,0.0
colorado,joint_gradual,recovery_0_6,physical,358.785016286645,186.04957403924672,4.947882736156352,0.250814332247557,0.0
