site,scenario,phase,contrast,events,mean_nwis_difference,ci_lower,ci_upper
colorado,joint_gradual,outage,aci_bounded_minus_rolling,26,-4.0990198769624416e-05,-0.0001522354492863805,4.701426923643188e-05
colorado,joint_gradual,outage,mask50_minus_recency,26,-3.1954598484371876e-05,-8.445280615641929e-05,1.7133316678820442e-05
colorado,joint_gradual,outage,physical_minus_recency,26,-0.00023084826746868318,-0.0004575164838754034,-2.5155924961347043e-05
colorado,joint_gradual,outage,physical_recovery_minus_physical,26,-0.00010292162080482844,-0.00018043174943529954,-2.8602796622381597e-05
colorado,joint_gradual,recovery_0_6,aci_bounded_minus_rolling,22,1.2362201739332712e-05,-0.00012388812538934399,0.00010874098915572013
colorado,joint_gradual,recovery_0_6,mask50_minus_recency,22,-4.577143908850602e-05,-0.00016556984728872056,4.015607109243225e-05
colorado,joint_gradual,recovery_0_6,physical_minus_recency,22,-0.00021485032565535296,-0.0005654179308645413,0.00011741036166332588
colorado,joint_gradual,recovery_0_6,physical_recovery_minus_physical,22,0.00011249305387155953,-0.00010147453876082707,0.00038695952049041165
colorado,joint_gradual,recovery_6_24,aci_bounded_minus_rolling,26,-0.00015113047650675265,-0.0004030911198570651,1.4691984666580911e-05
colorado,joint_gradual,recovery_6_24,mask50_minus_recency,26,-5.55495822213131e-05,-0.0001389449962118652,1.5342221205727624e-05
colorado,joint_gradual,recovery_6_24,physical_minus_recency,26,-0.00043938653926248964,-0.0007791083868907098,-0.00015157999787760118
colorado,joint_gradual,recovery_6_24,physical_recovery_minus_physical,26,8.053671461028296e-06,-0.00011412059531828596,0.00017599973383234342
nist,joint_gradual,outage,aci_bounded_minus_rolling,25,1.4271616668390585e-07,-0.00010186184752398635,9.643924032755909e-05
nist,joint_gradual,outage,mask50_minus_recency,25,-5.6290769491654596e-06,-0.00014643556681781275,0.00011040034094630132
nist,joint_gradual,outage,physical_minus_recency,25,-0.00045067490381375434,-0.001128221757673698,5.5161655566976324e-05
nist,joint_gradual,outage,physical_recovery_minus_physical,25,2.611509125204014e-05,-0.0006202186949206682,0.0005894010795828589
nist,joint_gradual,recovery_0_6,aci_bounded_minus_rolling,23,4.785984077214292e-05,-1.4843019073741782e-05,0.00011419245310300063
nist,joint_gradual,recovery_0_6,mask50_minus_recency,23,-7.464938809319e-05,-0.0001770948932231638,1.4282251215822014e-05
nist,joint_gradual,recovery_0_6,physical_minus_recency,23,-0.00024372394201748731,-0.0006594397896048471,5.851404863910499e-05
nist,joint_gradual,recovery_0_6,physical_recovery_minus_physical,23,-2.3847177554014637e-05,-0.00021396862016831415,0.0001722206194422241
nist,joint_gradual,recovery_6_24,aci_bounded_minus_rolling,26,-2.6462226160307924e-05,-9.758506972251445e-05,3.158652987118187e-05
nist,joint_gradual,recovery_6_24,mask50_minus_recency,26,4.118955710945821e-05,-8.166237377527603e-05,0.00017504293208375023
nist,joint_gradual,recovery_6_24,physical_minus_recency,26,-0.0001480077274531311,-0.00036345950030043135,4.116145225867255e-05
nist,joint_gradual,recovery_6_24,physical_recovery_minus_physical,26,1.1997735335488191e-05,-0.00014030426913346451,0.00015783571901348845
