site,phase,method,nwis,coverage90,nwidth90
colorado,normal,aci_bounded,0.05166261563415218,0.8751473830394536,0.380931918356369
colorado,normal,mask50,0.051483291392715666,0.887295861194636,0.3826411018320791
colorado,normal,physical,0.05122934742296791,0.8940785600295705,0.3830522414744005
colorado,normal,physical_recovery,0.051132549904463226,0.8977118267422777,0.38362729961796593
colorado,normal,raw,0.05289833689700805,0.7984914076488118,0.3647129177497731
colorado,normal,recency,0.05151397656384614,0.8850775549047232,0.382021127448918
colorado,normal,rolling,0.05175541656865775,0.8740920467872484,0.3801653064204362
colorado,outage,aci_bounded,0.0597880209810617,0.9248670361286461,0.4591149096843282
colorado,outage,mask50,0.0596661754170944,0.9297798864362332,0.45979054753373033
colorado,outage,physical,0.05948923254774225,0.9444966583124477,0.4604294318582228
colorado,outage,physical_recovery,0.05941805847175385,0.9330265000737137,0.4580493298156868
colorado,outage,raw,0.06080568926170238,0.8594956922162804,0.44597557119339903
colorado,outage,recency,0.05968743308678125,0.9248777860426467,0.45991202862236685
colorado,outage,rolling,0.0598684535486359,0.9183310884162278,0.4583594378298784
colorado,recovery_0_6,aci_bounded,0.0540645303636633,0.8797837444589609,0.41245858564925975
colorado,recovery_0_6,mask50,0.05391970086557145,0.8863638310390476,0.4123839195590608
colorado,recovery_0_6,physical,0.05373478737065712,0.8799086611811462,0.4130655968303891
colorado,recovery_0_6,physical_recovery,0.05385736899328787,0.8864887477612328,0.4120436097339927
colorado,recovery_0_6,raw,0.05468279405505287,0.8243194652338557,0.3949936807790433
colorado,recovery_0_6,recency,0.05396731078124178,0.8863638310390476,0.41217778685132533
colorado,recovery_0_6,rolling,0.054061359195625526,0.879870324545541,0.4116307875626312
colorado,recovery_6_24,aci_bounded,0.05509983420923255,0.8636262955594298,0.37172023327533393
colorado,recovery_6_24,mask50,0.05486694433815252,0.8755363313603256,0.37321244537928217
colorado,recovery_6_24,physical,0.05449868863659672,0.8755549107780467,0.37385250707917833
colorado,recovery_6_24,physical_recovery,0.05451567463318732,0.8733950734888991,0.37440900330175464
colorado,recovery_6_24,raw,0.056519379644414204,0.7890928677423017,0.3556836601084092
colorado,recovery_6_24,recency,0.05489960831267185,0.8765998007173502,0.37244987850493533
colorado,recovery_6_24,rolling,0.05524727977697405,0.8571230526019407,0.37072191242059715
nist,normal,aci_bounded,0.04580736370457589,0.9046257101325903,0.3748346035819043
nist,normal,mask50,0.045788062149072314,0.9082292340157228,0.3749773404873165
nist,normal,physical,0.045619265874576674,0.9170660119262288,0.37764602815927023
nist,normal,physical_recovery,0.045619839764482424,0.9162705203104697,0.37714609606452093
nist,normal,raw,0.04625531613442654,0.8597650632173817,0.35897768626768234
nist,normal,recency,0.045792718291813674,0.9111273010085805,0.37658986806549116
nist,normal,rolling,0.045807723767761266,0.910892905364326,0.3764765840921756
nist,outage,aci_bounded,0.07847528387863327,0.7882078507078507,0.4560642341930733
nist,outage,mask50,0.07816710741943592,0.8034450266593124,0.45988436042739145
nist,outage,physical,0.07764315850620862,0.8119254458540173,0.46465612844357107
nist,outage,physical_recovery,0.07758910012371317,0.8237497701783416,0.47024839741554925
nist,outage,raw,0.07972299295249832,0.7491956241956242,0.4406615867040725
nist,outage,recency,0.0781953151430103,0.7949875896304468,0.4586099966927466
nist,outage,rolling,0.07850124614343573,0.7983659680088252,0.45799677292398605
nist,recovery_0_6,aci_bounded,0.0452753729112592,0.8780937812187812,0.33418511639840537
nist,recovery_0_6,mask50,0.0452288133852521,0.874847027972028,0.3330074245463474
nist,recovery_0_6,physical,0.04511082663669765,0.8812187812187812,0.33410850395207037
nist,recovery_0_6,physical_recovery,0.04511905658871085,0.8683535214785214,0.3336354844337286
nist,recovery_0_6,raw,0.04658238038095265,0.7886103479853479,0.31363991270867
nist,recovery_0_6,recency,0.04522620506050917,0.8876706626706627,0.33528963687158087
nist,recovery_0_6,rolling,0.04521649663139605,0.8813405344655345,0.33525488887689614
nist,recovery_6_24,aci_bounded,0.04497349566843335,0.9088615288966493,0.3918931287401106
nist,recovery_6_24,mask50,0.04487644698616518,0.9066689374798824,0.3915679003955765
nist,recovery_6_24,physical,0.044723360164740975,0.917785494133365,0.3958755477740678
nist,recovery_6_24,physical_recovery,0.04470069749373285,0.9155533067890701,0.3949813414483432
nist,recovery_6_24,raw,0.045606906858661624,0.8599314567156545,0.3753213331660653
nist,recovery_6_24,recency,0.0448436291193429,0.9222052241932,0.39429109414201186
nist,recovery_6_24,rolling,0.045000331308801524,0.9110739182771803,0.3933538088323152
