site,scenario,period,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
colorado,clean,development_evaluation,geometric_persistence,1,2182,0.04778834267083826,0.07208190811044123,0.5453712190650779,0.8386801099908341,0.9307974335472043,0.4301452391847919,0
colorado,clean,development_evaluation,geometric_persistence,2,2181,0.07239525746440242,0.11940749428246314,0.520861989912884,0.823016964695094,0.9316827143512151,0.5733941647237127,0
colorado,clean,development_evaluation,geometric_persistence,3,2180,0.09184972011579955,0.1621507940312438,0.5064220183486239,0.8169724770642202,0.9261467889908257,0.6675512796366683,0
colorado,clean,development_evaluation,geometric_persistence,4,2180,0.10624850090018774,0.19699510601261935,0.5022935779816514,0.813302752293578,0.921559633027523,0.7306187221749114,0
colorado,clean,development_evaluation,multiple_imputation_compact,1,2182,0.041818889773673346,0.06404848442990514,0.6223648029330889,0.8148487626031164,0.8730522456461961,0.24801723072172446,0
colorado,clean,development_evaluation,multiple_imputation_compact,2,2181,0.0593711566305771,0.09218301039816314,0.5570839064649243,0.7409445208619899,0.8188904172397983,0.30011685372894936,0
colorado,clean,development_evaluation,multiple_imputation_compact,3,2180,0.07205779819833098,0.11001080729317134,0.5266055045871559,0.7165137614678899,0.7926605504587156,0.32683455226359454,0
colorado,clean,development_evaluation,multiple_imputation_compact,4,2180,0.07669230015507324,0.11715145765923617,0.5155963302752293,0.7160550458715597,0.7926605504587156,0.3421511759996033,0
colorado,clean,development_evaluation,multiple_imputation_flexible,1,2182,0.04481980190508611,0.06412306492310325,0.4844179651695692,0.6677360219981668,0.7465627864344638,0.15382725784353665,0
colorado,clean,development_evaluation,multiple_imputation_flexible,2,2181,0.06424918203757492,0.08998047762630919,0.422283356258597,0.5905547913801009,0.6717102246675837,0.1793290623875964,0
colorado,clean,development_evaluation,multiple_imputation_flexible,3,2180,0.08120227456458544,0.1107647968673264,0.3885321100917431,0.5573394495412844,0.6339449541284403,0.1953456235473657,0
colorado,clean,development_evaluation,multiple_imputation_flexible,4,2180,0.08600767696895105,0.1172052068329515,0.37110091743119267,0.5490825688073394,0.6192660550458715,0.20098161069775838,0
colorado,clean,development_evaluation,persistence,1,2182,0.06720207802945714,0.12133002101225855,0.5013748854262144,0.8230980751604033,0.9307974335472043,0.50363407027173,0
colorado,clean,development_evaluation,persistence,2,2181,0.10315657099688376,0.20378259196575982,0.4896836313617607,0.8175149014213663,0.9234296194406235,0.6694350582264516,0
colorado,clean,development_evaluation,persistence,3,2180,0.12676617257416262,0.2596870560506325,0.4706422018348624,0.8165137614678899,0.9229357798165138,0.7829534878088701,0
colorado,clean,development_evaluation,persistence,4,2180,0.1406563117088671,0.2912266502307114,0.48027522935779815,0.8004587155963303,0.9128440366972477,0.8349949441034666,0
colorado,clean,development_evaluation,quantile_compact,1,2182,0.03730938727688052,0.06132599419385223,0.4427131072410632,0.7158570119156737,0.8492208982584785,0.3231191279193304,0
colorado,clean,development_evaluation,quantile_compact,2,2181,0.05167401797962554,0.08833252220363849,0.4176983035304906,0.7116001834021092,0.8353966070609812,0.41746810207203355,0
colorado,clean,development_evaluation,quantile_compact,3,2180,0.06005232287294315,0.11076935097001536,0.4091743119266055,0.6977064220183486,0.8394495412844036,0.43387323056215354,0
colorado,clean,development_evaluation,quantile_compact,4,2180,0.06248351655106665,0.11714215330522483,0.4206422018348624,0.7110091743119266,0.8357798165137614,0.4390060995416664,0
colorado,clean,development_evaluation,quantile_flexible,1,2182,0.037884180516567764,0.06327727028030243,0.38130155820348305,0.6704857928505957,0.810724106324473,0.2855415419916364,0
colorado,clean,development_evaluation,quantile_flexible,2,2181,0.05121732502570564,0.08947233216974493,0.3869784502521779,0.6552040348464008,0.8074277854195323,0.381075129628494,0
colorado,clean,development_evaluation,quantile_flexible,3,2180,0.05963517934710085,0.10723051388699752,0.381651376146789,0.6509174311926605,0.7944954128440367,0.3903877872218645,0
colorado,clean,development_evaluation,quantile_flexible,4,2180,0.062398119591545766,0.11583774251860435,0.3573394495412844,0.6454128440366973,0.7876146788990825,0.3971582901837354,0
colorado,clean,development_evaluation,single_imputation_compact,1,2182,0.04177942339852235,0.06398631219788194,0.6223648029330889,0.8148487626031164,0.8735105407882676,0.24789376903558963,0
colorado,clean,development_evaluation,single_imputation_compact,2,2181,0.05936680893544314,0.0921718139564554,0.5570839064649243,0.7409445208619899,0.8188904172397983,0.3000994830098163,0
colorado,clean,development_evaluation,single_imputation_compact,3,2180,0.07205466542648706,0.11000779342402252,0.5261467889908257,0.7165137614678899,0.7926605504587156,0.3268089522291718,0
colorado,clean,development_evaluation,single_imputation_compact,4,2180,0.07670373330747617,0.1171678897603518,0.5155963302752293,0.7155963302752294,0.7926605504587156,0.3421633250756966,0
colorado,clean,development_evaluation,single_imputation_flexible,1,2182,0.04480552071556989,0.06407626642821682,0.4844179651695692,0.6668194317140238,0.7465627864344638,0.1536856333605152,0
colorado,clean,development_evaluation,single_imputation_flexible,2,2181,0.06424304264671485,0.08997011054739194,0.422283356258597,0.5905547913801009,0.671251719394773,0.17930912588268447,0
colorado,clean,development_evaluation,single_imputation_flexible,3,2180,0.08121976425835908,0.11077076165835906,0.3885321100917431,0.5573394495412844,0.6334862385321101,0.19529911602699013,0
colorado,clean,development_evaluation,single_imputation_flexible,4,2180,0.0860246950123795,0.11721651711920184,0.37110091743119267,0.5490825688073394,0.6192660550458715,0.20096283760373138,0
colorado,clean,validation,geometric_persistence,1,1921,0.04879220423949881,0.07438793997605445,0.5294117647058824,0.8563248308172826,0.9380530973451328,0.4564966697466545,0
colorado,clean,validation,geometric_persistence,2,1921,0.07437112647555912,0.1240963693814895,0.5070275897969807,0.8120770432066632,0.9453409682457053,0.5934841093054727,0
colorado,clean,validation,geometric_persistence,3,1921,0.09548662974209314,0.16698605668522626,0.4851639770952629,0.8266527850078085,0.9255596043727226,0.6866983920748225,0
colorado,clean,validation,geometric_persistence,4,1921,0.11249385953248996,0.20497326310079086,0.47423217074440394,0.8162415408641333,0.9187922956793336,0.758458224518329,0
colorado,clean,validation,multiple_imputation_compact,1,1921,0.042803598503868584,0.06443710750825804,0.635606454971369,0.803748047891723,0.8656949505465903,0.24560597440686688,0
colorado,clean,validation,multiple_imputation_compact,2,1921,0.057567945036609565,0.08973838049042183,0.5590838105153566,0.7584591358667361,0.8328995314940135,0.29425956098849415,0
colorado,clean,validation,multiple_imputation_compact,3,1921,0.06719028106548522,0.10390885589902518,0.5299323269130661,0.7397188964081207,0.8204060385216033,0.32165698244621704,0
colorado,clean,validation,multiple_imputation_compact,4,1921,0.07340398909641824,0.11261178469645701,0.5268089536699636,0.717855283706403,0.8016657990629881,0.3371114288105582,0
colorado,clean,validation,multiple_imputation_flexible,1,1921,0.045478110097910356,0.064378131566991,0.49453409682457056,0.6751691827173347,0.7459656428943259,0.15272337241199396,0
colorado,clean,validation,multiple_imputation_flexible,2,1921,0.06275621520575622,0.08840479470389563,0.4221759500260281,0.5960437272254034,0.6751691827173347,0.17750699156078695,0
colorado,clean,validation,multiple_imputation_flexible,3,1921,0.07478429774068537,0.10400173352314997,0.40083289953149404,0.5616866215512754,0.642373763664758,0.19356227921505623,0
colorado,clean,validation,multiple_imputation_flexible,4,1921,0.0832238588053943,0.11388544561532458,0.3899010931806351,0.551795939614784,0.6241540864133264,0.19969707786981267,0
colorado,clean,validation,persistence,1,1921,0.06647870015109064,0.11801707561728525,0.5184799583550235,0.8537220197813639,0.941697032795419,0.5209904184773118,0
colorado,clean,validation,persistence,2,1921,0.10336953996374236,0.2022554161529541,0.4841228526808954,0.8172826652785008,0.9292035398230089,0.6785397618313107,0
colorado,clean,validation,persistence,3,1921,0.1289220211194855,0.26158067594562234,0.47631441957313897,0.8089536699635607,0.9099427381572098,0.791886369106877,0
colorado,clean,validation,persistence,4,1921,0.14592936918504537,0.299377331591554,0.5023425299323269,0.7896928682977615,0.9026548672566371,0.8538390417821797,0
colorado,clean,validation,quantile_compact,1,1921,0.036568537690783824,0.05770270128478776,0.47058823529411764,0.7584591358667361,0.8766267568974493,0.31487183835823407,0
colorado,clean,validation,quantile_compact,2,1921,0.04904033498031472,0.08194398950994342,0.43206663196251954,0.7438833940655908,0.8573659552316502,0.4033298082272314,0
colorado,clean,validation,quantile_compact,3,1921,0.05619166889406857,0.09844191731159635,0.4367516918271733,0.7345132743362832,0.8438313378448724,0.4286161406338663,0
colorado,clean,validation,quantile_compact,4,1921,0.06005155479868398,0.10798199772566183,0.415929203539823,0.7230609057782404,0.8438313378448724,0.43706715288397885,0
colorado,clean,validation,quantile_flexible,1,1921,0.03629828828718981,0.05691254826377017,0.4148880791254555,0.6913066111400312,0.842790213430505,0.2790217120890378,0
colorado,clean,validation,quantile_flexible,2,1921,0.04885927761346185,0.08231115894614606,0.3722019781363873,0.6793336803748048,0.818844351900052,0.36742984344686846,0
colorado,clean,validation,quantile_flexible,3,1921,0.05613410021782662,0.09753218831480309,0.35658511192087455,0.661634565330557,0.8115564809994794,0.38758289694588643,0
colorado,clean,validation,quantile_flexible,4,1921,0.06010360446419801,0.10697177935935805,0.36647579385736595,0.6600728787090058,0.7969807391983342,0.39730640911751586,0
colorado,clean,validation,single_imputation_compact,1,1921,0.042803598503868584,0.06443710750825805,0.635606454971369,0.803748047891723,0.8656949505465903,0.24560597440686688,0
colorado,clean,validation,single_imputation_compact,2,1921,0.057567945036609565,0.08973838049042183,0.5590838105153566,0.7584591358667361,0.8328995314940135,0.29425956098849415,0
colorado,clean,validation,single_imputation_compact,3,1921,0.06719028106548522,0.10390885589902518,0.5299323269130661,0.7397188964081207,0.8204060385216033,0.32165698244621704,0
colorado,clean,validation,single_imputation_compact,4,1921,0.07340398909641824,0.11261178469645702,0.5268089536699636,0.717855283706403,0.8016657990629881,0.3371114288105582,0
colorado,clean,validation,single_imputation_flexible,1,1921,0.045478110097910356,0.064378131566991,0.49453409682457056,0.6751691827173347,0.7459656428943259,0.15272337241199396,0
colorado,clean,validation,single_imputation_flexible,2,1921,0.06275621520575622,0.08840479470389563,0.4221759500260281,0.5960437272254034,0.6751691827173347,0.17750699156078695,0
colorado,clean,validation,single_imputation_flexible,3,1921,0.07478429774068537,0.10400173352314997,0.40083289953149404,0.5616866215512754,0.642373763664758,0.19356227921505623,0
colorado,clean,validation,single_imputation_flexible,4,1921,0.0832238588053943,0.11388544561532458,0.3899010931806351,0.551795939614784,0.6241540864133264,0.19969707786981267,0
colorado,clean,warmup,geometric_persistence,1,310,0.05829705954183205,0.0855192079130761,0.45483870967741935,0.7064516129032258,0.8516129032258064,0.3548694204389542,0
colorado,clean,warmup,geometric_persistence,2,310,0.09122466341623514,0.14306870158367227,0.432258064516129,0.7290322580645161,0.8387096774193549,0.520329834869729,0
colorado,clean,warmup,geometric_persistence,3,310,0.11971665418489748,0.20423999197803028,0.38387096774193546,0.7032258064516129,0.8193548387096774,0.6246206457432592,0
colorado,clean,warmup,geometric_persistence,4,310,0.14404827431206946,0.26350031742336105,0.3193548387096774,0.6516129032258065,0.7935483870967742,0.66741820813153,0
colorado,clean,warmup,multiple_imputation_compact,1,310,0.04536544016707626,0.07233768035183234,0.5709677419354838,0.7870967741935484,0.8612903225806452,0.25284391116887545,0
colorado,clean,warmup,multiple_imputation_compact,2,310,0.06010036378817346,0.1018759014950754,0.41935483870967744,0.6838709677419355,0.8032258064516129,0.2989615588951779,0
colorado,clean,warmup,multiple_imputation_compact,3,310,0.07469258314969655,0.12401038125806532,0.3903225806451613,0.6548387096774193,0.7774193548387097,0.32736376569292636,0
colorado,clean,warmup,multiple_imputation_compact,4,310,0.08765349122847636,0.14181318034895796,0.3903225806451613,0.5709677419354838,0.7064516129032258,0.34257763642942723,0
colorado,clean,warmup,multiple_imputation_flexible,1,310,0.05008432198427509,0.07450400295099513,0.35161290322580646,0.567741935483871,0.6838709677419355,0.15502938261825222,0
colorado,clean,warmup,multiple_imputation_flexible,2,310,0.07364394946857156,0.10540820796918508,0.2967741935483871,0.4645161290322581,0.5419354838709678,0.1784410700720774,0
colorado,clean,warmup,multiple_imputation_flexible,3,310,0.09206161551798939,0.1275424406367597,0.2806451612903226,0.43548387096774194,0.5129032258064516,0.1952047143298031,0
colorado,clean,warmup,multiple_imputation_flexible,4,310,0.11197994003594793,0.14974812266207618,0.2645161290322581,0.42258064516129035,0.4967741935483871,0.20147289072315414,0
colorado,clean,warmup,persistence,1,310,0.08791211267710311,0.15152648407761268,0.43548387096774194,0.7161290322580646,0.8387096774193549,0.4663310805768723,0
colorado,clean,warmup,persistence,2,310,0.1326888845691009,0.2510778489354186,0.3709677419354839,0.7096774193548387,0.8032258064516129,0.6692342156686893,0
colorado,clean,warmup,persistence,3,310,0.16257657534023232,0.32766869563082185,0.3548387096774194,0.6838709677419355,0.8193548387096774,0.7898795073414248,0
colorado,clean,warmup,persistence,4,310,0.18022829399034276,0.3767159760426479,0.3193548387096774,0.6903225806451613,0.7645161290322581,0.8109120261977659,0
colorado,clean,warmup,quantile_compact,1,310,0.04092802602376728,0.06454698404316275,0.45806451612903226,0.7032258064516129,0.8548387096774194,0.3540178226643564,0
colorado,clean,warmup,quantile_compact,2,310,0.0546671129564781,0.0943794494775584,0.3967741935483871,0.7451612903225806,0.9032258064516129,0.4994688258456557,0
colorado,clean,warmup,quantile_compact,3,310,0.06428269587414492,0.1111262482655466,0.432258064516129,0.7225806451612903,0.8548387096774194,0.5169040086003566,0
colorado,clean,warmup,quantile_compact,4,310,0.0710077705938602,0.12195003031726842,0.4161290322580645,0.7064516129032258,0.8193548387096774,0.5304753315837448,0
colorado,clean,warmup,quantile_flexible,1,310,0.040337385370771375,0.06299021393143546,0.38387096774193546,0.6451612903225806,0.7967741935483871,0.3192056119914934,0
colorado,clean,warmup,quantile_flexible,2,310,0.05496907029166647,0.09371768356531887,0.35161290322580646,0.6580645161290323,0.832258064516129,0.4566801268616087,0
