site,phase,contrast,events,mean_nwis_difference,ci_lower,ci_upper
colorado,outage,MI_minus_SI_compact,26,-0.0012786351949474867,-0.005814768485737141,0.0030673265965266714
colorado,outage,MI_minus_SI_flexible,26,-0.00677641971431519,-0.011742957361475211,-0.0019680284468306664
colorado,outage,joint_gradual_minus_immediate__geometric_persistence,26,0.0,0.0,0.0
colorado,outage,joint_gradual_minus_immediate__multiple_imputation_compact,26,0.0,0.0,0.0
colorado,outage,joint_gradual_minus_immediate__persistence,26,0.0,0.0,0.0
colorado,outage,joint_gradual_minus_immediate__quantile_flexible,26,0.0,0.0,0.0
colorado,outage,joint_gradual_minus_immediate__single_imputation_compact,26,0.0,0.0,0.0
colorado,outage,joint_none_minus_immediate__geometric_persistence,26,0.0,0.0,0.0
colorado,outage,joint_none_minus_immediate__multiple_imputation_compact,26,0.0,0.0,0.0
colorado,outage,joint_none_minus_immediate__persistence,26,0.0,0.0,0.0
colorado,outage,joint_none_minus_immediate__quantile_flexible,26,0.0,0.0,0.0
colorado,outage,joint_none_minus_immediate__single_imputation_compact,26,0.0,0.0,0.0
colorado,partial_restoration,MI_minus_SI_compact,26,-0.0012661062671359324,-0.0033959854877572554,0.00028151768422129703
colorado,partial_restoration,MI_minus_SI_flexible,26,-0.0030776951197985613,-0.006075551708809392,-0.00099052798308011
colorado,recovery_0_6,MI_minus_SI_compact,26,-0.00038264377152187325,-0.0007314964852070842,-9.758505020445214e-05
colorado,recovery_0_6,MI_minus_SI_flexible,26,-0.0011493507482323534,-0.0018305843617941445,-0.0005453476192356141
colorado,recovery_0_6,joint_gradual_minus_immediate__geometric_persistence,22,0.0,0.0,0.0
colorado,recovery_0_6,joint_gradual_minus_immediate__multiple_imputation_compact,22,5.343603939099168e-05,-0.0007846209974124427,0.0009696518948230988
colorado,recovery_0_6,joint_gradual_minus_immediate__persistence,22,0.0,0.0,0.0
colorado,recovery_0_6,joint_gradual_minus_immediate__quantile_flexible,22,0.003648042482225253,0.0012185134245334293,0.006480725401925662
colorado,recovery_0_6,joint_gradual_minus_immediate__single_imputation_compact,22,0.001121347408378131,-3.941264760435957e-05,0.0025298163438519806
