phase,event_id,difference,contrast,site
outage,26,-0.026574077534700362,MI_minus_SI_compact,nist
outage,27,0.0002484161827115364,MI_minus_SI_compact,nist
outage,28,-0.012684218504533221,MI_minus_SI_compact,nist
outage,29,-0.004487445589175783,MI_minus_SI_compact,nist
outage,30,-0.003393487640182862,MI_minus_SI_compact,nist
outage,31,-0.030102078531778965,MI_minus_SI_compact,nist
outage,32,0.018899031321813718,MI_minus_SI_compact,nist
outage,33,-0.011402729132745168,MI_minus_SI_compact,nist
outage,34,0.00613373638820537,MI_minus_SI_compact,nist
outage,35,0.012805519461405623,MI_minus_SI_compact,nist
outage,36,0.004111840457370039,MI_minus_SI_compact,nist
outage,37,-0.05923444317532228,MI_minus_SI_compact,nist
outage,38,-0.0489609756502744,MI_minus_SI_compact,nist
outage,39,-0.011664454331039522,MI_minus_SI_compact,nist
outage,40,0.00620483748469303,MI_minus_SI_compact,nist
outage,42,-0.015946238022989247,MI_minus_SI_compact,nist
outage,43,0.00962226705018721,MI_minus_SI_compact,nist
outage,44,-0.021596625929162058,MI_minus_SI_compact,nist
outage,45,0.006177797465113063,MI_minus_SI_compact,nist
outage,46,-0.05781545618049013,MI_minus_SI_compact,nist
outage,47,0.004729588508088387,MI_minus_SI_compact,nist
outage,48,0.009223150283931635,MI_minus_SI_compact,nist
outage,49,-0.017285597684623805,MI_minus_SI_compact,nist
outage,50,0.0040516738088003865,MI_minus_SI_compact,nist
outage,51,-0.005278612572549693,MI_minus_SI_compact,nist
partial_restoration,26,-0.0007889256398193501,MI_minus_SI_compact,nist
partial_restoration,27,0.004061223725935485,MI_minus_SI_compact,nist
partial_restoration,28,-0.003459684258349154,MI_minus_SI_compact,nist
partial_restoration,29,-0.0004660613111554023,MI_minus_SI_compact,nist
partial_restoration,30,0.005579752778996801,MI_minus_SI_compact,nist
partial_restoration,31,0.001740084190734761,MI_minus_SI_compact,nist
partial_restoration,32,0.008763246898804228,MI_minus_SI_compact,nist
partial_restoration,33,-0.0010245458839361033,MI_minus_SI_compact,nist
partial_restoration,34,-0.002419794616621004,MI_minus_SI_compact,nist
partial_restoration,35,0.0012100517904661688,MI_minus_SI_compact,nist
partial_restoration,36,-0.004316937159143728,MI_minus_SI_compact,nist
partial_restoration,37,-0.0012385758479086528,MI_minus_SI_compact,nist
partial_restoration,38,-0.0011892783809259262,MI_minus_SI_compact,nist
partial_restoration,39,-0.008762410240720917,MI_minus_SI_compact,nist
partial_restoration,40,-0.013570902238152884,MI_minus_SI_compact,nist
partial_restoration,42,-0.0060008844134180304,MI_minus_SI_compact,nist
partial_restoration,43,0.004735214214857105,MI_minus_SI_compact,nist
partial_restoration,44,0.00582379782498661,MI_minus_SI_compact,nist
partial_restoration,45,0.005444973870863579,MI_minus_SI_compact,nist
partial_restoration,46,-0.00374633290365002,MI_minus_SI_compact,nist
partial_restoration,47,0.001194441160606623,MI_minus_SI_compact,nist
partial_restoration,48,0.00013975017078382627,MI_minus_SI_compact,nist
partial_restoration,49,0.0006763063524644359,MI_minus_SI_compact,nist
partial_restoration,50,-0.003361512873636876,MI_minus_SI_compact,nist
partial_restoration,51,-8.72864494275645e-05,MI_minus_SI_compact,nist
recovery_0_6,26,6.621710606933643e-05,MI_minus_SI_compact,nist
recovery_0_6,27,-0.00018274938244774414,MI_minus_SI_compact,nist
recovery_0_6,28,-0.0003468596582051536,MI_minus_SI_compact,nist
recovery_0_6,29,-0.0002198117556861022,MI_minus_SI_compact,nist
recovery_0_6,30,-1.1564823173178713e-18,MI_minus_SI_compact,nist
recovery_0_6,31,0.0006527083292261539,MI_minus_SI_compact,nist
recovery_0_6,32,0.001735069485396005,MI_minus_SI_compact,nist
recovery_0_6,33,-6.291359962314463e-05,MI_minus_SI_compact,nist
recovery_0_6,34,0.0017843841311795464,MI_minus_SI_compact,nist
recovery_0_6,35,0.0009882709887305964,MI_minus_SI_compact,nist
recovery_0_6,36,-0.0017846027785092722,MI_minus_SI_compact,nist
recovery_0_6,37,0.0005407551669735135,MI_minus_SI_compact,nist
recovery_0_6,38,-3.711265617887345e-05,MI_minus_SI_compact,nist
recovery_0_6,39,-0.0004550438256918689,MI_minus_SI_compact,nist
recovery_0_6,40,-0.0004059449553202037,MI_minus_SI_compact,nist
recovery_0_6,41,0.0025854196011498545,MI_minus_SI_compact,nist
recovery_0_6,42,0.0005385049966738757,MI_minus_SI_compact,nist
recovery_0_6,43,0.00040017400869938414,MI_minus_SI_compact,nist
recovery_0_6,44,3.982854043348297e-05,MI_minus_SI_compact,nist
recovery_0_6,45,0.004986643879103295,MI_minus_SI_compact,nist
recovery_0_6,46,0.0005308813303340766,MI_minus_SI_compact,nist
recovery_0_6,47,-2.462558309006859e-05,MI_minus_SI_compact,nist
recovery_0_6,48,0.0004914769700904751,MI_minus_SI_compact,nist
recovery_0_6,49,-0.0005285796498597793,MI_minus_SI_compact,nist
recovery_0_6,50,-0.0035414312166383993,MI_minus_SI_compact,nist
recovery_6_24,26,0.00011575920313063012,MI_minus_SI_compact,nist
recovery_6_24,27,-0.0002242074967142473,MI_minus_SI_compact,nist
recovery_6_24,28,0.000148074624622618,MI_minus_SI_compact,nist
recovery_6_24,29,-0.00024641574359944373,MI_minus_SI_compact,nist
recovery_6_24,30,0.00023230857390666546,MI_minus_SI_compact,nist
recovery_6_24,31,-0.00208257198316214,MI_minus_SI_compact,nist
recovery_6_24,32,-0.00013734246004634668,MI_minus_SI_compact,nist
recovery_6_24,33,0.00438259521587001,MI_minus_SI_compact,nist
recovery_6_24,34,0.0010358575935762455,MI_minus_SI_compact,nist
recovery_6_24,35,0.0018547716016509674,MI_minus_SI_compact,nist
recovery_6_24,36,-9.89743070805735e-05,MI_minus_SI_compact,nist
recovery_6_24,37,0.002120728864854233,MI_minus_SI_compact,nist
recovery_6_24,38,0.0012933839710357992,MI_minus_SI_compact,nist
recovery_6_24,39,-2.395824230591532e-05,MI_minus_SI_compact,nist
recovery_6_24,40,-6.182439402276278e-05,MI_minus_SI_compact,nist
recovery_6_24,41,0.005504847919529698,MI_minus_SI_compact,nist
recovery_6_24,42,-0.00027975173470475354,MI_minus_SI_compact,nist
recovery_6_24,43,-6.937229915324826e-05,MI_minus_SI_compact,nist
