site,population,case_id,case_group,method,endpoint,horizon,nwis,n,events
reserve10,recorded_ac,clean,primary,raw,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,raw,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,raw,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,raw,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,rolling,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,rolling,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,rolling,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,rolling,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,recency,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,recency,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,recency,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,recency,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical_availability,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical_availability,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical_availability,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical_availability,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,physical_recovery,all,1,0.103,1000,0
reserve10,recorded_ac,clean,primary,physical_recovery,all,2,0.103,1000,0
reserve10,recorded_ac,clean,primary,physical_recovery,all,3,0.103,1000,0
reserve10,recorded_ac,clean,primary,physical_recovery,all,4,0.103,1000,0
reserve10,recorded_ac,clean,primary,mask50,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,mask50,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,mask50,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,mask50,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,aci_bounded,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,aci_bounded,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,aci_bounded,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,aci_bounded,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,single_imputation,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,single_imputation,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,single_imputation,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,single_imputation,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,multiple_imputation,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,multiple_imputation,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,multiple_imputation,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,multiple_imputation,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,mi_recency,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,mi_recency,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,mi_recency,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,mi_recency,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,persistence,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,persistence,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,persistence,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,persistence,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,geometric_persistence,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,geometric_persistence,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,geometric_persistence,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,geometric_persistence,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,previous_day,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,previous_day,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,previous_day,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,previous_day,all,4,0.1,1000,0
reserve10,recorded_ac,clean,primary,carry_forward,all,1,0.1,1000,0
reserve10,recorded_ac,clean,primary,carry_forward,all,2,0.1,1000,0
reserve10,recorded_ac,clean,primary,carry_forward,all,3,0.1,1000,0
reserve10,recorded_ac,clean,primary,carry_forward,all,4,0.1,1000,0
reserve10,recorded_ac,joint_gradual,primary,raw,recovery_0_6,1,0.1,125,30
reserve10,recorded_ac,joint_gradual,primary,raw,recovery_0_6,2,0.1,126,29
reserve10,recorded_ac,joint_gradual,primary,raw,recovery_0_6,3,0.1,127,30
reserve10,recorded_ac,joint_gradual,primary,raw,recovery_0_6,4,0.1,128,29
reserve10,recorded_ac,joint_gradual,primary,raw,recovery_6_24,1,0.1,125,30
reserve10,recorded_ac,joint_gradual,primary,raw,recovery_6_24,2,0.1,126,29
reserve10,recorded_ac,joint_gradual,primary,raw,recovery_6_24,3,0.1,127,30
reserve10,recorded_ac,joint_gradual,primary,raw,recovery_6_24,4,0.1,128,29
