site,population,endpoint,method,nwis,nmae,coverage90,nwidth90,forecast_target_pairs,min_events_per_stratum,min_cases_per_stratum
reserve10,recorded_ac,failure_recovery,raw,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,rolling,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,recency,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,physical,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,physical_availability,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,physical_recovery,0.094,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,mask50,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,aci_bounded,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,single_imputation,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,multiple_imputation,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,mi_recency,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,persistence,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,geometric_persistence,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,previous_day,0.1,0.05,0.9,0.3,2000,29,124
reserve10,recorded_ac,failure_recovery,carry_forward,0.1,0.05,0.9,0.3,2000,29,124
