site,case_id,case_group,phase,method,n,fallback_fraction,global_fallback_fraction,mean_pool,mean_effective_n,mean_score_age_h,nesting_repaired_fraction
nist,clean,primary,normal,aci_bounded,15912,0.0,0.0,362.92169431875317,362.92169431875317,4.775703871292107,0.22171945701357465
nist,clean,primary,normal,mask50,15912,0.0,0.07975113122171945,362.92169431875317,227.59081878691737,4.775703871292107,0.22266214177978885
nist,clean,primary,normal,mi_recency,15912,0.0,0.0,362.92169431875317,268.22106762344436,4.775703871292107,0.34973604826546
nist,clean,primary,normal,physical,15912,0.0,0.0,362.92169431875317,195.30240711701123,4.775703871292107,0.23196329813976874
nist,clean,primary,normal,physical_availability,15912,0.0,0.0020739064856711916,362.92169431875317,156.39240267063806,4.775703871292107,0.24233283056812469
nist,clean,primary,normal,physical_recovery,15912,0.0,0.0023252890899949723,362.92169431875317,154.28339190574275,4.775703871292107,0.24352689793866264
nist,clean,primary,normal,recency,15912,0.0,0.0,362.92169431875317,268.22106762344436,4.775703871292107,0.22021116138763197
nist,clean,primary,normal,rolling,15912,0.0,0.0,362.92169431875317,362.92169431875317,4.775703871292107,0.21210407239819004
nist,pv_only,primary,normal,aci_bounded,12416,0.0,0.0,363.20207796391753,363.20207796391753,4.813305412371134,0.22213273195876287
nist,pv_only,primary,normal,mask50,12416,0.0,0.07514497422680412,363.20207796391753,221.07492435159975,4.813305412371134,0.2271262886597938
nist,pv_only,primary,normal,mi_recency,12416,0.0,0.0,363.20207796391753,268.4589006947524,4.813305412371134,0.34850193298969073
nist,pv_only,primary,normal,physical,12416,0.0,0.0,363.20207796391753,195.0894294764714,4.813305412371134,0.23091172680412372
nist,pv_only,primary,normal,physical_availability,12416,0.0,0.00273840206185567,363.20207796391753,152.03534372619401,4.813305412371134,0.24428157216494845
nist,pv_only,primary,normal,physical_recovery,12416,0.0,0.004107603092783505,363.20207796391753,146.41596034189857,4.813305412371134,0.24742268041237114
nist,pv_only,primary,normal,recency,12416,0.0,0.0,363.20207796391753,268.4589006947524,4.813305412371134,0.21786404639175258
