horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
1,299,0.03086829525579709,0.0516423339015248,0.39464882943143814,0.6956521739130435,0.8361204013377926,0.23821110075607008,46,nist,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.04137678102273099,0.07213143006787202,0.4266666666666667,0.7066666666666667,0.8433333333333334,0.3352850724416225,46,nist,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.04726350654183956,0.08325887995635933,0.38047138047138046,0.6936026936026936,0.8383838383838383,0.36830066218845176,46,nist,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.05139792381229783,0.09346715438475547,0.3864406779661017,0.7288135593220338,0.8372881355932204,0.3840231612176468,45,nist,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.03086829525579709,0.0516423339015248,0.39464882943143814,0.6956521739130435,0.8361204013377926,0.23821110075607008,46,nist,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.04137678102273099,0.07213143006787202,0.4266666666666667,0.7066666666666667,0.8433333333333334,0.3352850724416225,46,nist,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.04726350654183956,0.08325887995635933,0.38047138047138046,0.6936026936026936,0.8383838383838383,0.36830066218845176,46,nist,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.05139792381229783,0.09346715438475547,0.3864406779661017,0.7288135593220338,0.8372881355932204,0.3840231612176468,45,nist,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.04381864252330468,0.07691770895614618,0.44481605351170567,0.7759197324414716,0.8996655518394648,0.4036721128706963,46,nist,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.05027546584222235,0.08896951936682235,0.3933333333333333,0.74,0.8633333333333333,0.40483263893065796,46,nist,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.05364177604295739,0.10027138632037008,0.3872053872053872,0.7272727272727273,0.8518518518518519,0.3926715964639668,46,nist,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.05551477950134573,0.10668913966956552,0.4101694915254237,0.7491525423728813,0.8576271186440678,0.3996461663405653,45,nist,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.04381864252330468,0.07691770895614618,0.44481605351170567,0.7759197324414716,0.8996655518394648,0.4036721128706963,46,nist,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.05027546584222235,0.08896951936682235,0.3933333333333333,0.74,0.8633333333333333,0.40483263893065796,46,nist,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.05364177604295739,0.10027138632037008,0.3872053872053872,0.7272727272727273,0.8518518518518519,0.3926715964639668,46,nist,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.05551477950134573,0.10668913966956552,0.4101694915254237,0.7491525423728813,0.8576271186440678,0.3996461663405653,45,nist,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.0416645653051814,0.0700391394224588,0.5585284280936454,0.8461538461538461,0.9498327759197325,0.3512706783907297,46,nist,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.048645801248183344,0.09169514720248771,0.41333333333333333,0.75,0.8566666666666667,0.3741686897321467,46,nist,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.05284061968947607,0.09611214606061486,0.37037037037037035,0.7037037037037037,0.8619528619528619,0.3977021435511706,46,nist,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.05638739373262575,0.10955672336518388,0.36271186440677966,0.6711864406779661,0.8508474576271187,0.3976991277929318,45,nist,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.0416645653051814,0.0700391394224588,0.5585284280936454,0.8461538461538461,0.9498327759197325,0.3512706783907297,46,nist,irradiance_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.048645801248183344,0.09169514720248771,0.41333333333333333,0.75,0.8566666666666667,0.3741686897321467,46,nist,irradiance_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.05284061968947607,0.09611214606061486,0.37037037037037035,0.7037037037037037,0.8619528619528619,0.3977021435511706,46,nist,irradiance_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.05638739373262575,0.10955672336518388,0.36271186440677966,0.6711864406779661,0.8508474576271187,0.3976991277929318,45,nist,irradiance_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.06933463211821868,0.1353540710023759,0.4816053511705686,0.7959866220735786,0.862876254180602,0.5126632647071091,46,nist,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.06347194751266676,0.12651004839240582,0.4166666666666667,0.7533333333333333,0.8733333333333333,0.4415146654835531,46,nist,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.06264153030259496,0.12610294376590342,0.3872053872053872,0.7508417508417509,0.8754208754208754,0.42343698789180056,46,nist,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.06146078190694231,0.1257850319273604,0.41694915254237286,0.7593220338983051,0.8677966101694915,0.4137981000635776,45,nist,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.06933463211821868,0.1353540710023759,0.4816053511705686,0.7959866220735786,0.862876254180602,0.5126632647071091,46,nist,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
