site,case_id,case_group,horizon,n,events,days,population,endpoint,low_event_support,low_case_support
nist,clean,primary,1,3978,0,332,recorded_ac,all,False,False
nist,clean,primary,2,3978,0,332,recorded_ac,all,False,False
nist,clean,primary,3,3978,0,332,recorded_ac,all,False,False
nist,clean,primary,4,3978,0,332,recorded_ac,all,False,False
nist,clean,primary,1,3965,0,332,exclude_bright_zero,all,False,False
nist,clean,primary,2,3965,0,332,exclude_bright_zero,all,False,False
nist,clean,primary,3,3965,0,332,exclude_bright_zero,all,False,False
nist,clean,primary,4,3965,0,332,exclude_bright_zero,all,False,False
nist,pv_only,primary,1,299,46,49,recorded_ac,partial_restoration,False,False
nist,pv_only,primary,2,300,46,48,recorded_ac,partial_restoration,False,False
nist,pv_only,primary,3,297,46,46,recorded_ac,partial_restoration,False,False
nist,pv_only,primary,4,295,45,46,recorded_ac,partial_restoration,False,False
nist,pv_only,primary,1,129,35,37,recorded_ac,recovery_0_6,False,True
nist,pv_only,primary,2,127,34,34,recorded_ac,recovery_0_6,False,True
nist,pv_only,primary,3,129,34,34,recorded_ac,recovery_0_6,False,True
nist,pv_only,primary,4,133,31,31,recorded_ac,recovery_0_6,False,True
nist,pv_only,primary,1,447,47,56,recorded_ac,recovery_6_24,False,False
nist,pv_only,primary,2,449,47,58,recorded_ac,recovery_6_24,False,False
nist,pv_only,primary,3,447,47,59,recorded_ac,recovery_6_24,False,False
nist,pv_only,primary,4,444,47,59,recorded_ac,recovery_6_24,False,False
nist,pv_only,primary,1,576,47,70,recorded_ac,recovery,False,False
nist,pv_only,primary,2,576,47,69,recorded_ac,recovery,False,False
nist,pv_only,primary,3,576,47,68,recorded_ac,recovery,False,False
nist,pv_only,primary,4,577,47,66,recorded_ac,recovery,False,False
nist,pv_only,primary,1,875,48,95,recorded_ac,failure_recovery,False,False
nist,pv_only,primary,2,876,48,95,recorded_ac,failure_recovery,False,False
nist,pv_only,primary,3,873,48,93,recorded_ac,failure_recovery,False,False
nist,pv_only,primary,4,872,48,93,recorded_ac,failure_recovery,False,False
nist,pv_only,primary,1,3978,48,332,recorded_ac,all,False,False
nist,pv_only,primary,2,3978,48,332,recorded_ac,all,False,False
nist,pv_only,primary,3,3978,48,332,recorded_ac,all,False,False
nist,pv_only,primary,4,3978,48,332,recorded_ac,all,False,False
nist,pv_only,primary,1,299,46,49,exclude_bright_zero,partial_restoration,False,False
nist,pv_only,primary,2,300,46,48,exclude_bright_zero,partial_restoration,False,False
nist,pv_only,primary,3,297,46,46,exclude_bright_zero,partial_restoration,False,False
nist,pv_only,primary,4,295,45,46,exclude_bright_zero,partial_restoration,False,False
nist,pv_only,primary,1,129,35,37,exclude_bright_zero,recovery_0_6,False,True
nist,pv_only,primary,2,127,34,34,exclude_bright_zero,recovery_0_6,False,True
nist,pv_only,primary,3,129,34,34,exclude_bright_zero,recovery_0_6,False,True
nist,pv_only,primary,4,133,31,31,exclude_bright_zero,recovery_0_6,False,True
nist,pv_only,primary,1,447,47,56,exclude_bright_zero,recovery_6_24,False,False
nist,pv_only,primary,2,449,47,58,exclude_bright_zero,recovery_6_24,False,False
nist,pv_only,primary,3,447,47,59,exclude_bright_zero,recovery_6_24,False,False
nist,pv_only,primary,4,444,47,59,exclude_bright_zero,recovery_6_24,False,False
nist,pv_only,primary,1,576,47,70,exclude_bright_zero,recovery,False,False
nist,pv_only,primary,2,576,47,69,exclude_bright_zero,recovery,False,False
nist,pv_only,primary,3,576,47,68,exclude_bright_zero,recovery,False,False
nist,pv_only,primary,4,577,47,66,exclude_bright_zero,recovery,False,False
nist,pv_only,primary,1,875,48,95,exclude_bright_zero,failure_recovery,False,False
nist,pv_only,primary,2,876,48,95,exclude_bright_zero,failure_recovery,False,False
nist,pv_only,primary,3,873,48,93,exclude_bright_zero,failure_recovery,False,False
nist,pv_only,primary,4,872,48,93,exclude_bright_zero,failure_recovery,False,False
nist,pv_only,primary,1,3965,48,332,exclude_bright_zero,all,False,False
nist,pv_only,primary,2,3965,48,332,exclude_bright_zero,all,False,False
nist,pv_only,primary,3,3965,48,332,exclude_bright_zero,all,False,False
nist,pv_only,primary,4,3965,48,332,exclude_bright_zero,all,False,False
nist,irradiance_only,primary,1,299,46,49,recorded_ac,partial_restoration,False,False
nist,irradiance_only,primary,2,300,46,48,recorded_ac,partial_restoration,False,False
nist,irradiance_only,primary,3,297,46,46,recorded_ac,partial_restoration,False,False
nist,irradiance_only,primary,4,295,45,46,recorded_ac,partial_restoration,False,False
nist,irradiance_only,primary,1,129,35,37,recorded_ac,recovery_0_6,False,True
nist,irradiance_only,primary,2,127,34,34,recorded_ac,recovery_0_6,False,True
nist,irradiance_only,primary,3,129,34,34,recorded_ac,recovery_0_6,False,True
nist,irradiance_only,primary,4,133,31,31,recorded_ac,recovery_0_6,False,True
nist,irradiance_only,primary,1,447,47,56,recorded_ac,recovery_6_24,False,False
nist,irradiance_only,primary,2,449,47,58,recorded_ac,recovery_6_24,False,False
nist,irradiance_only,primary,3,447,47,59,recorded_ac,recovery_6_24,False,False
nist,irradiance_only,primary,4,444,47,59,recorded_ac,recovery_6_24,False,False
nist,irradiance_only,primary,1,576,47,70,recorded_ac,recovery,False,False
nist,irradiance_only,primary,2,576,47,69,recorded_ac,recovery,False,False
nist,irradiance_only,primary,3,576,47,68,recorded_ac,recovery,False,False
nist,irradiance_only,primary,4,577,47,66,recorded_ac,recovery,False,False
nist,irradiance_only,primary,1,875,48,95,recorded_ac,failure_recovery,False,False
nist,irradiance_only,primary,2,876,48,95,recorded_ac,failure_recovery,False,False
nist,irradiance_only,primary,3,873,48,93,recorded_ac,failure_recovery,False,False
nist,irradiance_only,primary,4,872,48,93,recorded_ac,failure_recovery,False,False
nist,irradiance_only,primary,1,3978,48,332,recorded_ac,all,False,False
nist,irradiance_only,primary,2,3978,48,332,recorded_ac,all,False,False
nist,irradiance_only,primary,3,3978,48,332,recorded_ac,all,False,False
nist,irradiance_only,primary,4,3978,48,332,recorded_ac,all,False,False
nist,irradiance_only,primary,1,299,46,49,exclude_bright_zero,partial_restoration,False,False
nist,irradiance_only,primary,2,300,46,48,exclude_bright_zero,partial_restoration,False,False
nist,irradiance_only,primary,3,297,46,46,exclude_bright_zero,partial_restoration,False,False
nist,irradiance_only,primary,4,295,45,46,exclude_bright_zero,partial_restoration,False,False
nist,irradiance_only,primary,1,129,35,37,exclude_bright_zero,recovery_0_6,False,True
nist,irradiance_only,primary,2,127,34,34,exclude_bright_zero,recovery_0_6,False,True
nist,irradiance_only,primary,3,129,34,34,exclude_bright_zero,recovery_0_6,False,True
nist,irradiance_only,primary,4,133,31,31,exclude_bright_zero,recovery_0_6,False,True
nist,irradiance_only,primary,1,447,47,56,exclude_bright_zero,recovery_6_24,False,False
nist,irradiance_only,primary,2,449,47,58,exclude_bright_zero,recovery_6_24,False,False
nist,irradiance_only,primary,3,447,47,59,exclude_bright_zero,recovery_6_24,False,False
nist,irradiance_only,primary,4,444,47,59,exclude_bright_zero,recovery_6_24,False,False
nist,irradiance_only,primary,1,576,47,70,exclude_bright_zero,recovery,False,False
nist,irradiance_only,primary,2,576,47,69,exclude_bright_zero,recovery,False,False
nist,irradiance_only,primary,3,576,47,68,exclude_bright_zero,recovery,False,False
nist,irradiance_only,primary,4,577,47,66,exclude_bright_zero,recovery,False,False
nist,irradiance_only,primary,1,875,48,95,exclude_bright_zero,failure_recovery,False,False
nist,irradiance_only,primary,2,876,48,95,exclude_bright_zero,failure_recovery,False,False
nist,irradiance_only,primary,3,873,48,93,exclude_bright_zero,failure_recovery,False,False
nist,irradiance_only,primary,4,872,48,93,exclude_bright_zero,failure_recovery,False,False
nist,irradiance_only,primary,1,3965,48,332,exclude_bright_zero,all,False,False
nist,irradiance_only,primary,2,3965,48,332,exclude_bright_zero,all,False,False
nist,irradiance_only,primary,3,3965,48,332,exclude_bright_zero,all,False,False
nist,irradiance_only,primary,4,3965,48,332,exclude_bright_zero,all,False,False
nist,joint_immediate,primary,1,299,46,49,recorded_ac,outage,False,False
nist,joint_immediate,primary,2,300,46,48,recorded_ac,outage,False,False
nist,joint_immediate,primary,3,297,46,46,recorded_ac,outage,False,False
nist,joint_immediate,primary,4,295,45,46,recorded_ac,outage,False,False
nist,joint_immediate,primary,1,129,35,37,recorded_ac,recovery_0_6,False,True
nist,joint_immediate,primary,2,127,34,34,recorded_ac,recovery_0_6,False,True
nist,joint_immediate,primary,3,129,34,34,recorded_ac,recovery_0_6,False,True
nist,joint_immediate,primary,4,133,31,31,recorded_ac,recovery_0_6,False,True
nist,joint_immediate,primary,1,447,47,56,recorded_ac,recovery_6_24,False,False
nist,joint_immediate,primary,2,449,47,58,recorded_ac,recovery_6_24,False,False
nist,joint_immediate,primary,3,447,47,59,recorded_ac,recovery_6_24,False,False
nist,joint_immediate,primary,4,444,47,59,recorded_ac,recovery_6_24,False,False
nist,joint_immediate,primary,1,576,47,70,recorded_ac,recovery,False,False
nist,joint_immediate,primary,2,576,47,69,recorded_ac,recovery,False,False
nist,joint_immediate,primary,3,576,47,68,recorded_ac,recovery,False,False
nist,joint_immediate,primary,4,577,47,66,recorded_ac,recovery,False,False
nist,joint_immediate,primary,1,875,48,95,recorded_ac,failure_recovery,False,False
nist,joint_immediate,primary,2,876,48,95,recorded_ac,failure_recovery,False,False
nist,joint_immediate,primary,3,873,48,93,recorded_ac,failure_recovery,False,False
nist,joint_immediate,primary,4,872,48,93,recorded_ac,failure_recovery,False,False
nist,joint_immediate,primary,1,3978,48,332,recorded_ac,all,False,False
nist,joint_immediate,primary,2,3978,48,332,recorded_ac,all,False,False
nist,joint_immediate,primary,3,3978,48,332,recorded_ac,all,False,False
