site,case_id,case_group,data_variant,model_training_source,model_site,model_ablation,privileged_labels,inputs_equal_primary,forecasts,invalid_targets,outside_period_targets,elapsed_seconds
nist,clean,primary,primary,2016,nist,none,False,True,522480,12000,90,382.71941233301186
nist,pv_only,primary,primary,2016,nist,none,False,True,522480,12000,90,225.943107375002
nist,irradiance_only,primary,primary,2016,nist,none,False,True,522480,12000,90,263.30555395799456
nist,joint_immediate,primary,primary,2016,nist,none,False,True,522480,12000,90,461.7364337499894
nist,joint_gradual,primary,primary,2016,nist,none,False,True,522480,12000,90,424.7211950419878
nist,joint_none,primary,primary,2016,nist,none,False,True,522480,12000,90,262.0565808750107
nist,irradiance_first,primary,primary,2016,nist,none,False,True,522480,12000,90,270.42697175001376
nist,pv_first,primary,primary,2016,nist,none,False,True,522480,12000,90,282.07631637499435
nist,duration_6h,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,109.46711045797565
nist,duration_24h,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,128.88538195798174
nist,backfill_60min,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,165.8983049580129
nist,channel_gap_6h,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,114.13312883299659
nist,schedule_seed_2,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,134.58964383401326
nist,schedule_seed_3,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,102.52646770898718
nist,narrow_quality,sensitivity,narrow_quality,2016,nist,none,False,True,174160,4000,30,100.55522016601753
nist,training_2015,sensitivity,primary,2015,nist,none,False,True,174160,4000,30,84.7427301669959
nist,receipt_5min,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,66.85325516600278
nist,schedule_seed_4,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,93.9369290000177
nist,schedule_seed_5,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,81.16916699998546
nist,no_input_age,sensitivity,primary,2016,nist,no_age,False,True,174160,4000,30,226.9675606250239
nist,no_block_augmentation,sensitivity,primary,2016,nist,no_block,False,True,174160,4000,30,252.16378545801854
nist,privileged_labels,diagnostic,primary,2016,nist,none,True,True,174160,4000,30,230.69921866600635
nist,cross_site_weights,sensitivity,primary,other_site,colorado,none,False,True,174160,4000,30,346.28719533298863
nist,stale_transport,sensitivity,primary,2016,nist,none,False,True,174160,4000,30,192.1302157920145
colorado,clean,primary,primary,2016,colorado,none,False,True,522480,18960,90,163.83094479198917
colorado,pv_only,primary,primary,2016,colorado,none,False,True,522480,18960,90,237.91927095901337
colorado,irradiance_only,primary,primary,2016,colorado,none,False,True,522480,18960,90,350.131819000002
colorado,joint_immediate,primary,primary,2016,colorado,none,False,True,522480,18960,90,262.85118029199657
colorado,joint_gradual,primary,primary,2016,colorado,none,False,True,522480,18960,90,258.8799802499998
colorado,joint_none,primary,primary,2016,colorado,none,False,True,522480,18960,90,278.65622466700734
colorado,irradiance_first,primary,primary,2016,colorado,none,False,True,522480,18960,90,248.77735333400778
colorado,pv_first,primary,primary,2016,colorado,none,False,True,522480,18960,90,235.56312354200054
colorado,duration_6h,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,179.0940713339951
colorado,duration_24h,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,168.82455991700408
colorado,backfill_60min,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,175.9339766660123
colorado,channel_gap_6h,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,196.83485949999886
colorado,schedule_seed_2,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,252.15289783399203
colorado,schedule_seed_3,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,166.14175379098742
colorado,narrow_quality,sensitivity,narrow_quality,2016,colorado,none,False,False,174160,6320,30,471.00661812498583
colorado,right_aligned,sensitivity,right_aligned,2016,colorado,none,False,False,174160,6320,30,460.4856289169984
colorado,training_2015,sensitivity,primary,2015,colorado,none,False,True,174160,6320,30,202.53664491701056
colorado,receipt_5min,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,211.15130058399518
colorado,schedule_seed_4,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,145.63292574998923
colorado,schedule_seed_5,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,130.60978329202044
colorado,no_input_age,sensitivity,primary,2016,colorado,no_age,False,True,174160,6320,30,394.8832401249965
colorado,no_block_augmentation,sensitivity,primary,2016,colorado,no_block,False,True,174160,6320,30,297.87148841598537
colorado,privileged_labels,diagnostic,primary,2016,colorado,none,True,True,174160,6320,30,167.59838479198515
colorado,cross_site_weights,sensitivity,primary,other_site,nist,none,False,True,174160,6320,30,83.51012812499539
colorado,stale_transport,sensitivity,primary,2016,colorado,none,False,True,174160,6320,30,65.53191858399077
