site,population,endpoint,method,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,forecast_target_pairs,strata,min_events_per_stratum,min_cases_per_stratum,wis_kw,width90_kw
colorado,exclude_bright_zero,all,aci_bounded,0.04908370392956377,0.10509152602168402,0.5231156810715188,0.8191969926712156,0.9141710892089967,0.400536802874538,126624,32,0,3957,0.04908370392956377,0.400536802874538
colorado,exclude_bright_zero,all,carry_forward,0.0858389113456063,0.1369774817900551,0.03723622693960071,0.09859110437199899,0.2528351655294415,0.42105106798967984,126624,32,0,3957,0.0858389113456063,0.42105106798967984
colorado,exclude_bright_zero,all,geometric_persistence,0.03564312236150186,0.033093521116513584,0.987150935051807,0.9937847485468789,0.9958933535506698,0.45531787861211637,126624,32,0,3957,0.03564312236150186,0.45531787861211637
colorado,exclude_bright_zero,all,mask50,0.04913952303171634,0.10509152602168402,0.5009555850391711,0.7967683851402578,0.9059893858984079,0.3994135774271481,126624,32,0,3957,0.04913952303171634,0.3994135774271481
colorado,exclude_bright_zero,all,mi_recency,0.04408026517084569,0.08065824144107936,0.5289123704826889,0.8080537654788982,0.9005085923679556,0.277404508595761,126624,32,0,3957,0.04408026517084569,0.277404508595761
colorado,exclude_bright_zero,all,multiple_imputation,0.04836971322024641,0.08065824144107936,0.6422558124842052,0.8016173869092748,0.8621114480667172,0.2389578096315485,126624,32,0,3957,0.04836971322024641,0.2389578096315485
colorado,exclude_bright_zero,all,persistence,0.0489735138987877,0.07640942119953047,0.9882249810462471,0.9943928481172606,0.9961065832701541,0.4974107661733168,126624,32,0,3957,0.0489735138987877,0.4974107661733168
colorado,exclude_bright_zero,all,physical,0.0480455739717428,0.10509152602168402,0.552675638109679,0.8478566464493303,0.9357862648471064,0.3996066101339066,126624,32,0,3957,0.0480455739717428,0.3996066101339066
colorado,exclude_bright_zero,all,physical_availability,0.04803315725555631,0.10509152602168402,0.5524703057872126,0.8474143922163255,0.9357783674500885,0.3995617711327509,126624,32,0,3957,0.04803315725555631,0.3995617711327509
colorado,exclude_bright_zero,all,physical_recovery,0.04803934118196593,0.10509152602168402,0.5532205585039172,0.8478171594642406,0.9360547763457164,0.3995574005009587,126624,32,0,3957,0.04803934118196593,0.3995574005009587
colorado,exclude_bright_zero,all,previous_day,0.023843882332592936,0.008358656344227838,0.9795062547384382,0.985192380591357,0.9884776977508213,0.41754642599780073,126624,32,0,3957,0.023843882332592936,0.41754642599780073
colorado,exclude_bright_zero,all,raw,0.06066485135981186,0.10509152602168402,0.0576746904220369,0.14441969926712156,0.3254517311094263,0.3430357767264148,126624,32,0,3957,0.06066485135981186,0.3430357767264148
colorado,exclude_bright_zero,all,recency,0.049150679501417834,0.10509152602168402,0.49934451604751073,0.7980398660601465,0.9061710260298206,0.3995145843443257,126624,32,0,3957,0.049150679501417834,0.3995145843443257
colorado,exclude_bright_zero,all,rolling,0.04926787558779388,0.10509152602168402,0.49747283295425826,0.7922984584281021,0.9000505433409148,0.39951304330661863,126624,32,0,3957,0.04926787558779388,0.39951304330661863
colorado,exclude_bright_zero,all,single_imputation,0.04949591554513408,0.08084207572515575,0.6413870988122314,0.7970526914329037,0.8547036896638868,0.23464722458499962,126624,32,0,3957,0.04949591554513408,0.23464722458499962
colorado,exclude_bright_zero,failure_recovery,aci_bounded,0.057599731480852776,0.12561924132748756,0.5285532399298806,0.8168225080369016,0.9126618831544627,0.43084566856439316,24646,28,46,859,0.057599731480852776,0.43084566856439316
colorado,exclude_bright_zero,failure_recovery,carry_forward,0.08352501009673734,0.1361631257504289,0.046260624111378094,0.11971574384893476,0.29381632901723853,0.4239779235514702,24646,28,46,859,0.08352501009673734,0.4239779235514702
colorado,exclude_bright_zero,failure_recovery,geometric_persistence,0.03646208018493003,0.03572442138768941,0.9804833227332477,0.9902177604807738,0.9934202096516114,0.4552225301205337,24646,28,46,859,0.03646208018493003,0.4552225301205337
colorado,exclude_bright_zero,failure_recovery,mask50,0.05767031401374425,0.12561924132748756,0.5083951285556174,0.7928994912352371,0.9027916347022312,0.42976603441274214,24646,28,46,859,0.05767031401374425,0.42976603441274214
colorado,exclude_bright_zero,failure_recovery,mi_recency,0.06687105342215825,0.11512729520655188,0.4515364027462007,0.7165021936520796,0.8168345008683104,0.31081869849345767,24646,28,46,859,0.06687105342215825,0.31081869849345767
colorado,exclude_bright_zero,failure_recovery,multiple_imputation,0.07207455678355111,0.11512729520655188,0.5489393828282045,0.7041968302716386,0.7796703516150746,0.26878931102370873,24646,28,46,859,0.07207455678355111,0.26878931102370873
colorado,exclude_bright_zero,failure_recovery,persistence,0.04971416048610712,0.07859839354824358,0.9817003664601743,0.9900557849116527,0.9937089598791041,0.49654940438504364,24646,28,46,859,0.04971416048610712,0.49654940438504364
colorado,exclude_bright_zero,failure_recovery,physical,0.05670608584889109,0.12561924132748756,0.5525218865191964,0.831193263625768,0.9253663898039869,0.4295864968868738,24646,28,46,859,0.05670608584889109,0.4295864968868738
