method,origins,mean_score_updates_all_horizons,max_score_updates_all_horizons,p95_score_updates_all_horizons,fraction_origins_with_updates,site,case_id,case_group
aci_bounded,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,clean,primary
mask50,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,clean,primary
mi_recency,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,clean,primary
physical,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,clean,primary
physical_availability,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,clean,primary
physical_recovery,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,clean,primary
recency,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,clean,primary
rolling,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,clean,primary
aci_bounded,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,pv_only,primary
mask50,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,pv_only,primary
mi_recency,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,pv_only,primary
physical,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,pv_only,primary
physical_availability,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,pv_only,primary
physical_recovery,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,pv_only,primary
recency,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,pv_only,primary
rolling,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,pv_only,primary
aci_bounded,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,irradiance_only,primary
mask50,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,irradiance_only,primary
mi_recency,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,irradiance_only,primary
physical,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,irradiance_only,primary
physical_availability,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,irradiance_only,primary
physical_recovery,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,irradiance_only,primary
recency,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,irradiance_only,primary
rolling,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,irradiance_only,primary
aci_bounded,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,joint_immediate,primary
mask50,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,joint_immediate,primary
mi_recency,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,joint_immediate,primary
physical,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,joint_immediate,primary
physical_availability,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,joint_immediate,primary
physical_recovery,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,joint_immediate,primary
recency,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,joint_immediate,primary
rolling,8012,1.9860209685471792,52,4.0,0.46193210184722916,nist,joint_immediate,primary
aci_bounded,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,joint_gradual,primary
mask50,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,joint_gradual,primary
mi_recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,joint_gradual,primary
physical,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,joint_gradual,primary
physical_availability,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,joint_gradual,primary
physical_recovery,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,joint_gradual,primary
recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,joint_gradual,primary
rolling,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,joint_gradual,primary
aci_bounded,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,joint_none,primary
mask50,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,joint_none,primary
mi_recency,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,joint_none,primary
physical,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,joint_none,primary
physical_availability,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,joint_none,primary
physical_recovery,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,joint_none,primary
recency,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,joint_none,primary
rolling,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,joint_none,primary
aci_bounded,8012,1.9860209685471792,20,4.0,0.4613080379430854,nist,irradiance_first,primary
mask50,8012,1.9860209685471792,20,4.0,0.4613080379430854,nist,irradiance_first,primary
mi_recency,8012,1.9860209685471792,20,4.0,0.4613080379430854,nist,irradiance_first,primary
physical,8012,1.9860209685471792,20,4.0,0.4613080379430854,nist,irradiance_first,primary
physical_availability,8012,1.9860209685471792,20,4.0,0.4613080379430854,nist,irradiance_first,primary
physical_recovery,8012,1.9860209685471792,20,4.0,0.4613080379430854,nist,irradiance_first,primary
recency,8012,1.9860209685471792,20,4.0,0.4613080379430854,nist,irradiance_first,primary
rolling,8012,1.9860209685471792,20,4.0,0.4613080379430854,nist,irradiance_first,primary
aci_bounded,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,pv_first,primary
mask50,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,pv_first,primary
mi_recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,pv_first,primary
physical,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,pv_first,primary
physical_availability,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,pv_first,primary
physical_recovery,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,pv_first,primary
recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,pv_first,primary
rolling,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,pv_first,primary
physical,8012,1.9860209685471792,20,4.0,0.4797803295057414,nist,duration_6h,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4797803295057414,nist,duration_6h,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4797803295057414,nist,duration_6h,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4797803295057414,nist,duration_6h,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4352221667498752,nist,duration_24h,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4352221667498752,nist,duration_24h,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4352221667498752,nist,duration_24h,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4352221667498752,nist,duration_24h,sensitivity
physical,8012,1.9860209685471792,8,4.0,0.4910134797803295,nist,backfill_60min,sensitivity
physical_availability,8012,1.9860209685471792,8,4.0,0.4910134797803295,nist,backfill_60min,sensitivity
physical_recovery,8012,1.9860209685471792,8,4.0,0.4910134797803295,nist,backfill_60min,sensitivity
recency,8012,1.9860209685471792,8,4.0,0.4910134797803295,nist,backfill_60min,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4530703944083874,nist,channel_gap_6h,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4530703944083874,nist,channel_gap_6h,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4530703944083874,nist,channel_gap_6h,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4530703944083874,nist,channel_gap_6h,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.47066899650524213,nist,schedule_seed_2,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.47066899650524213,nist,schedule_seed_2,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.47066899650524213,nist,schedule_seed_2,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.47066899650524213,nist,schedule_seed_2,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4655516724912631,nist,schedule_seed_3,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4655516724912631,nist,schedule_seed_3,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4655516724912631,nist,schedule_seed_3,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4655516724912631,nist,schedule_seed_3,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,narrow_quality,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,narrow_quality,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,narrow_quality,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,narrow_quality,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,training_2015,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,training_2015,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,training_2015,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,training_2015,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,receipt_5min,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,receipt_5min,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,receipt_5min,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,receipt_5min,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4677983025461807,nist,schedule_seed_4,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4677983025461807,nist,schedule_seed_4,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4677983025461807,nist,schedule_seed_4,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4677983025461807,nist,schedule_seed_4,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4674238642036945,nist,schedule_seed_5,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4674238642036945,nist,schedule_seed_5,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4674238642036945,nist,schedule_seed_5,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4674238642036945,nist,schedule_seed_5,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,no_input_age,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,no_input_age,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,no_input_age,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,no_input_age,sensitivity
physical,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,no_block_augmentation,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,no_block_augmentation,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,no_block_augmentation,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,no_block_augmentation,sensitivity
physical,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,privileged_labels,diagnostic
physical_availability,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,privileged_labels,diagnostic
physical_recovery,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,privileged_labels,diagnostic
