horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
1,299,0.030868295255797,0.0516423339015248,0.3946488294314381,0.6956521739130435,0.8361204013377926,0.23821110075607,46,nist,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.0413767810227309,0.072131430067872,0.4266666666666667,0.7066666666666667,0.8433333333333334,0.3352850724416225,46,nist,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.0472635065418395,0.0832588799563593,0.3804713804713804,0.6936026936026936,0.8383838383838383,0.3683006621884517,46,nist,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.0513979238122978,0.0934671543847554,0.3864406779661017,0.7288135593220338,0.8372881355932204,0.3840231612176468,45,nist,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.0438186425233046,0.0769177089561461,0.4448160535117056,0.7759197324414716,0.8996655518394648,0.4036721128706963,46,nist,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.0502754658422223,0.0889695193668223,0.3933333333333333,0.74,0.8633333333333333,0.4048326389306579,46,nist,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.0536417760429573,0.10027138632037,0.3872053872053872,0.7272727272727273,0.8518518518518519,0.3926715964639668,46,nist,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.0555147795013457,0.1066891396695655,0.4101694915254237,0.7491525423728813,0.8576271186440678,0.3996461663405653,45,nist,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.0416645653051814,0.0700391394224588,0.5585284280936454,0.8461538461538461,0.9498327759197324,0.3512706783907297,46,nist,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.0486458012481833,0.0916951472024877,0.4133333333333333,0.75,0.8566666666666667,0.3741686897321467,46,nist,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.052840619689476,0.0961121460606148,0.3703703703703703,0.7037037037037037,0.8619528619528619,0.3977021435511706,46,nist,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
