site,population,endpoint,method,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,forecast_target_pairs,strata,min_events_per_stratum,min_cases_per_stratum,wis_kw,width90_kw
nist,recorded_ac,failure_recovery,raw,0.0525336277952705,0.0957100206255076,0.4041321026770659,0.7007638569688694,0.8265349592039284,0.3663253065180226,24986,28,48,872,14.220853044179735,99.16426047442872
colorado,recorded_ac,failure_recovery,raw,0.0692374923759021,0.1256192413274875,0.0683442465772881,0.1534141572829591,0.3205895914651425,0.3726213397950416,24646,28,46,859,0.0692374923759021,0.3726213397950416
reserve10,recorded_ac,failure_recovery,raw,0.0569151466256457,0.1030329506720954,0.4139358706119765,0.7119448284798472,0.8496057248756531,0.407821608713066,24258,28,47,846,0.0637449642207232,0.4567602017586339
nist,recorded_ac,failure_recovery,rolling,0.0521021154529402,0.0957100206255076,0.4936069571519193,0.7964848881957052,0.8924473914901575,0.3926530040528201,24986,28,48,872,14.104042653110914,106.2911681970984
colorado,recorded_ac,failure_recovery,rolling,0.0577113835956495,0.1256192413274875,0.5031963858685089,0.7945425376802911,0.9043026253071762,0.4300129880178714,24646,28,46,859,0.0577113835956495,0.4300129880178714
reserve10,recorded_ac,failure_recovery,rolling,0.0567081498718595,0.1030329506720954,0.5145515445749104,0.8089994396208654,0.9082597828170452,0.4306178726406294,24258,28,47,846,0.0635131278564826,0.482292017357505
nist,recorded_ac,failure_recovery,recency,0.0520096091316505,0.0957100206255076,0.4958201629876403,0.7977674004984898,0.8944502364056977,0.3922575319187716,24986,28,48,872,14.0790011919378,106.18411389041148
colorado,recorded_ac,failure_recovery,recency,0.0576827620563497,0.1256192413274875,0.5045353636698203,0.7932494418214562,0.9030569751276396,0.4296815002583223,24646,28,46,859,0.0576827620563497,0.4296815002583223
reserve10,recorded_ac,failure_recovery,recency,0.056735334685987,0.1030329506720954,0.515083482454653,0.8106374187521925,0.9095863669859776,0.4314962315833127,24258,28,47,846,0.0635435748483055,0.4832757793733102
nist,recorded_ac,failure_recovery,physical,0.0519580443206094,0.0957100206255076,0.4937520315020856,0.8033227992168367,0.9002621781101346,0.3951255556186043,24986,28,48,872,14.065042597588969,106.9604879059562
colorado,recorded_ac,failure_recovery,physical,0.056706085848891,0.1256192413274875,0.5525218865191964,0.831193263625768,0.9253663898039868,0.4295864968868738,24646,28,46,859,0.056706085848891,0.4295864968868738
reserve10,recorded_ac,failure_recovery,physical,0.0567060438719575,0.1030329506720954,0.5171831617780149,0.819677674424131,0.9149958411761784,0.4350756811596991,24258,28,47,846,0.0635107691365924,0.4872847628988631
nist,recorded_ac,failure_recovery,physical_availability,0.0519675740239763,0.0957100206255076,0.4952918855950644,0.8058698970167598,0.9019594614240098,0.3955344838043633,24986,28,48,872,14.067622288290396,107.07118476584114
colorado,recorded_ac,failure_recovery,physical_availability,0.0566612079679656,0.1256192413274875,0.5532538123843349,0.8321559040162549,0.9271200793913728,0.4300001644219279,24646,28,46,859,0.0566612079679656,0.4300001644219279
reserve10,recorded_ac,failure_recovery,physical_availability,0.0566897584801827,0.1030329506720954,0.5159859508568554,0.8171602943191287,0.9140128273760848,0.4343413439420165,24258,28,47,846,0.0634925294978046,0.4864623052150586
nist,recorded_ac,failure_recovery,physical_recovery,0.0519605065793264,0.0957100206255076,0.4964718510342742,0.8033431515545378,0.9001025867283662,0.395122756785304,24986,28,48,872,14.065709131023668,106.9597302617818
colorado,recorded_ac,failure_recovery,physical_recovery,0.0566877618706415,0.1256192413274875,0.550553492370323,0.830834838361543,0.926338511076248,0.4298105536268725,24646,28,46,859,0.0566877618706415,0.4298105536268725
reserve10,recorded_ac,failure_recovery,physical_recovery,0.0567157581755432,0.1030329506720954,0.5171680334961425,0.8168692156697973,0.9139505786569212,0.4339985354637908,24258,28,47,846,0.0635216491566084,0.4860783597194457
nist,recorded_ac,failure_recovery,mask50,0.0520157140498088,0.0957100206255076,0.495540178125058,0.7990041303953558,0.8939938288611516,0.3927324026264589,24986,28,48,872,14.080653793283265,106.31266139098244
colorado,recorded_ac,failure_recovery,mask50,0.0576703140137442,0.1256192413274875,0.5083951285556174,0.7928994912352371,0.9027916347022312,0.4297660344127421,24646,28,46,859,0.0576703140137442,0.4297660344127421
reserve10,recorded_ac,failure_recovery,mask50,0.0567044030763912,0.1030329506720954,0.5163881715474163,0.8129175850339686,0.9124168244124432,0.4324970284036155,24258,28,47,846,0.0635089314455581,0.4843966718120494
nist,recorded_ac,failure_recovery,aci_bounded,0.0520915684598909,0.0957100206255076,0.4916562415522563,0.7968019234403443,0.893049359195576,0.3936914215413556,24986,28,48,872,14.10118758209248,106.57226781124496
colorado,recorded_ac,failure_recovery,aci_bounded,0.0575997314808527,0.1256192413274875,0.5285532399298806,0.8168225080369016,0.9126618831544628,0.4308456685643931,24646,28,46,859,0.0575997314808527,0.4308456685643931
reserve10,recorded_ac,failure_recovery,aci_bounded,0.0567243442621731,0.1030329506720954,0.509355062016643,0.809498656350037,0.9083554659010932,0.4307759209121514,24258,28,47,846,0.0635312655736339,0.4824690314216096
nist,recorded_ac,failure_recovery,single_imputation,0.0607349795493936,0.0954564380943259,0.4792781913095029,0.695115766078656,0.7811383288817944,0.2738765386268582,24986,28,48,872,16.440958964020858,74.1383790062905
colorado,recorded_ac,failure_recovery,single_imputation,0.0776623468815039,0.1158852185107799,0.5453737191669339,0.6844695563298518,0.7438814824302147,0.2471633490111494,24646,28,46,859,0.0776623468815039,0.2471633490111494
reserve10,recorded_ac,failure_recovery,single_imputation,0.0658080192659166,0.1034001747981928,0.5125548203337659,0.7189431100683962,0.802488078790145,0.3126626449116891,24258,28,47,846,0.0737049815778266,0.3501821623010918
nist,recorded_ac,failure_recovery,multiple_imputation,0.0575446303318824,0.0957861912129019,0.5059996951527465,0.7493087580784267,0.8441215085885478,0.3179461641621486,24986,28,48,872,15.57733143084058,86.06802663869364
colorado,recorded_ac,failure_recovery,multiple_imputation,0.0720745567835511,0.1151272952065518,0.5489393828282045,0.7041968302716386,0.7796703516150746,0.2687893110237087,24646,28,46,859,0.0720745567835511,0.2687893110237087
reserve10,recorded_ac,failure_recovery,multiple_imputation,0.0640059317063014,0.1034900942440663,0.5290241197422959,0.7429621828653801,0.8307390245346244,0.3370060309952748,24258,28,47,846,0.0716866435110576,0.3774467547147078
nist,recorded_ac,failure_recovery,mi_recency,0.0563820424719952,0.0957861912129019,0.4806706915674565,0.8036278742636739,0.911732773876224,0.3930350736226722,24986,28,48,872,15.262618897169125,106.39459442965736
colorado,recorded_ac,failure_recovery,mi_recency,0.0668710534221582,0.1151272952065518,0.4515364027462007,0.7165021936520796,0.8168345008683104,0.3108186984934576,24646,28,46,859,0.0668710534221582,0.3108186984934576
reserve10,recorded_ac,failure_recovery,mi_recency,0.062873996208002,0.1034900942440663,0.4814484534186868,0.7874621251940557,0.9029448023852458,0.4318194059956966,24258,28,47,846,0.0704188757529622,0.4836377347151803
nist,recorded_ac,failure_recovery,persistence,0.1086054048461475,0.2083832235433052,0.4907899161827946,0.7684426761659413,0.8646451846091593,0.5757724431967537,24986,28,48,872,29.399483091852133,155.86160037336123
colorado,recorded_ac,failure_recovery,persistence,0.0497141604861071,0.0785983935482435,0.9817003664601744,0.9900557849116528,0.993708959879104,0.4965494043850436,24646,28,46,859,0.0497141604861071,0.4965494043850436
reserve10,recorded_ac,failure_recovery,persistence,0.1245222858152129,0.243263227085174,0.5206774353793102,0.7762961973451298,0.8803014843549273,0.6913024478658675,24258,28,47,846,0.1394649601130385,0.7742587416097716
nist,recorded_ac,failure_recovery,geometric_persistence,0.088862520735604,0.1512492389957679,0.4683613941423646,0.749678693216044,0.8591718032517823,0.4763078541251938,24986,28,48,872,24.055084363128024,128.93653611168995
colorado,recorded_ac,failure_recovery,geometric_persistence,0.03646208018493,0.0357244213876894,0.9804833227332476,0.9902177604807738,0.9934202096516114,0.4552225301205337,24646,28,46,859,0.03646208018493,0.4552225301205337
reserve10,recorded_ac,failure_recovery,geometric_persistence,0.1033857784439044,0.1825137829756921,0.5009829513085643,0.7797967433773577,0.8763696066845871,0.6013694868257825,24258,28,47,846,0.1157920718571729,0.6735338252448765
nist,recorded_ac,failure_recovery,previous_day,0.0866756726558972,0.1440116707139184,0.4889815237761937,0.823659563619872,0.9233893881787626,0.6407153519529126,24986,28,48,872,23.46310458795138,173.44164577365345
colorado,recorded_ac,failure_recovery,previous_day,0.0253381955788417,0.0110677289070841,0.96994450681726,0.979452905561896,0.9837202008317149,0.4164188850254269,24646,28,46,859,0.0253381955788417,0.4164188850254269
reserve10,recorded_ac,failure_recovery,previous_day,0.1034709234431503,0.1634453532467408,0.4671244634190755,0.7773578710654433,0.8779397660819068,0.6657644813470942,24258,28,47,846,0.1158874342563283,0.7456562191087456
nist,recorded_ac,failure_recovery,carry_forward,0.055499259698762,0.1013306910241972,0.3933515585162132,0.6882047579269939,0.8087188542330305,0.3711698325088107,24986,28,48,872,15.023649600454895,100.47567366013504
colorado,recorded_ac,failure_recovery,carry_forward,0.0835250100967373,0.1361631257504289,0.046260624111378,0.1197157438489347,0.2938163290172385,0.4239779235514702,24646,28,46,859,0.0835250100967373,0.4239779235514702
reserve10,recorded_ac,failure_recovery,carry_forward,0.0593391187958658,0.1073245612620716,0.4003060602316785,0.6951426317159896,0.822777132124277,0.4025983055717296,24258,28,47,846,0.0664598130513697,0.4509101022403372
