site,population,pool,endpoint,contrast,supported,metric,left_mean,right_mean,difference,ci_lower,ci_upper,relative_difference,relative_ci_lower,relative_ci_upper,strata,paired_rows,eligible_days,calendar_blocks,nonempty_blocks,block_days,bootstrap_replicates,valid_replicates,rejected_fraction,seed
nist,recorded_ac,faulted_primary,recovery_0_6,physical_recovery_minus_physical_availability,True,nwis,0.0464809062275898,0.0464470938334019,3.381239418796117e-05,-0.0001094641879338,0.0002277234576167,0.0007279765297962,-0.002486067692278,0.0045933925476268,28,3724,47,48,44,7,10000,10000,0.0,2664137077
nist,recorded_ac,faulted_primary,recovery_0_6,physical_recovery_minus_physical_availability,True,nwis,0.0464809062275898,0.0464470938334019,3.381239418796117e-05,-0.0001021957730686,0.000233488403989,0.0007279765297962,-0.0022923068070855,0.0048340816123796,28,3724,47,24,23,14,10000,10000,0.0,3898360223
nist,recorded_ac,faulted_primary,recovery_0_6,physical_recovery_minus_physical_availability,True,nwis,0.0464809062275898,0.0464470938334019,3.381239418796117e-05,-0.0001303151287222,0.0002675235898306,0.0007279765297962,-0.0029908258714268,0.0054287028884302,28,3724,47,12,12,28,10000,10000,0.0,3296361785
nist,recorded_ac,faulted_primary,recovery_6_24,physical_recovery_minus_physical_availability,True,nwis,0.0481837320841334,0.0482133762189797,-2.9644134846268377e-05,-9.681880887614303e-05,3.231028666516866e-05,-0.0006148529136733,-0.0019833771421441,0.0006861199244402,28,12417,69,48,47,7,10000,10000,0.0,3690819749
nist,recorded_ac,faulted_primary,recovery_6_24,physical_recovery_minus_physical_availability,True,nwis,0.0481837320841334,0.0482133762189797,-2.9644134846268377e-05,-9.158266137289564e-05,2.578242369068223e-05,-0.0006148529136733,-0.001858961690171,0.0005444810619163,28,12417,69,24,24,14,10000,10000,0.0,3869124342
nist,recorded_ac,faulted_primary,recovery_6_24,physical_recovery_minus_physical_availability,True,nwis,0.0481837320841334,0.0482133762189797,-2.9644134846268377e-05,-0.0001037632317031,3.0414945853164492e-05,-0.0006148529136733,-0.0020904148680763,0.0006521817178844,28,12417,69,12,12,28,10000,10000,0.0,3841555870
colorado,recorded_ac,faulted_primary,recovery_0_6,physical_recovery_minus_physical_availability,True,nwis,0.0443699693477105,0.0443586438004122,1.1325547298352e-05,-5.7338878557906464e-05,7.400014555258066e-05,0.0002553177087493,-0.0013322460800723,0.0016653078471912,28,3591,54,48,44,7,10000,10000,0.0,4071717544
colorado,recorded_ac,faulted_primary,recovery_0_6,physical_recovery_minus_physical_availability,True,nwis,0.0443699693477105,0.0443586438004122,1.1325547298352e-05,-5.556731593124205e-05,7.580145230486767e-05,0.0002553177087493,-0.0012945498126772,0.0017044324863803,28,3591,54,24,24,14,10000,10000,0.0,1400322926
colorado,recorded_ac,faulted_primary,recovery_0_6,physical_recovery_minus_physical_availability,True,nwis,0.0443699693477105,0.0443586438004122,1.1325547298352e-05,-6.555129225402339e-05,8.215021577694902e-05,0.0002553177087493,-0.0015269886637593,0.0018229986804805,28,3591,54,12,12,28,10000,10000,0.0,3520771696
colorado,recorded_ac,faulted_primary,recovery_6_24,physical_recovery_minus_physical_availability,True,nwis,0.0503680994939432,0.0503193720987182,4.8727395224983094e-05,7.186091401717963e-06,8.953161869999867e-05,0.0009683625449337,0.0001426284861817,0.0017581260660948,28,12308,78,48,46,7,10000,10000,0.0,2664973254
