recovery_hour_bin,nwis,n,site,method
0,0.04460709946412501,619,nist,raw
1,0.04679244591383679,589,nist,raw
2,0.04811299509480955,590,nist,raw
3,0.04529459548486729,610,nist,raw
4,0.048828393788663,639,nist,raw
5,0.048643584612353075,677,nist,raw
6,0.050336135692284074,700,nist,raw
7,0.0484943298020162,712,nist,raw
8,0.04670038816868157,703,nist,raw
9,0.04769612546676793,700,nist,raw
10,0.04411467231740288,711,nist,raw
11,0.048623197312846374,695,nist,raw
12,0.05090954546916711,702,nist,raw
13,0.051344262329757875,721,nist,raw
14,0.047217606172011366,702,nist,raw
15,0.04821391221618675,705,nist,raw
16,0.05408597016678146,711,nist,raw
17,0.047834802851980406,693,nist,raw
18,0.050162445445056,688,nist,raw
19,0.055965038445113566,680,nist,raw
20,0.05510226115708138,660,nist,raw
21,0.05197319595049419,654,nist,raw
22,0.046977100582961624,643,nist,raw
23,0.04400485755496337,637,nist,raw
0,0.04410691078893098,619,nist,recency
1,0.04658581772540142,589,nist,recency
2,0.04777042329038233,590,nist,recency
3,0.045128616970195226,610,nist,recency
4,0.048335130026364824,639,nist,recency
5,0.04803742856616021,677,nist,recency
6,0.04980531229801878,700,nist,recency
7,0.048001052321365485,712,nist,recency
8,0.04623593749337222,703,nist,recency
9,0.04693637465398932,700,nist,recency
10,0.043490098731217904,711,nist,recency
11,0.04709183386431615,695,nist,recency
12,0.04895113376733129,702,nist,recency
13,0.049395597224423195,721,nist,recency
14,0.04577796855038036,702,nist,recency
15,0.04697678906176317,705,nist,recency
16,0.05301290026559884,711,nist,recency
17,0.047743247625959,693,nist,recency
18,0.05021211696104821,688,nist,recency
19,0.05521823865419271,680,nist,recency
20,0.05433319040327174,660,nist,recency
21,0.05121865932788027,654,nist,recency
22,0.04614232043017254,643,nist,recency
23,0.043564149749868344,637,nist,recency
0,0.04425887498874637,619,nist,physical_availability
1,0.04667460837069506,589,nist,physical_availability
2,0.0477852489774273,590,nist,physical_availability
3,0.04506193801413316,610,nist,physical_availability
4,0.048102284387327096,639,nist,physical_availability
5,0.04789392621806661,677,nist,physical_availability
6,0.04975412443408532,700,nist,physical_availability
7,0.04792881687938318,712,nist,physical_availability
8,0.046419890318696776,703,nist,physical_availability
9,0.047032467532722035,700,nist,physical_availability
10,0.04355994828041278,711,nist,physical_availability
11,0.04696326506331152,695,nist,physical_availability
12,0.048662261187997116,702,nist,physical_availability
13,0.04903461025629319,721,nist,physical_availability
14,0.045567259441751364,702,nist,physical_availability
15,0.04687521226011144,705,nist,physical_availability
16,0.05285616078498891,711,nist,physical_availability
17,0.04774583470859848,693,nist,physical_availability
18,0.05010041073702615,688,nist,physical_availability
19,0.05503013608530589,680,nist,physical_availability
20,0.05432772805249107,660,nist,physical_availability
21,0.05107195679389287,654,nist,physical_availability
22,0.04612090546936477,643,nist,physical_availability
23,0.043617378900769714,637,nist,physical_availability
0,0.04427307750849835,619,nist,physical_recovery
1,0.046734203317262905,589,nist,physical_recovery
2,0.04776361976761688,590,nist,physical_recovery
3,0.04500246732598181,610,nist,physical_recovery
4,0.04825758962975269,639,nist,physical_recovery
5,0.04789621916860499,677,nist,physical_recovery
6,0.04976751741617857,700,nist,physical_recovery
7,0.04779365990621679,712,nist,physical_recovery
8,0.04624919841564746,703,nist,physical_recovery
9,0.046976284392531896,700,nist,physical_recovery
10,0.043368912077475306,711,nist,physical_recovery
11,0.04669107936794581,695,nist,physical_recovery
