site,population,pool,endpoint,contrast,supported,metric,left_mean,right_mean,difference,ci_lower,ci_upper,relative_difference,relative_ci_lower,relative_ci_upper,strata,paired_rows,eligible_days,calendar_blocks,nonempty_blocks,block_days,bootstrap_replicates,valid_replicates,rejected_fraction,seed
nist,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469236948333714,0.0469095598159198,1.4135017451594178e-05,-6.426497422600818e-05,9.72832342088564e-05,0.0003013248793436,-0.0014012931472465,0.0020030968312885,4,2305,76,48,47,7,10000,10000,0.0,3010113440
nist,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469236948333714,0.0469095598159198,1.4135017451594178e-05,-5.970826371846545e-05,8.72251401875525e-05,0.0003013248793436,-0.001267638291508,0.0018189896261604,4,2305,76,24,24,14,10000,10000,0.0,4184721933
nist,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469236948333714,0.0469095598159198,1.4135017451594178e-05,-7.641275407295547e-05,0.0001118385884286,0.0003013248793436,-0.0016429694161494,0.0022513344355782,4,2305,76,12,12,28,10000,10000,0.0,4133160025
colorado,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466799732740977,0.0466319246260326,4.8048648065047994e-05,1.4021158764043926e-05,8.643846173696494e-05,0.0010303809772034,0.0003032734471755,0.0018613062596465,4,2271,86,48,46,7,10000,10000,0.0,159535089
colorado,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466799732740977,0.0466319246260326,4.8048648065047994e-05,1.3645151792118262e-05,8.541036700189797e-05,0.0010303809772034,0.0002902147130497,0.0018523116498974,4,2271,86,24,24,14,10000,10000,0.0,3483685820
colorado,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466799732740977,0.0466319246260326,4.8048648065047994e-05,1.3115357545200048e-05,8.389421372009263e-05,0.0010303809772034,0.0002688821201219,0.0018371166239959,4,2271,86,12,12,28,10000,10000,0.0,1950962567
reserve10,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0520970659716186,0.0520706427173422,2.6423254276354557e-05,-4.03061592838946e-05,0.0001010418023447,0.0005074501273162,-0.0007898801647437,0.0018961479682841,4,2193,83,48,45,7,10000,10000,0.0,897346689
reserve10,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0520970659716186,0.0520706427173422,2.6423254276354557e-05,-2.7630861733881143e-05,8.945913150510892e-05,0.0005074501273162,-0.0005486245871812,0.0016802420298494,4,2193,83,24,24,14,10000,10000,0.0,2118158834
reserve10,recorded_ac,joint_gradual,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0520970659716186,0.0520706427173422,2.6423254276354557e-05,-1.9688030731917874e-05,8.555887486973617e-05,0.0005074501273162,-0.0004175471091881,0.0014763391736623,4,2193,83,12,12,28,10000,10000,0.0,2199422964
nist,recorded_ac,no_input_age,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469836673965523,0.0469929950259203,-9.327629368019452e-06,-9.342616728255612e-05,7.265004555895014e-05,-0.000198489782634,-0.001986066698059,0.0015307187436694,4,2305,76,48,47,7,10000,10000,0.0,1803182717
nist,recorded_ac,no_input_age,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469836673965523,0.0469929950259203,-9.327629368019452e-06,-6.755130136534177e-05,5.391093114427163e-05,-0.000198489782634,-0.0014215804875656,0.0011326721320446,4,2305,76,24,24,14,10000,10000,0.0,3114436724
nist,recorded_ac,no_input_age,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469836673965523,0.0469929950259203,-9.327629368019452e-06,-7.608989409018611e-05,5.686453854403181e-05,-0.000198489782634,-0.0016176429145784,0.001167911893457,4,2305,76,12,12,28,10000,10000,0.0,2293123539
