phase,comparison,event_id,delta_nwis
recovery_0_to_6h,signed_day − expand_day,39,-0.0007543405933799702
recovery_0_to_6h,signed_day − expand_day,40,-0.002168825659426767
recovery_0_to_6h,signed_day − expand_day,41,-0.0015898873451442232
recovery_0_to_6h,signed_day − expand_day,42,-0.0026072794629145926
recovery_0_to_6h,signed_day − expand_day,48,-0.0024109251824807215
recovery_0_to_6h,signed_day − expand_day,49,-0.004453101672182878
recovery_0_to_6h,signed_day − expand_day,50,-0.0046234749261229655
recovery_0_to_6h,signed_day − expand_day,51,-0.0032404064962704223
recovery_0_to_6h,context_day − recency_day,39,0.0020141208009945913
recovery_0_to_6h,context_day − recency_day,40,-0.0004088408593093233
recovery_0_to_6h,context_day − recency_day,41,-0.0011068359328449636
recovery_0_to_6h,context_day − recency_day,42,-0.0016745769015419326
recovery_0_to_6h,context_day − recency_day,48,-0.0018310324755763366
recovery_0_to_6h,context_day − recency_day,49,-0.0009854285575212076
recovery_0_to_6h,context_day − recency_day,50,-0.0021692383376875086
recovery_0_to_6h,context_day − recency_day,51,-0.0013887251836063239
recovery_0_to_6h,recovery_day − recency_day,39,0.0007007292074236757
recovery_0_to_6h,recovery_day − recency_day,40,2.5097036695426178e-05
recovery_0_to_6h,recovery_day − recency_day,41,-0.00018456408275377285
recovery_0_to_6h,recovery_day − recency_day,42,2.120137232111611e-05
recovery_0_to_6h,recovery_day − recency_day,48,-1.3141095582357501e-05
recovery_0_to_6h,recovery_day − recency_day,49,-0.00010542886735800013
recovery_0_to_6h,recovery_day − recency_day,50,-0.0001227388359501993
recovery_0_to_6h,recovery_day − recency_day,51,-0.00013336227872443165
recovery_6_to_24h,signed_day − expand_day,39,0.0046888191982875525
recovery_6_to_24h,signed_day − expand_day,40,0.0015897712783509907
recovery_6_to_24h,signed_day − expand_day,41,0.0011064129963643107
recovery_6_to_24h,signed_day − expand_day,42,-0.001729583342751941
recovery_6_to_24h,signed_day − expand_day,48,0.003572224286652901
recovery_6_to_24h,signed_day − expand_day,49,0.001674819292440149
recovery_6_to_24h,signed_day − expand_day,50,-0.0029307360575374997
recovery_6_to_24h,signed_day − expand_day,51,-0.000939076753311348
recovery_6_to_24h,context_day − recency_day,39,0.00048101167355349335
recovery_6_to_24h,context_day − recency_day,40,-2.2375270052245613e-05
recovery_6_to_24h,context_day − recency_day,41,-0.0011227195706553417
recovery_6_to_24h,context_day − recency_day,42,0.00036589711723597
recovery_6_to_24h,context_day − recency_day,48,-0.0062697059784012155
recovery_6_to_24h,context_day − recency_day,49,0.00019369096075802324
recovery_6_to_24h,context_day − recency_day,50,0.0009809999188105708
recovery_6_to_24h,context_day − recency_day,51,9.179266855502099e-05
recovery_6_to_24h,recovery_day − recency_day,39,-0.0008809246339099414
recovery_6_to_24h,recovery_day − recency_day,40,-0.00023912527038020726
recovery_6_to_24h,recovery_day − recency_day,41,-3.938543714532072e-05
recovery_6_to_24h,recovery_day − recency_day,42,-0.00012050056463424602
recovery_6_to_24h,recovery_day − recency_day,48,0.00014707065781426116
recovery_6_to_24h,recovery_day − recency_day,49,0.0004772002983723437
recovery_6_to_24h,recovery_day − recency_day,50,3.305622729139361e-05
recovery_6_to_24h,recovery_day − recency_day,51,4.178971058908139e-05
