split,phase_detail,method,n,nwis,coverage50,coverage80,coverage90,width90_kw,repair_fraction,events
calibration,background,aci_bounded_day,2000,0.10552843507144453,0.472,0.786,0.9095,142.63286583076763,0.904,0
calibration,background,context_day,2000,0.10432286514761245,0.4755,0.8025,0.921,143.09200735828736,0.9165,0
calibration,background,expand_all,2000,0.10584274869056573,0.512,0.7585,0.9075,143.7617623482749,0.156,0
calibration,background,expand_day,2000,0.10529000074403659,0.513,0.783,0.9245,145.69601332692596,0.4845,0
calibration,background,mask_day,2000,0.10536204820794619,0.49,0.7815,0.917,143.9169180980188,0.9125,0
calibration,background,raw,2000,0.10597778130969712,0.512,0.7525,0.9,143.27094626350785,0.0,0
calibration,background,recency_day,2000,0.1055873107266305,0.471,0.7755,0.915,143.47374445139775,0.906,0
calibration,background,recovery_day,2000,0.10546033040495008,0.483,0.7795,0.9155,143.76383787881667,0.9085,0
calibration,background,signed_all,2000,0.10584274869056573,0.512,0.7585,0.9075,143.7617623482749,0.156,0
calibration,background,signed_day,2000,0.10569505708439407,0.4655,0.772,0.911,143.01376407398888,0.9045,0
calibration,outage,aci_bounded_day,104,0.08096041592038136,0.8846153846153846,0.9519230769230769,0.9615384615384616,187.95983303547533,0.8942307692307693,6
calibration,outage,context_day,104,0.07513637500400343,0.5961538461538461,0.8846153846153846,0.9038461538461539,182.13624933088244,0.6923076923076923,6
calibration,outage,expand_all,104,0.08117654480775124,0.9326923076923077,0.9903846153846154,1.0,188.5773634258792,0.2403846153846154,6
calibration,outage,expand_day,104,0.08163334987821037,0.9326923076923077,0.9903846153846154,1.0,191.3958260655171,0.6634615384615384,6
calibration,outage,mask_day,104,0.08006837648451914,0.8461538461538461,0.9519230769230769,0.9615384615384616,188.22131249670505,0.8846153846153846,6
calibration,outage,raw,104,0.08107532933201142,0.9326923076923077,0.9903846153846154,1.0,187.69307919351382,0.0,6
calibration,outage,recency_day,104,0.08093770860813981,0.8846153846153846,0.9711538461538461,0.9807692307692307,188.86201167888342,0.8846153846153846,6
calibration,outage,recovery_day,104,0.079874034598519,0.8365384615384616,0.9423076923076923,0.9519230769230769,187.91645074440018,0.875,6
calibration,outage,signed_all,104,0.08117654480775124,0.9326923076923077,0.9903846153846154,1.0,188.5773634258792,0.2403846153846154,6
calibration,outage,signed_day,104,0.08052215375399406,0.875,0.9711538461538461,0.9711538461538461,188.41538383160335,0.8846153846153846,6
calibration,partial_restoration,aci_bounded_day,72,0.13513249214212564,0.625,0.8194444444444444,0.9722222222222222,221.55171314670565,0.9861111111111112,6
calibration,partial_restoration,context_day,72,0.13641812808422568,0.5277777777777778,0.75,0.9583333333333334,216.0669816828921,0.8055555555555556,6
calibration,partial_restoration,expand_all,72,0.13621458626541816,0.625,0.7916666666666666,0.9722222222222222,223.28937454031646,0.16666666666666666,6
calibration,partial_restoration,expand_day,72,0.13626866622337752,0.625,0.8055555555555556,0.9722222222222222,225.29120201696782,0.5416666666666666,6
calibration,partial_restoration,mask_day,72,0.13553418885826748,0.625,0.8055555555555556,0.9722222222222222,222.2201091146136,0.9166666666666666,6
calibration,partial_restoration,raw,72,0.13617151993509397,0.625,0.7916666666666666,0.9722222222222222,222.6769807090289,0.0,6
calibration,partial_restoration,recency_day,72,0.13546857026940068,0.625,0.8055555555555556,0.9722222222222222,222.59642472622,0.9444444444444444,6
calibration,partial_restoration,recovery_day,72,0.13565398530470313,0.625,0.8055555555555556,0.9722222222222222,221.9498153365305,0.9027777777777778,6
calibration,partial_restoration,signed_all,72,0.13621458626541816,0.625,0.7916666666666666,0.9722222222222222,223.28937454031646,0.16666666666666666,6
calibration,partial_restoration,signed_day,72,0.1355777797565404,0.625,0.8055555555555556,0.9722222222222222,222.2200329442989,0.9444444444444444,6
calibration,recovery_0_to_6h,aci_bounded_day,136,0.10280323530706202,0.40441176470588236,0.7426470588235294,0.8823529411764706,146.00654486238201,0.8970588235294118,6
calibration,recovery_0_to_6h,context_day,136,0.10202702080844428,0.4338235294117647,0.7794117647058824,0.8823529411764706,147.11436223944332,0.9632352941176471,6
calibration,recovery_0_to_6h,expand_all,136,0.10416838199094858,0.4411764705882353,0.6911764705882353,0.875,148.39503217864274,0.13970588235294118,6
calibration,recovery_0_to_6h,expand_day,136,0.10309090730834673,0.4411764705882353,0.7352941176470589,0.9044117647058824,150.1236280116472,0.47794117647058826,6
calibration,recovery_0_to_6h,mask_day,136,0.10267066522016544,0.41911764705882354,0.7352941176470589,0.8897058823529411,148.02246068755315,0.9191176470588235,6
calibration,recovery_0_to_6h,raw,136,0.1045165783435541,0.4411764705882353,0.6911764705882353,0.875,147.97652343062603,0.0,6
calibration,recovery_0_to_6h,recency_day,136,0.10305388522166445,0.4117647058823529,0.7352941176470589,0.8897058823529411,147.17254347776617,0.9117647058823529,6
calibration,recovery_0_to_6h,recovery_day,136,0.1027615374927392,0.4117647058823529,0.7426470588235294,0.8897058823529411,147.45217254635742,0.9044117647058824,6
calibration,recovery_0_to_6h,signed_all,136,0.10416838199094858,0.4411764705882353,0.6911764705882353,0.875,148.39503217864274,0.13970588235294118,6
calibration,recovery_0_to_6h,signed_day,136,0.10355245606038715,0.4117647058823529,0.7352941176470589,0.875,146.8755167862572,0.8897058823529411,6
calibration,recovery_6_to_24h,aci_bounded_day,208,0.0937812449191063,0.6105769230769231,0.8894230769230769,0.9807692307692307,133.84399473992315,0.9711538461538461,6
calibration,recovery_6_to_24h,context_day,208,0.09374527027541404,0.5961538461538461,0.8846153846153846,0.9759615384615384,132.89911914552522,0.9807692307692307,6
