phase,method,n,nonzero_corrections,median_pool,median_matching_pool,nwis
background,context,1840,27,647.0,435.0,0.0871226737381652
background,persistence,1840,1830,647.0,435.0,0.11506749215762983
background,quantile_raw,1840,0,0.0,0.0,0.08707890017201968
background,recovery,1840,13,647.0,435.0,0.0871090648774118
background,rolling,1840,10,647.0,435.0,0.08710885916261696
outage,context,104,6,647.5,17.0,0.09312819575018526
outage,persistence,104,104,647.5,17.0,0.15590175906549433
outage,quantile_raw,104,0,0.0,0.0,0.0931151450055515
outage,recovery,104,0,647.5,17.0,0.0931151450055515
outage,rolling,104,0,647.5,17.0,0.0931151450055515
partial_restoration,context,100,23,638.5,6.0,0.13731979976481826
partial_restoration,persistence,100,100,638.5,6.0,0.28280343157070736
partial_restoration,quantile_raw,100,0,0.0,0.0,0.13714344688155128
partial_restoration,recovery,100,0,638.5,6.0,0.13714344688155128
partial_restoration,rolling,100,0,638.5,6.0,0.13714344688155128
recovery,context,336,7,646.0,20.5,0.09021781899859836
recovery,persistence,336,336,646.0,20.5,0.11940182838050256
recovery,quantile_raw,336,0,0.0,0.0,0.09021187861109818
recovery,recovery,336,0,646.0,20.5,0.09021187861109818
recovery,rolling,336,0,646.0,20.5,0.09021187861109818
