recovery_hour,method,excess_nwis,n,events
0.0,context,-6.237154448242473e-06,32,8
0.0,persistence,6.594246398226855e-05,32,8
0.0,quantile_raw,0.0,32,8
0.0,recovery,0.0,32,8
0.0,rolling,0.0,32,8
1.0,context,2.559419500214969e-05,30,8
1.0,persistence,-0.00047850302859723533,30,8
1.0,quantile_raw,0.0,30,8
1.0,recovery,0.0,30,8
1.0,rolling,0.0,30,8
2.0,context,0.0,27,8
2.0,persistence,-0.002412091422785914,27,8
2.0,quantile_raw,0.0,27,8
2.0,recovery,0.0,27,8
2.0,rolling,0.0,27,8
3.0,context,0.0,22,8
3.0,persistence,-0.0026952737971300826,22,8
3.0,quantile_raw,0.0,22,8
3.0,recovery,0.0,22,8
3.0,rolling,0.0,22,8
4.0,context,0.0,15,6
4.0,persistence,-0.0025090213497047605,15,6
4.0,quantile_raw,0.0,15,6
4.0,recovery,0.0,15,6
4.0,rolling,0.0,15,6
5.0,context,0.0,9,5
5.0,persistence,-0.002983427934240626,9,5
5.0,quantile_raw,0.0,9,5
5.0,recovery,0.0,9,5
5.0,rolling,0.0,9,5
6.0,context,0.0,4,3
6.0,persistence,-0.0006773024521962274,4,3
6.0,quantile_raw,0.0,4,3
6.0,recovery,0.0,4,3
6.0,rolling,0.0,4,3
7.0,context,0.0,1,1
7.0,persistence,-0.0007435537495381617,1,1
7.0,quantile_raw,0.0,1,1
7.0,recovery,0.0,1,1
7.0,rolling,0.0,1,1
14.0,context,0.0,1,1
14.0,persistence,0.0013307210582792495,1,1
14.0,quantile_raw,0.0,1,1
14.0,recovery,0.0,1,1
14.0,rolling,0.0,1,1
15.0,context,0.0,4,3
15.0,persistence,0.0007405239062747452,4,3
15.0,quantile_raw,0.0,4,3
15.0,recovery,0.0,4,3
15.0,rolling,0.0,4,3
16.0,context,0.0,8,4
16.0,persistence,0.0006838158785863896,8,4
16.0,quantile_raw,0.0,8,4
16.0,recovery,0.0,8,4
16.0,rolling,0.0,8,4
17.0,context,-5.857450492617402e-07,14,6
17.0,persistence,-0.00043904207785811004,14,6
17.0,quantile_raw,0.0,14,6
17.0,recovery,0.0,14,6
17.0,rolling,0.0,14,6
18.0,context,-4.7215968051319415e-06,20,7
18.0,persistence,-0.0018042209791193898,20,7
18.0,quantile_raw,0.0,20,7
18.0,recovery,0.0,20,7
18.0,rolling,0.0,20,7
19.0,context,-9.284852183603643e-06,25,8
19.0,persistence,-0.0025579605608035618,25,8
19.0,quantile_raw,0.0,25,8
19.0,recovery,0.0,25,8
19.0,rolling,0.0,25,8
20.0,context,3.5184707969179813e-07,29,8
20.0,persistence,-0.0018214766132686377,29,8
20.0,quantile_raw,0.0,29,8
20.0,recovery,0.0,29,8
20.0,rolling,0.0,29,8
21.0,context,1.8331056702650206e-06,31,8
21.0,persistence,-0.002384229910847284,31,8
21.0,quantile_raw,0.0,31,8
21.0,recovery,0.0,31,8
21.0,rolling,0.0,31,8
22.0,context,1.456959702099414e-06,32,8
22.0,persistence,-0.0013676938481802028,32,8
22.0,quantile_raw,0.0,32,8
22.0,recovery,0.0,32,8
22.0,rolling,0.0,32,8
23.0,context,6.2371544482398705e-06,32,8
23.0,persistence,5.878558894928366e-05,32,8
23.0,quantile_raw,0.0,32,8
23.0,recovery,0.0,32,8
23.0,rolling,0.0,32,8
