recovery_hour,method,nwis,n,events
0.0,context,0.1110856067497393,32,8
0.0,persistence,0.0725532826875209,32,8
0.0,quantile_raw,0.1110856067497393,32,8
0.0,recovery,0.1110856067497393,32,8
0.0,rolling,0.1110856067497393,32,8
1.0,context,0.0927114837553824,30,8
1.0,persistence,0.09568457250749086,30,8
1.0,quantile_raw,0.09268588956038025,30,8
1.0,recovery,0.09268588956038025,30,8
1.0,rolling,0.09268588956038025,30,8
2.0,context,0.07430660653101079,27,8
2.0,persistence,0.12995791243422078,27,8
2.0,quantile_raw,0.07430660653101079,27,8
2.0,recovery,0.07430660653101079,27,8
2.0,rolling,0.07430660653101079,27,8
3.0,context,0.05285525100834427,22,8
3.0,persistence,0.13541472816987224,22,8
3.0,quantile_raw,0.05285525100834427,22,8
3.0,recovery,0.05285525100834427,22,8
3.0,rolling,0.05285525100834427,22,8
4.0,context,0.04077234963929781,15,6
4.0,persistence,0.1565269997830434,15,6
4.0,quantile_raw,0.04077234963929781,15,6
4.0,recovery,0.04077234963929781,15,6
4.0,rolling,0.04077234963929781,15,6
5.0,context,0.025613248609867908,9,5
5.0,persistence,0.14489967251276822,9,5
5.0,quantile_raw,0.025613248609867908,9,5
5.0,recovery,0.025613248609867908,9,5
5.0,rolling,0.025613248609867908,9,5
6.0,context,0.02024045114655168,4,3
6.0,persistence,0.13821398754551692,4,3
6.0,quantile_raw,0.02024045114655168,4,3
6.0,recovery,0.02024045114655168,4,3
6.0,rolling,0.02024045114655168,4,3
7.0,context,0.014919807234762782,1,1
7.0,persistence,0.1441509402431087,1,1
7.0,quantile_raw,0.014919807234762782,1,1
7.0,recovery,0.014919807234762782,1,1
7.0,rolling,0.014919807234762782,1,1
14.0,context,0.005700372104251331,1,1
14.0,persistence,0.03175624043485145,1,1
14.0,quantile_raw,0.005700372104251331,1,1
14.0,recovery,0.005700372104251331,1,1
14.0,rolling,0.005700372104251331,1,1
15.0,context,0.015211737627783174,4,3
15.0,persistence,0.03191555491054938,4,3
15.0,quantile_raw,0.015211737627783174,4,3
15.0,recovery,0.015211737627783174,4,3
15.0,rolling,0.015211737627783174,4,3
16.0,context,0.03875488047545897,8,4
16.0,persistence,0.052755591104191965,8,4
16.0,quantile_raw,0.03875488047545897,8,4
16.0,recovery,0.03875488047545897,8,4
16.0,rolling,0.03875488047545897,8,4
17.0,context,0.04737190468503077,14,6
17.0,persistence,0.06876923571792959,14,6
17.0,quantile_raw,0.04737190468503077,14,6
17.0,recovery,0.04737190468503077,14,6
17.0,rolling,0.04737190468503077,14,6
18.0,context,0.06050509297289417,20,7
18.0,persistence,0.09745690581736943,20,7
18.0,quantile_raw,0.06049511352577698,20,7
18.0,recovery,0.06049511352577698,20,7
18.0,rolling,0.06049511352577698,20,7
19.0,context,0.09173478097254917,25,8
19.0,persistence,0.1308591785670308,25,8
19.0,quantile_raw,0.09172638927224297,25,8
19.0,recovery,0.09172638927224297,25,8
19.0,rolling,0.09172638927224297,25,8
20.0,context,0.11491453876268806,29,8
20.0,persistence,0.1393010941043806,29,8
20.0,quantile_raw,0.11490730453828615,29,8
20.0,recovery,0.11490730453828615,29,8
20.0,rolling,0.11490730453828615,29,8
21.0,context,0.13068519793668218,31,8
21.0,persistence,0.1717425938725169,31,8
21.0,quantile_raw,0.13067843043643526,31,8
21.0,recovery,0.13067843043643526,31,8
21.0,rolling,0.13067843043643526,31,8
22.0,context,0.13286605734034618,32,8
22.0,persistence,0.15127914585971997,32,8
22.0,quantile_raw,0.13285982018589793,32,8
22.0,recovery,0.13285982018589793,32,8
22.0,rolling,0.13285982018589793,32,8
23.0,context,0.11535257036339153,32,8
23.0,persistence,0.09750752010330362,32,8
23.0,quantile_raw,0.11534633320894329,32,8
23.0,recovery,0.11534633320894329,32,8
23.0,rolling,0.11534633320894329,32,8
