split,scenario,phase,method,horizon,n,nwis,wis_kw,mae_kw,coverage50,coverage80,coverage90,width90_kw,events
calibration,clean,background,context,1,630,0.08855635835808202,23.972206207532803,69.26326524967207,0.6063492063492063,0.8365079365079365,0.9380952380952381,134.76574251769767,0
calibration,clean,background,context,2,630,0.09411666142175569,25.477380246869263,61.97308732539983,0.526984126984127,0.8063492063492064,0.9603174603174603,147.77537388513957,0
calibration,clean,background,context,3,630,0.11117536358898868,30.095170923539232,89.47246143662053,0.5301587301587302,0.7888888888888889,0.9444444444444444,151.80463072117195,0
calibration,clean,background,context,4,630,0.11899292625491305,32.211385137204964,102.18036177248676,0.5095238095238095,0.765079365079365,0.9015873015873016,142.86687534709014,0
calibration,clean,background,persistence,1,630,0.06616295565289286,17.910312095238094,30.748868148148148,0.19682539682539682,0.6301587301587301,0.8111111111111111,90.67210743386242,0
calibration,clean,background,persistence,2,630,0.1067622593324158,28.900543601284962,51.38375722222222,0.22380952380952382,0.6206349206349207,0.8015873015873016,143.2125089153439,0
calibration,clean,background,persistence,3,630,0.1382379184240293,37.42100451738473,67.59195544973545,0.24444444444444444,0.638095238095238,0.7761904761904762,179.5402977777778,0
calibration,clean,background,persistence,4,630,0.15907322981542493,43.06112331103552,80.12243455026454,0.29365079365079366,0.6428571428571429,0.7857142857142857,203.2405601058201,0
calibration,clean,background,quantile_raw,1,630,0.08855288177465163,23.971265096398195,69.26326524967207,0.6063492063492063,0.8365079365079365,0.9380952380952381,134.76574251769767,0
calibration,clean,background,quantile_raw,2,630,0.09419872883029036,25.499595894359597,61.97308732539983,0.526984126984127,0.8031746031746032,0.9603174603174603,147.75199277462238,0
calibration,clean,background,quantile_raw,3,630,0.11128664901392667,30.12529588806995,89.47246143662053,0.5301587301587302,0.780952380952381,0.9444444444444444,151.76837480208377,0
calibration,clean,background,quantile_raw,4,630,0.12197875600433868,33.01964925037448,102.18036177248676,0.5079365079365079,0.6793650793650794,0.8047619047619048,137.14277624829506,0
calibration,clean,background,recovery,1,630,0.08855605609220735,23.972124384160526,69.26326524967207,0.6063492063492063,0.8365079365079365,0.9380952380952381,134.76574251769767,0
calibration,clean,background,recovery,2,630,0.09421400270342012,25.503730531815826,61.97308732539983,0.526984126984127,0.8031746031746032,0.9603174603174603,147.75199277462238,0
calibration,clean,background,recovery,3,630,0.11128738917601376,30.125496249946924,89.47246143662053,0.5301587301587302,0.780952380952381,0.9444444444444444,151.76837480208377,0
calibration,clean,background,recovery,4,630,0.12150883253301446,32.89244096668701,102.18036177248676,0.5079365079365079,0.7015873015873015,0.8269841269841269,138.99896992676625,0
calibration,clean,background,rolling,1,630,0.08855605609220735,23.972124384160526,69.26326524967207,0.6063492063492063,0.8365079365079365,0.9380952380952381,134.76574251769767,0
calibration,clean,background,rolling,2,630,0.09421400270342012,25.503730531815826,61.97308732539983,0.526984126984127,0.8031746031746032,0.9603174603174603,147.75199277462238,0
calibration,clean,background,rolling,3,630,0.11128738917601376,30.125496249946924,89.47246143662053,0.5301587301587302,0.780952380952381,0.9444444444444444,151.76837480208377,0
calibration,clean,background,rolling,4,630,0.12148319278802386,32.88550028771806,102.18036177248676,0.5079365079365079,0.6984126984126984,0.8317460317460318,139.3048722085147,0
calibration,irradiance_first,background,context,1,493,0.08855702861724368,23.972387646687864,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,irradiance_first,background,context,2,499,0.0944434030092465,25.56582919460303,62.70427590530975,0.5270541082164328,0.8156312625250501,0.9539078156312625,147.84948409651295,0
calibration,irradiance_first,background,context,3,505,0.1119256547305946,30.298274735571955,90.55094844956314,0.5326732673267327,0.7920792079207921,0.9386138613861386,152.3340886553619,0
calibration,irradiance_first,background,context,4,511,0.11988648046128803,32.45327026087067,103.40070841487281,0.5185909980430529,0.7671232876712328,0.9080234833659491,144.45343402007958,0
calibration,irradiance_first,background,persistence,1,493,0.06513191968863008,17.63121065971216,30.96695848546315,0.2150101419878296,0.665314401622718,0.8600405679513184,96.22644983096687,0
calibration,irradiance_first,background,persistence,2,499,0.10549432062006048,28.557312591850366,51.66570297261189,0.23446893787575152,0.6432865731462926,0.8196392785571143,149.67367434869738,0
calibration,irradiance_first,background,persistence,3,505,0.13631058210095642,36.8992745747289,68.08352442244225,0.25544554455445545,0.6574257425742575,0.7960396039603961,184.3975572937294,0
calibration,irradiance_first,background,persistence,4,511,0.15705924954534295,42.51593885192433,80.46060991519896,0.2974559686888454,0.6594911937377691,0.8003913894324853,206.11645273972601,0
calibration,irradiance_first,background,quantile_raw,1,493,0.0885528230680762,23.971249204528227,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,irradiance_first,background,quantile_raw,2,499,0.09451570364279953,25.58540097610583,62.70427590530975,0.5270541082164328,0.8136272545090181,0.9539078156312625,147.81787080185015,0
calibration,irradiance_first,background,quantile_raw,3,505,0.11201217615001959,30.321696083810302,90.55094844956314,0.5326732673267327,0.7861386138613862,0.9386138613861386,152.30681715171852,0
calibration,irradiance_first,background,quantile_raw,4,511,0.12256739280235339,33.17899323159706,103.40070841487281,0.5166340508806262,0.684931506849315,0.8101761252446184,139.38842588313705,0
calibration,irradiance_first,background,recovery,1,493,0.08855687949821839,23.972347280167718,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,irradiance_first,background,recovery,2,499,0.0945349872902379,25.590621059467402,62.70427590530975,0.5270541082164328,0.8136272545090181,0.9539078156312625,147.81787080185015,0
calibration,irradiance_first,background,recovery,3,505,0.11201309952054407,30.32194604021128,90.55094844956314,0.5326732673267327,0.7861386138613862,0.9386138613861386,152.30681715171852,0
calibration,irradiance_first,background,recovery,4,511,0.12199358408694065,33.02366321233483,103.40070841487281,0.5166340508806262,0.7084148727984344,0.8414872798434442,141.63995850605338,0
calibration,irradiance_first,background,rolling,1,493,0.08855687949821839,23.972347280167718,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
