recovery_hour,method,nwis,excess_nwis,n,events
2.0,context,0.005700372104251331,0.0,1,1
2.0,persistence,0.03460930128238957,0.00418378190581737,1,1
2.0,quantile_raw,0.005700372104251331,0.0,1,1
2.0,recovery,0.005700372104251331,0.0,1,1
2.0,rolling,0.005700372104251331,0.0,1,1
3.0,context,0.015211737627783174,0.0,4,3
3.0,persistence,0.03331701848822277,0.002141987483948139,4,3
3.0,quantile_raw,0.015211737627783174,0.0,4,3
3.0,recovery,0.015211737627783174,0.0,4,3
3.0,rolling,0.015211737627783174,0.0,4,3
4.0,context,0.03875488047545897,0.0,8,4
4.0,persistence,0.05249801022921175,0.0004262350036061788,8,4
4.0,quantile_raw,0.03875488047545897,0.0,8,4
4.0,recovery,0.03875488047545897,0.0,8,4
4.0,rolling,0.03875488047545897,0.0,8,4
5.0,context,0.04737190468503077,-5.857450492617402e-07,14,6
5.0,persistence,0.06684756149966452,-0.0023607162961231803,14,6
5.0,quantile_raw,0.04737190468503077,0.0,14,6
5.0,recovery,0.04737190468503077,0.0,14,6
5.0,rolling,0.04737190468503077,0.0,14,6
6.0,context,0.06049511352577698,-1.4701043922318511e-05,20,7
6.0,persistence,0.09184478318996606,-0.007416343606522777,20,7
6.0,quantile_raw,0.06049511352577698,0.0,20,7
6.0,recovery,0.06049511352577698,0.0,20,7
6.0,rolling,0.06049511352577698,0.0,20,7
7.0,context,0.09172638927224297,-1.7676552489794828e-05,25,8
7.0,persistence,0.12450306207891357,-0.00891407704892079,25,8
7.0,quantile_raw,0.09172638927224297,0.0,25,8
7.0,recovery,0.09172638927224297,0.0,25,8
7.0,rolling,0.09172638927224297,0.0,25,8
8.0,context,0.11490730453828615,-6.882377322197633e-06,29,8
8.0,persistence,0.13488898207105218,-0.006233588646597053,29,8
8.0,quantile_raw,0.11490730453828615,0.0,29,8
8.0,recovery,0.11490730453828615,0.0,29,8
8.0,rolling,0.11490730453828615,0.0,29,8
9.0,context,0.13067843043643526,-4.934394576663802e-06,31,8
9.0,persistence,0.16392740899880098,-0.010199414784563203,31,8
9.0,quantile_raw,0.13067843043643526,0.0,31,8
9.0,recovery,0.13067843043643526,0.0,31,8
9.0,rolling,0.13067843043643526,0.0,31,8
10.0,context,0.13286460038064407,0.0,32,8
10.0,persistence,0.1443722922383767,-0.008274547469523457,32,8
10.0,quantile_raw,0.13285982018589793,0.0,32,8
10.0,recovery,0.13285982018589793,0.0,32,8
10.0,rolling,0.13285982018589793,0.0,32,8
11.0,context,0.11534633320894329,0.0,32,8
11.0,persistence,0.09555174014239978,-0.001896994371954547,32,8
11.0,quantile_raw,0.11534633320894329,0.0,32,8
11.0,recovery,0.11534633320894329,0.0,32,8
11.0,rolling,0.11534633320894329,0.0,32,8
12.0,context,0.09992298134542438,0.0,32,8
12.0,persistence,0.09107630190467396,-0.0009909423815240895,32,8
12.0,quantile_raw,0.09992298134542438,0.0,32,8
12.0,recovery,0.09992298134542438,0.0,32,8
12.0,rolling,0.09992298134542438,0.0,32,8
13.0,context,0.08948262656643344,0.0,30,8
13.0,persistence,0.08457926903208027,-0.0007440534827402187,30,8
13.0,quantile_raw,0.08948262656643344,0.0,30,8
13.0,recovery,0.08948262656643344,0.0,30,8
13.0,rolling,0.08948262656643344,0.0,30,8
14.0,context,0.06398317671427982,0.0,26,8
14.0,persistence,0.10415128012302931,-0.0024951109320429632,26,8
14.0,quantile_raw,0.06398317671427982,0.0,26,8
14.0,recovery,0.06398317671427982,0.0,26,8
14.0,rolling,0.06398317671427982,0.0,26,8
15.0,context,0.054773004293804016,0.0,21,8
15.0,persistence,0.10731672408897064,-0.0038711838879130064,21,8
15.0,quantile_raw,0.054773004293804016,0.0,21,8
15.0,recovery,0.054773004293804016,0.0,21,8
15.0,rolling,0.054773004293804016,0.0,21,8
16.0,context,0.03998260552141244,0.0,14,6
16.0,persistence,0.13023829075036,-0.003507848950440912,14,6
16.0,quantile_raw,0.03998260552141244,0.0,14,6
16.0,recovery,0.03998260552141244,0.0,14,6
16.0,rolling,0.03998260552141244,0.0,14,6
17.0,context,0.025076397385812004,0.0,8,4
17.0,persistence,0.1466139423584358,-0.010008311344486072,8,4
17.0,quantile_raw,0.025076397385812004,0.0,8,4
17.0,recovery,0.025076397385812004,0.0,8,4
17.0,rolling,0.025076397385812004,0.0,8,4
18.0,context,0.020092637685142953,0.0,4,3
18.0,persistence,0.08262386317659683,-0.0023309147800235856,4,3
18.0,quantile_raw,0.020092637685142953,0.0,4,3
18.0,recovery,0.020092637685142953,0.0,4,3
18.0,rolling,0.020092637685142953,0.0,4,3
19.0,context,0.013916916890657497,0.0,1,1
19.0,persistence,0.08449650817105565,-0.0044383960455257054,1,1
19.0,quantile_raw,0.013916916890657497,0.0,1,1
19.0,recovery,0.013916916890657497,0.0,1,1
19.0,rolling,0.013916916890657497,0.0,1,1
