site,case_id,case_group,phase,method,n,fallback_fraction,global_fallback_fraction,mean_pool,mean_effective_n,mean_score_age_h,nesting_repaired_fraction
reserve10,clean,primary,normal,aci_bounded,15836,0.0,0.0,359.2281510482445,359.2281510482445,4.848130841121495,0.23313968173781258
reserve10,clean,primary,normal,mask50,15836,0.0,0.04533973225562011,359.2281510482445,245.09361016536707,4.848130841121495,0.23762313715584743
reserve10,clean,primary,normal,mi_recency,15836,0.0,0.0,359.2281510482445,265.5394118637036,4.848130841121495,0.39043950492548624
reserve10,clean,primary,normal,physical,15836,0.0,0.0,359.2281510482445,190.5701810337676,4.848130841121495,0.26098762313715584
reserve10,clean,primary,normal,physical_availability,15836,0.0,0.004609749936852741,359.2281510482445,170.9891969040232,4.848130841121495,0.2642081333670119
reserve10,clean,primary,normal,physical_recovery,15836,0.0,0.007893407426117707,359.2281510482445,172.30198867873722,4.848130841121495,0.2624400101035615
reserve10,clean,primary,normal,recency,15836,0.0,0.0,359.2281510482445,265.5394118637036,4.848130841121495,0.23654963374589544
reserve10,clean,primary,normal,rolling,15836,0.0,0.0,359.2281510482445,359.2281510482445,4.848130841121495,0.22461480171760545
reserve10,pv_only,primary,normal,aci_bounded,12450,0.0,0.0,359.81751004016064,359.81751004016064,4.885060240963855,0.2270682730923695
reserve10,pv_only,primary,normal,mask50,12450,0.0,0.05566265060240964,359.81751004016064,235.48250421294637,4.885060240963855,0.23261044176706827
reserve10,pv_only,primary,normal,mi_recency,12450,0.0,0.0,359.81751004016064,266.0828408657243,4.885060240963855,0.3895582329317269
reserve10,pv_only,primary,normal,physical,12450,0.0,0.0,359.81751004016064,190.45539674944143,4.885060240963855,0.2556626506024096
reserve10,pv_only,primary,normal,physical_availability,12450,0.0,0.004899598393574297,359.81751004016064,163.62770881055727,4.885060240963855,0.2640160642570281
reserve10,pv_only,primary,normal,physical_recovery,12450,0.0,0.008433734939759036,359.81751004016064,158.36694608199244,4.885060240963855,0.26160642570281123
reserve10,pv_only,primary,normal,recency,12450,0.0,0.0,359.81751004016064,266.0828408657243,4.885060240963855,0.23269076305220884
reserve10,pv_only,primary,normal,rolling,12450,0.0,0.0,359.81751004016064,359.81751004016064,4.885060240963855,0.22224899598393574
reserve10,pv_only,primary,partial_restoration,aci_bounded,1193,0.0,0.0,352.9916177703269,352.9916177703269,14.559932942162614,0.25230511316010057
reserve10,pv_only,primary,partial_restoration,mask50,1193,0.0,0.22296730930427494,352.9916177703269,234.60314554249342,14.559932942162614,0.2564962279966471
reserve10,pv_only,primary,partial_restoration,mi_recency,1193,0.0,0.0,352.9916177703269,261.28135847745074,14.559932942162614,0.39983235540653816
reserve10,pv_only,primary,partial_restoration,physical,1193,0.0,0.0,352.9916177703269,188.7205217713065,14.559932942162614,0.30176026823134955
reserve10,pv_only,primary,partial_restoration,physical_availability,1193,0.0,0.09052808046940486,352.9916177703269,143.87744773378648,14.559932942162614,0.28918692372170995
reserve10,pv_only,primary,partial_restoration,physical_recovery,1193,0.0,0.09052808046940486,352.9916177703269,144.11251447305906,14.559932942162614,0.2900251466890193
reserve10,pv_only,primary,partial_restoration,recency,1193,0.0,0.0,352.9916177703269,261.28135847745074,14.559932942162614,0.2640402347024308
reserve10,pv_only,primary,partial_restoration,rolling,1193,0.0,0.0,352.9916177703269,352.9916177703269,14.559932942162614,0.24224643755238895
reserve10,pv_only,primary,recovery_0_6,aci_bounded,510,0.0,0.0,365.03333333333336,365.03333333333336,4.529411764705882,0.2235294117647059
reserve10,pv_only,primary,recovery_0_6,mask50,510,0.0,0.0,365.03333333333336,237.30345722393216,4.529411764705882,0.22941176470588234
reserve10,pv_only,primary,recovery_0_6,mi_recency,510,0.0,0.0,365.03333333333336,270.0336886055249,4.529411764705882,0.3686274509803922
reserve10,pv_only,primary,recovery_0_6,physical,510,0.0,0.0,365.03333333333336,193.53705051595563,4.529411764705882,0.22745098039215686
reserve10,pv_only,primary,recovery_0_6,physical_availability,510,0.0,0.0,365.03333333333336,170.19808035117964,4.529411764705882,0.2235294117647059
reserve10,pv_only,primary,recovery_0_6,physical_recovery,510,0.0,0.027450980392156862,365.03333333333336,144.83803683559938,4.529411764705882,0.22549019607843138
reserve10,pv_only,primary,recovery_0_6,recency,510,0.0,0.0,365.03333333333336,270.0336886055249,4.529411764705882,0.23529411764705882
reserve10,pv_only,primary,recovery_0_6,rolling,510,0.0,0.0,365.03333333333336,365.03333333333336,4.529411764705882,0.22156862745098038
reserve10,pv_only,primary,recovery_6_24,aci_bounded,1683,0.0,0.0,355.2002376708259,355.2002376708259,4.796197266785502,0.24896019013666074
reserve10,pv_only,primary,recovery_6_24,mask50,1683,0.0,0.026143790849673203,355.2002376708259,230.98065661898073,4.796197266785502,0.25549613784907904
reserve10,pv_only,primary,recovery_6_24,mi_recency,1683,0.0,0.0,355.2002376708259,262.3236575724708,4.796197266785502,0.39334521687462864
reserve10,pv_only,primary,recovery_6_24,physical,1683,0.0,0.0,355.2002376708259,189.2869721614824,4.796197266785502,0.28520499108734404
reserve10,pv_only,primary,recovery_6_24,physical_availability,1683,0.0,0.0071301247771836,355.2002376708259,166.972306739344,4.796197266785502,0.27807486631016043
reserve10,pv_only,primary,recovery_6_24,physical_recovery,1683,0.0,0.0112893642305407,355.2002376708259,147.62373426860364,4.796197266785502,0.2947118241235888
reserve10,pv_only,primary,recovery_6_24,recency,1683,0.0,0.0,355.2002376708259,262.3236575724708,4.796197266785502,0.25252525252525254
reserve10,pv_only,primary,recovery_6_24,rolling,1683,0.0,0.0,355.2002376708259,355.2002376708259,4.796197266785502,0.23885918003565063
reserve10,irradiance_only,primary,normal,aci_bounded,12450,0.0,0.0,359.81751004016064,359.81751004016064,4.885060240963855,0.22650602409638554
reserve10,irradiance_only,primary,normal,mask50,12450,0.0,0.05534136546184739,359.81751004016064,235.4678701901204,4.885060240963855,0.23261044176706827
reserve10,irradiance_only,primary,normal,mi_recency,12450,0.0,0.0,359.81751004016064,266.0828408657243,4.885060240963855,0.39309236947791165
reserve10,irradiance_only,primary,normal,physical,12450,0.0,0.0,359.81751004016064,187.56403734862099,4.885060240963855,0.25662650602409637
reserve10,irradiance_only,primary,normal,physical_availability,12450,0.0,0.0045783132530120485,359.81751004016064,161.96569982341595,4.885060240963855,0.26506024096385544
reserve10,irradiance_only,primary,normal,physical_recovery,12450,0.0,0.008112449799196788,359.81751004016064,156.72875752628707,4.885060240963855,0.26265060240963856
reserve10,irradiance_only,primary,normal,recency,12450,0.0,0.0,359.81751004016064,266.0828408657243,4.885060240963855,0.2304417670682731
reserve10,irradiance_only,primary,normal,rolling,12450,0.0,0.0,359.81751004016064,359.81751004016064,4.885060240963855,0.22
reserve10,irradiance_only,primary,partial_restoration,aci_bounded,1193,0.0,0.0,356.2782900251467,356.2782900251467,4.672254819782062,0.2548197820620285
reserve10,irradiance_only,primary,partial_restoration,mask50,1193,0.0,0.22212908633696563,356.2782900251467,235.64829507160806,4.672254819782062,0.26236378876781224
reserve10,irradiance_only,primary,partial_restoration,mi_recency,1193,0.0,0.0,356.2782900251467,262.4835378139631,4.672254819782062,0.3738474434199497
reserve10,irradiance_only,primary,partial_restoration,physical,1193,0.0,0.0,356.2782900251467,185.8937323398417,4.672254819782062,0.2875104777870914
reserve10,irradiance_only,primary,partial_restoration,physical_availability,1193,0.0,0.053646269907795474,356.2782900251467,125.89083441772063,4.672254819782062,0.297569153394803
reserve10,irradiance_only,primary,partial_restoration,physical_recovery,1193,0.0,0.056160938809723386,356.2782900251467,126.14811377728645,4.672254819782062,0.297569153394803
reserve10,irradiance_only,primary,partial_restoration,recency,1193,0.0,0.0,356.2782900251467,262.4835378139631,4.672254819782062,0.26655490360435874
reserve10,irradiance_only,primary,partial_restoration,rolling,1193,0.0,0.0,356.2782900251467,356.2782900251467,4.672254819782062,0.24811399832355407
reserve10,irradiance_only,primary,recovery_0_6,aci_bounded,510,0.0,0.0,365.03333333333336,365.03333333333336,4.529411764705882,0.21568627450980393
reserve10,irradiance_only,primary,recovery_0_6,mask50,510,0.0,0.0,365.03333333333336,237.30345722393216,4.529411764705882,0.22745098039215686
reserve10,irradiance_only,primary,recovery_0_6,mi_recency,510,0.0,0.0,365.03333333333336,270.0336886055249,4.529411764705882,0.3686274509803922
reserve10,irradiance_only,primary,recovery_0_6,physical,510,0.0,0.0,365.03333333333336,189.58175191900614,4.529411764705882,0.22941176470588234
reserve10,irradiance_only,primary,recovery_0_6,physical_availability,510,0.0,0.0,365.03333333333336,168.5130323911607,4.529411764705882,0.22745098039215686
reserve10,irradiance_only,primary,recovery_0_6,physical_recovery,510,0.0,0.027450980392156862,365.03333333333336,142.48847905750645,4.529411764705882,0.23333333333333334
reserve10,irradiance_only,primary,recovery_0_6,recency,510,0.0,0.0,365.03333333333336,270.0336886055249,4.529411764705882,0.22549019607843138
reserve10,irradiance_only,primary,recovery_0_6,rolling,510,0.0,0.0,365.03333333333336,365.03333333333336,4.529411764705882,0.21176470588235294
reserve10,irradiance_only,primary,recovery_6_24,aci_bounded,1683,0.0,0.0,355.2002376708259,355.2002376708259,4.796197266785502,0.24717765894236482
reserve10,irradiance_only,primary,recovery_6_24,mask50,1683,0.0,0.026143790849673203,355.2002376708259,230.98065661898073,4.796197266785502,0.2560903149138443
reserve10,irradiance_only,primary,recovery_6_24,mi_recency,1683,0.0,0.0,355.2002376708259,262.3236575724708,4.796197266785502,0.39572192513368987
reserve10,irradiance_only,primary,recovery_6_24,physical,1683,0.0,0.0,355.2002376708259,188.42348385172843,4.796197266785502,0.28045157456922165
reserve10,irradiance_only,primary,recovery_6_24,physical_availability,1683,0.0,0.0071301247771836,355.2002376708259,164.78657988488902,4.796197266785502,0.2798573975044563
reserve10,irradiance_only,primary,recovery_6_24,physical_recovery,1683,0.0,0.0112893642305407,355.2002376708259,145.5594147970793,4.796197266785502,0.29590017825311943
reserve10,irradiance_only,primary,recovery_6_24,recency,1683,0.0,0.0,355.2002376708259,262.3236575724708,4.796197266785502,0.25074272133095665
reserve10,irradiance_only,primary,recovery_6_24,rolling,1683,0.0,0.0,355.2002376708259,355.2002376708259,4.796197266785502,0.23469994058229351
reserve10,joint_immediate,primary,normal,aci_bounded,12450,0.0,0.0,359.81751004016064,359.81751004016064,4.885060240963855,0.23036144578313253
reserve10,joint_immediate,primary,normal,mask50,12450,0.0,0.05518072289156627,359.81751004016064,235.3957842662013,4.885060240963855,0.23269076305220884
reserve10,joint_immediate,primary,normal,mi_recency,12450,0.0,0.0,359.81751004016064,266.0828408657243,4.885060240963855,0.38819277108433736
reserve10,joint_immediate,primary,normal,physical,12450,0.0,0.0,359.81751004016064,186.88957309199557,4.885060240963855,0.2568674698795181
reserve10,joint_immediate,primary,normal,physical_availability,12450,0.0,0.004257028112449799,359.81751004016064,161.58790883789177,4.885060240963855,0.2657028112449799
reserve10,joint_immediate,primary,normal,physical_recovery,12450,0.0,0.007791164658634538,359.81751004016064,156.64352842115508,4.885060240963855,0.2632931726907631
reserve10,joint_immediate,primary,normal,recency,12450,0.0,0.0,359.81751004016064,266.0828408657243,4.885060240963855,0.23301204819277108
reserve10,joint_immediate,primary,normal,rolling,12450,0.0,0.0,359.81751004016064,359.81751004016064,4.885060240963855,0.22048192771084338
reserve10,joint_immediate,primary,outage,aci_bounded,1193,0.0,0.0,352.9916177703269,352.9916177703269,14.559932942162614,0.2573344509639564
reserve10,joint_immediate,primary,outage,mask50,1193,0.0,0.2196144174350377,352.9916177703269,233.66856395446732,14.559932942162614,0.26655490360435874
reserve10,joint_immediate,primary,outage,mi_recency,1193,0.0,0.0,352.9916177703269,261.28135847745074,14.559932942162614,0.3721709974853311
reserve10,joint_immediate,primary,outage,physical,1193,0.0,0.0,352.9916177703269,189.06197478535344,14.559932942162614,0.30259849119865884
reserve10,joint_immediate,primary,outage,physical_availability,1193,0.0,0.009220452640402346,352.9916177703269,122.64558891245251,14.559932942162614,0.32606873428331934
reserve10,joint_immediate,primary,outage,physical_recovery,1193,0.0,0.009220452640402346,352.9916177703269,122.64558891245251,14.559932942162614,0.32606873428331934
reserve10,joint_immediate,primary,outage,recency,1193,0.0,0.0,352.9916177703269,261.28135847745074,14.559932942162614,0.26487845766974016
reserve10,joint_immediate,primary,outage,rolling,1193,0.0,0.0,352.9916177703269,352.9916177703269,14.559932942162614,0.24056999161777032
reserve10,joint_immediate,primary,recovery_0_6,aci_bounded,510,0.0,0.0,365.03333333333336,365.03333333333336,4.529411764705882,0.21176470588235294
reserve10,joint_immediate,primary,recovery_0_6,mask50,510,0.0,0.0,365.03333333333336,237.30345722393216,4.529411764705882,0.22745098039215686
reserve10,joint_immediate,primary,recovery_0_6,mi_recency,510,0.0,0.0,365.03333333333336,270.0336886055249,4.529411764705882,0.36470588235294116
reserve10,joint_immediate,primary,recovery_0_6,physical,510,0.0,0.0,365.03333333333336,188.73912338291368,4.529411764705882,0.22745098039215686
reserve10,joint_immediate,primary,recovery_0_6,physical_availability,510,0.0,0.0,365.03333333333336,168.2579900818462,4.529411764705882,0.22549019607843138
reserve10,joint_immediate,primary,recovery_0_6,physical_recovery,510,0.0,0.01568627450980392,365.03333333333336,141.39720276008018,4.529411764705882,0.23529411764705882
reserve10,joint_immediate,primary,recovery_0_6,recency,510,0.0,0.0,365.03333333333336,270.0336886055249,4.529411764705882,0.22156862745098038
reserve10,joint_immediate,primary,recovery_0_6,rolling,510,0.0,0.0,365.03333333333336,365.03333333333336,4.529411764705882,0.21372549019607842
reserve10,joint_immediate,primary,recovery_6_24,aci_bounded,1683,0.0,0.0,355.2002376708259,355.2002376708259,4.796197266785502,0.25133689839572193
reserve10,joint_immediate,primary,recovery_6_24,mask50,1683,0.0,0.024955436720142603,355.2002376708259,230.90386120682388,4.796197266785502,0.25252525252525254
reserve10,joint_immediate,primary,recovery_6_24,mi_recency,1683,0.0,0.0,355.2002376708259,262.3236575724708,4.796197266785502,0.39215686274509803
reserve10,joint_immediate,primary,recovery_6_24,physical,1683,0.0,0.0,355.2002376708259,187.7001148222572,4.796197266785502,0.28045157456922165
reserve10,joint_immediate,primary,recovery_6_24,physical_availability,1683,0.0,0.0059417706476530005,355.2002376708259,164.4378498040771,4.796197266785502,0.2828282828282828
reserve10,joint_immediate,primary,recovery_6_24,physical_recovery,1683,0.0,0.007724301841948901,355.2002376708259,145.40106060664144,4.796197266785502,0.29411764705882354
reserve10,joint_immediate,primary,recovery_6_24,recency,1683,0.0,0.0,355.2002376708259,262.3236575724708,4.796197266785502,0.25252525252525254
reserve10,joint_immediate,primary,recovery_6_24,rolling,1683,0.0,0.0,355.2002376708259,355.2002376708259,4.796197266785502,0.24123588829471182
reserve10,joint_gradual,primary,normal,aci_bounded,12450,0.0,0.0,359.81751004016064,359.81751004016064,4.885060240963855,0.22955823293172692
reserve10,joint_gradual,primary,normal,mask50,12450,0.0,0.05518072289156627,359.81751004016064,232.56313687853074,4.885060240963855,0.23566265060240965
reserve10,joint_gradual,primary,normal,mi_recency,12450,0.0,0.0,359.81751004016064,266.0828408657243,4.885060240963855,0.38755020080321284
reserve10,joint_gradual,primary,normal,physical,12450,0.0,0.0,359.81751004016064,186.85793386742438,4.885060240963855,0.25734939759036146
reserve10,joint_gradual,primary,normal,physical_availability,12450,0.0,0.0034538152610441766,359.81751004016064,159.5422860313884,4.885060240963855,0.266425702811245
reserve10,joint_gradual,primary,normal,physical_recovery,12450,0.0,0.005943775100401606,359.81751004016064,156.355311430149,4.885060240963855,0.2629718875502008
reserve10,joint_gradual,primary,normal,recency,12450,0.0,0.0,359.81751004016064,266.0828408657243,4.885060240963855,0.2325301204819277
reserve10,joint_gradual,primary,normal,rolling,12450,0.0,0.0,359.81751004016064,359.81751004016064,4.885060240963855,0.2193574297188755
reserve10,joint_gradual,primary,outage,aci_bounded,1193,0.0,0.0,352.9916177703269,352.9916177703269,14.559932942162614,0.2548197820620285
reserve10,joint_gradual,primary,outage,mask50,1193,0.0,0.2196144174350377,352.9916177703269,233.66856395446732,14.559932942162614,0.2640402347024308
reserve10,joint_gradual,primary,outage,mi_recency,1193,0.0,0.0,352.9916177703269,261.28135847745074,14.559932942162614,0.3721709974853311
reserve10,joint_gradual,primary,outage,physical,1193,0.0,0.0,352.9916177703269,189.12074920356164,14.559932942162614,0.30092204526404026
reserve10,joint_gradual,primary,outage,physical_availability,1193,0.0,0.009220452640402346,352.9916177703269,122.67966746234772,14.559932942162614,0.32439228834870076
reserve10,joint_gradual,primary,outage,physical_recovery,1193,0.0,0.009220452640402346,352.9916177703269,122.67966746234772,14.559932942162614,0.32439228834870076
reserve10,joint_gradual,primary,outage,recency,1193,0.0,0.0,352.9916177703269,261.28135847745074,14.559932942162614,0.26320201173512153
reserve10,joint_gradual,primary,outage,rolling,1193,0.0,0.0,352.9916177703269,352.9916177703269,14.559932942162614,0.23973176865046103
reserve10,joint_gradual,primary,recovery_0_6,aci_bounded,510,0.0,0.0,363.2392156862745,363.2392156862745,4.6607843137254905,0.22941176470588234
reserve10,joint_gradual,primary,recovery_0_6,mask50,510,0.0,0.07450980392156863,363.2392156862745,234.00352266575814,4.6607843137254905,0.23137254901960785
reserve10,joint_gradual,primary,recovery_0_6,mi_recency,510,0.0,0.0,363.2392156862745,269.32155139291046,4.6607843137254905,0.3607843137254902
reserve10,joint_gradual,primary,recovery_0_6,physical,510,0.0,0.0,363.2392156862745,188.6315904812879,4.6607843137254905,0.22549019607843138
reserve10,joint_gradual,primary,recovery_0_6,physical_availability,510,0.0,0.00784313725490196,363.2392156862745,141.16642986890352,4.6607843137254905,0.23529411764705882
reserve10,joint_gradual,primary,recovery_0_6,physical_recovery,510,0.0,0.027450980392156862,363.2392156862745,142.21332916084714,4.6607843137254905,0.23921568627450981
reserve10,joint_gradual,primary,recovery_0_6,recency,510,0.0,0.0,363.2392156862745,269.32155139291046,4.6607843137254905,0.22549019607843138
reserve10,joint_gradual,primary,recovery_0_6,rolling,510,0.0,0.0,363.2392156862745,363.2392156862745,4.6607843137254905,0.22549019607843138
reserve10,joint_gradual,primary,recovery_6_24,aci_bounded,1683,0.0,0.0,355.2002376708259,355.2002376708259,4.796197266785502,0.25074272133095665
reserve10,joint_gradual,primary,recovery_6_24,mask50,1683,0.0,0.024955436720142603,355.2002376708259,228.0402621403545,4.796197266785502,0.25727866904337493
reserve10,joint_gradual,primary,recovery_6_24,mi_recency,1683,0.0,0.0,355.2002376708259,262.3236575724708,4.796197266785502,0.3909685086155674
reserve10,joint_gradual,primary,recovery_6_24,physical,1683,0.0,0.0,355.2002376708259,187.61985299924274,4.796197266785502,0.28045157456922165
reserve10,joint_gradual,primary,recovery_6_24,physical_availability,1683,0.0,0.0,355.2002376708259,161.75072786631142,4.796197266785502,0.28342245989304815
reserve10,joint_gradual,primary,recovery_6_24,physical_recovery,1683,0.0,0.0071301247771836,355.2002376708259,145.2728504174123,4.796197266785502,0.29530600118835415
reserve10,joint_gradual,primary,recovery_6_24,recency,1683,0.0,0.0,355.2002376708259,262.3236575724708,4.796197266785502,0.2501485442661913
