site,case_id,case_group,horizon,n,events,days,population,endpoint,low_event_support,low_case_support
reserve10,clean,primary,1,3959,0,326,recorded_ac,all,False,False
reserve10,clean,primary,2,3959,0,325,recorded_ac,all,False,False
reserve10,clean,primary,3,3959,0,325,recorded_ac,all,False,False
reserve10,clean,primary,4,3959,0,325,recorded_ac,all,False,False
reserve10,clean,primary,1,3954,0,326,exclude_bright_zero,all,False,False
reserve10,clean,primary,2,3954,0,325,exclude_bright_zero,all,False,False
reserve10,clean,primary,3,3954,0,325,exclude_bright_zero,all,False,False
reserve10,clean,primary,4,3954,0,325,exclude_bright_zero,all,False,False
reserve10,pv_only,primary,1,301,47,62,recorded_ac,partial_restoration,False,False
reserve10,pv_only,primary,2,298,46,54,recorded_ac,partial_restoration,False,False
reserve10,pv_only,primary,3,297,45,47,recorded_ac,partial_restoration,False,False
reserve10,pv_only,primary,4,297,44,46,recorded_ac,partial_restoration,False,False
reserve10,pv_only,primary,1,135,32,40,recorded_ac,recovery_0_6,False,True
reserve10,pv_only,primary,2,130,31,35,recorded_ac,recovery_0_6,False,True
reserve10,pv_only,primary,3,125,33,33,recorded_ac,recovery_0_6,False,True
reserve10,pv_only,primary,4,120,29,29,recorded_ac,recovery_0_6,True,True
reserve10,pv_only,primary,1,412,45,68,recorded_ac,recovery_6_24,False,False
reserve10,pv_only,primary,2,418,45,60,recorded_ac,recovery_6_24,False,False
reserve10,pv_only,primary,3,424,45,54,recorded_ac,recovery_6_24,False,False
reserve10,pv_only,primary,4,429,45,56,recorded_ac,recovery_6_24,False,False
reserve10,pv_only,primary,1,547,45,83,recorded_ac,recovery,False,False
reserve10,pv_only,primary,2,548,45,75,recorded_ac,recovery,False,False
reserve10,pv_only,primary,3,549,45,68,recorded_ac,recovery,False,False
reserve10,pv_only,primary,4,549,45,65,recorded_ac,recovery,False,False
reserve10,pv_only,primary,1,848,47,107,recorded_ac,failure_recovery,False,False
reserve10,pv_only,primary,2,846,47,99,recorded_ac,failure_recovery,False,False
reserve10,pv_only,primary,3,846,47,92,recorded_ac,failure_recovery,False,False
reserve10,pv_only,primary,4,846,47,91,recorded_ac,failure_recovery,False,False
reserve10,pv_only,primary,1,3959,47,326,recorded_ac,all,False,False
reserve10,pv_only,primary,2,3959,47,325,recorded_ac,all,False,False
reserve10,pv_only,primary,3,3959,47,325,recorded_ac,all,False,False
reserve10,pv_only,primary,4,3959,47,325,recorded_ac,all,False,False
reserve10,pv_only,primary,1,299,47,62,exclude_bright_zero,partial_restoration,False,False
reserve10,pv_only,primary,2,296,46,54,exclude_bright_zero,partial_restoration,False,False
reserve10,pv_only,primary,3,296,45,47,exclude_bright_zero,partial_restoration,False,False
reserve10,pv_only,primary,4,297,44,46,exclude_bright_zero,partial_restoration,False,False
reserve10,pv_only,primary,1,135,32,40,exclude_bright_zero,recovery_0_6,False,True
reserve10,pv_only,primary,2,130,31,35,exclude_bright_zero,recovery_0_6,False,True
reserve10,pv_only,primary,3,125,33,33,exclude_bright_zero,recovery_0_6,False,True
reserve10,pv_only,primary,4,120,29,29,exclude_bright_zero,recovery_0_6,True,True
reserve10,pv_only,primary,1,411,45,68,exclude_bright_zero,recovery_6_24,False,False
reserve10,pv_only,primary,2,416,45,60,exclude_bright_zero,recovery_6_24,False,False
reserve10,pv_only,primary,3,422,45,54,exclude_bright_zero,recovery_6_24,False,False
reserve10,pv_only,primary,4,426,45,56,exclude_bright_zero,recovery_6_24,False,False
reserve10,pv_only,primary,1,546,45,83,exclude_bright_zero,recovery,False,False
reserve10,pv_only,primary,2,546,45,75,exclude_bright_zero,recovery,False,False
reserve10,pv_only,primary,3,547,45,68,exclude_bright_zero,recovery,False,False
reserve10,pv_only,primary,4,546,45,65,exclude_bright_zero,recovery,False,False
reserve10,pv_only,primary,1,845,47,107,exclude_bright_zero,failure_recovery,False,False
reserve10,pv_only,primary,2,842,47,99,exclude_bright_zero,failure_recovery,False,False
reserve10,pv_only,primary,3,843,47,92,exclude_bright_zero,failure_recovery,False,False
reserve10,pv_only,primary,4,843,47,91,exclude_bright_zero,failure_recovery,False,False
reserve10,pv_only,primary,1,3954,47,326,exclude_bright_zero,all,False,False
reserve10,pv_only,primary,2,3954,47,325,exclude_bright_zero,all,False,False
reserve10,pv_only,primary,3,3954,47,325,exclude_bright_zero,all,False,False
reserve10,pv_only,primary,4,3954,47,325,exclude_bright_zero,all,False,False
reserve10,irradiance_only,primary,1,301,47,62,recorded_ac,partial_restoration,False,False
reserve10,irradiance_only,primary,2,298,46,54,recorded_ac,partial_restoration,False,False
reserve10,irradiance_only,primary,3,297,45,47,recorded_ac,partial_restoration,False,False
reserve10,irradiance_only,primary,4,297,44,46,recorded_ac,partial_restoration,False,False
reserve10,irradiance_only,primary,1,135,32,40,recorded_ac,recovery_0_6,False,True
reserve10,irradiance_only,primary,2,130,31,35,recorded_ac,recovery_0_6,False,True
reserve10,irradiance_only,primary,3,125,33,33,recorded_ac,recovery_0_6,False,True
reserve10,irradiance_only,primary,4,120,29,29,recorded_ac,recovery_0_6,True,True
reserve10,irradiance_only,primary,1,412,45,68,recorded_ac,recovery_6_24,False,False
