method,origins,mean_score_updates_all_horizons,max_score_updates_all_horizons,p95_score_updates_all_horizons,fraction_origins_with_updates,site,case_id,case_group
aci_bounded,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,clean,primary
mask50,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,clean,primary
mi_recency,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,clean,primary
physical,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,clean,primary
physical_availability,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,clean,primary
physical_recovery,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,clean,primary
recency,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,clean,primary
rolling,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,clean,primary
aci_bounded,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,pv_only,primary
mask50,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,pv_only,primary
mi_recency,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,pv_only,primary
physical,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,pv_only,primary
physical_availability,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,pv_only,primary
physical_recovery,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,pv_only,primary
recency,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,pv_only,primary
rolling,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,pv_only,primary
aci_bounded,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,irradiance_only,primary
mask50,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,irradiance_only,primary
mi_recency,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,irradiance_only,primary
physical,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,irradiance_only,primary
physical_availability,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,irradiance_only,primary
physical_recovery,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,irradiance_only,primary
recency,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,irradiance_only,primary
rolling,8012,1.9765351972041938,4,4.0,0.49413379930104845,reserve10,irradiance_only,primary
aci_bounded,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,joint_immediate,primary
mask50,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,joint_immediate,primary
mi_recency,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,joint_immediate,primary
physical,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,joint_immediate,primary
physical_availability,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,joint_immediate,primary
physical_recovery,8012,1.9765351972041938,48,4.0,0.45931103344982527,reserve10,joint_immediate,primary
