site,case_id,case_group,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,days,population,endpoint
reserve10,clean,primary,aci_bounded,1,3959,0.03895239063958365,0.0638454784439916,0.5006314725940895,0.8022227835311947,0.9012376862844153,0.30187862762820067,0,326,recorded_ac,all
reserve10,clean,primary,aci_bounded,2,3959,0.05231289611176625,0.08984076565607398,0.5016418287446325,0.7984339479666582,0.8994695630209649,0.40169012716773633,0,325,recorded_ac,all
reserve10,clean,primary,aci_bounded,3,3959,0.058267508930517915,0.10293251575327553,0.49785299318009596,0.7969184137408436,0.9009850972467794,0.43206622788298327,0,325,recorded_ac,all
reserve10,clean,primary,aci_bounded,4,3959,0.06134742374489241,0.11060764603197361,0.4940641576155595,0.8009598383430159,0.9032583985855014,0.4414475528807096,0,325,recorded_ac,all
reserve10,clean,primary,carry_forward,1,3959,0.04145973887979563,0.06677483440562959,0.4160141449861076,0.7011871684768881,0.844152563778732,0.31910421502429714,0,326,recorded_ac,all
reserve10,clean,primary,carry_forward,2,3959,0.053767597096689344,0.09186429006005845,0.3937863096741601,0.6812326345036626,0.8348067693862087,0.38473039885522875,0,325,recorded_ac,all
reserve10,clean,primary,carry_forward,3,3959,0.05986038697268444,0.10576407005125321,0.3867138166203587,0.6809800454660268,0.8186410709775196,0.40096112196352435,0,325,recorded_ac,all
reserve10,clean,primary,carry_forward,4,3959,0.062226393020351316,0.11077454056444631,0.38090426875473604,0.6797171002778479,0.8181358929022481,0.40558228744730535,0,325,recorded_ac,all
reserve10,clean,primary,geometric_persistence,1,3959,0.05165170099211217,0.08001419375801196,0.5423086638039909,0.8590553169992422,0.9421571103814095,0.4766182078785057,0,326,recorded_ac,all
reserve10,clean,primary,geometric_persistence,2,3959,0.07824811834118736,0.13104460531563014,0.5397827734276333,0.8451629199292751,0.931800959838343,0.596460144930769,0,325,recorded_ac,all
reserve10,clean,primary,geometric_persistence,3,3959,0.09950573780006869,0.17635941629050852,0.5294266228845668,0.836574892649659,0.9232129325587269,0.7060798003057419,0,325,recorded_ac,all
reserve10,clean,primary,geometric_persistence,4,3959,0.11556283845899458,0.21430402412677219,0.5271533215458449,0.8259661530689568,0.91765597373074,0.7724368493699157,0,325,recorded_ac,all
reserve10,clean,primary,mask50,1,3959,0.03893442563249341,0.0638454784439916,0.5084617327607982,0.8055064410204598,0.9062894670371305,0.30562317199262357,0,326,recorded_ac,all
reserve10,clean,primary,mask50,2,3959,0.05228324227178285,0.08984076565607398,0.5117453902500632,0.8022227835311947,0.9030058095478656,0.4027756832012461,0,325,recorded_ac,all
reserve10,clean,primary,mask50,3,3959,0.05822872372000351,0.10293251575327553,0.5082091437231624,0.801970194493559,0.9014902753220511,0.4308228693791166,0,325,recorded_ac,all
reserve10,clean,primary,mask50,4,3959,0.061314484324308555,0.11060764603197361,0.4983581712553675,0.8027279616064663,0.8979540287951503,0.43829008269875663,0,325,recorded_ac,all
reserve10,clean,primary,mi_recency,1,3959,0.04467829934101477,0.06802106296469793,0.5117453902500632,0.810558221773175,0.9002273301338722,0.30821062956475864,0,326,recorded_ac,all
reserve10,clean,primary,mi_recency,2,3959,0.059140367574700044,0.09428175625538267,0.5117453902500632,0.7984339479666582,0.9002273301338722,0.4015822495237834,0,325,recorded_ac,all
reserve10,clean,primary,mi_recency,3,3959,0.06543139709469459,0.10459475267897707,0.5099772669866128,0.8027279616064663,0.9004799191715079,0.443249205964398,0,325,recorded_ac,all
reserve10,clean,primary,mi_recency,4,3959,0.06925480455290811,0.11147466396101502,0.5034099520080828,0.8024753725688305,0.8997221520586006,0.4713725153068365,0,325,recorded_ac,all
reserve10,clean,primary,multiple_imputation,1,3959,0.04507368860769569,0.06802106296469793,0.6327355392775954,0.81384187926244,0.8676433442788583,0.25916292210611913,0,326,recorded_ac,all
reserve10,clean,primary,multiple_imputation,2,3959,0.06020489521362117,0.09428175625538267,0.5519070472341501,0.7638292498105582,0.8363223036120232,0.31275200178041906,0,325,recorded_ac,all
reserve10,clean,primary,multiple_imputation,3,3959,0.06704209730095224,0.10459475267897707,0.5344784036372822,0.7441273048749685,0.8204091942409699,0.3324080047764277,0,325,recorded_ac,all
reserve10,clean,primary,multiple_imputation,4,3959,0.0714725849996565,0.11147466396101502,0.5213437736802223,0.73149785299318,0.8095478656226319,0.3452146459640673,0,325,recorded_ac,all
reserve10,clean,primary,persistence,1,3959,0.06907954973814776,0.12526869476306243,0.5572114170245012,0.8605708512250568,0.9472088911341248,0.5504619810569497,0,326,recorded_ac,all
reserve10,clean,primary,persistence,2,3959,0.10636226782879102,0.2100986164658358,0.5564536499115939,0.8403637282141955,0.931800959838343,0.7067710787777095,0,325,recorded_ac,all
reserve10,clean,primary,persistence,3,3959,0.13127507701578697,0.27134876221001125,0.5294266228845668,0.8254609749936853,0.9224551654458196,0.8164139226157586,0,325,recorded_ac,all
reserve10,clean,primary,persistence,4,3959,0.14699114398648286,0.3063850955740161,0.5218489517554938,0.8178833038646123,0.91765597373074,0.8805218310750292,0,325,recorded_ac,all
reserve10,clean,primary,physical,1,3959,0.03883180304187609,0.0638454784439916,0.5029047739328113,0.8072745642839101,0.9083101793382167,0.30789834280591544,0,326,recorded_ac,all
reserve10,clean,primary,physical,2,3959,0.05211941499586046,0.08984076565607398,0.5077039656478909,0.8115685779237181,0.9085627683758525,0.40648016915859114,0,325,recorded_ac,all
