site,case_id,method,horizon,recovery_hour_bin,n,nwis,coverage90,events
reserve10,pv_only,aci_bounded,1,0,22,0.04408843596611555,0.9090909090909091,22
reserve10,pv_only,aci_bounded,1,1,24,0.03846468991229537,0.9166666666666666,24
reserve10,pv_only,aci_bounded,1,2,25,0.03990648981588066,0.88,25
reserve10,pv_only,aci_bounded,1,3,22,0.02635090943865566,0.9545454545454546,22
reserve10,pv_only,aci_bounded,1,4,22,0.02934027781751567,1.0,22
reserve10,pv_only,aci_bounded,1,5,20,0.03487012134924621,0.95,20
reserve10,pv_only,aci_bounded,1,6,17,0.03718188287927113,1.0,17
reserve10,pv_only,aci_bounded,1,7,19,0.035935210105007886,0.9473684210526315,19
reserve10,pv_only,aci_bounded,1,8,20,0.04429863123866053,0.95,20
reserve10,pv_only,aci_bounded,1,9,23,0.040113676419527844,0.9130434782608695,23
reserve10,pv_only,aci_bounded,1,10,21,0.03535531106106014,0.9523809523809523,21
reserve10,pv_only,aci_bounded,1,11,23,0.03770977850154005,0.8695652173913043,23
reserve10,pv_only,aci_bounded,1,12,23,0.038374074054379675,0.8695652173913043,23
reserve10,pv_only,aci_bounded,1,13,23,0.03482320483325408,0.7391304347826086,23
reserve10,pv_only,aci_bounded,1,14,23,0.038343383844007387,0.8695652173913043,23
reserve10,pv_only,aci_bounded,1,15,24,0.0304365117774925,0.875,24
reserve10,pv_only,aci_bounded,1,16,21,0.04073688565621282,0.8095238095238095,21
reserve10,pv_only,aci_bounded,1,17,24,0.027979044080745103,0.9583333333333334,24
reserve10,pv_only,aci_bounded,1,18,25,0.037484032363391095,0.84,25
reserve10,pv_only,aci_bounded,1,19,24,0.04176751683035216,0.875,24
reserve10,pv_only,aci_bounded,1,20,25,0.0443398350813975,0.76,25
reserve10,pv_only,aci_bounded,1,21,27,0.0264822553210555,0.9259259259259259,27
reserve10,pv_only,aci_bounded,1,22,27,0.0388845221042685,0.8888888888888888,27
reserve10,pv_only,aci_bounded,1,23,23,0.046153932420344476,0.8260869565217391,23
reserve10,pv_only,aci_bounded,2,0,24,0.04735490645103425,0.9583333333333334,24
reserve10,pv_only,aci_bounded,2,1,25,0.04595835119702609,1.0,25
reserve10,pv_only,aci_bounded,2,2,22,0.04522258087439501,0.9090909090909091,22
reserve10,pv_only,aci_bounded,2,3,22,0.04024010614083378,1.0,22
reserve10,pv_only,aci_bounded,2,4,20,0.037896130468046546,0.95,20
reserve10,pv_only,aci_bounded,2,5,17,0.06036451361068271,1.0,17
reserve10,pv_only,aci_bounded,2,6,19,0.04574611429461878,1.0,19
reserve10,pv_only,aci_bounded,2,7,20,0.054239526119924567,0.95,20
reserve10,pv_only,aci_bounded,2,8,23,0.055848769306009724,0.9130434782608695,23
reserve10,pv_only,aci_bounded,2,9,21,0.05352770353339394,0.9523809523809523,21
reserve10,pv_only,aci_bounded,2,10,23,0.050582189157888834,0.9565217391304348,23
reserve10,pv_only,aci_bounded,2,11,23,0.050079681821721934,0.9565217391304348,23
reserve10,pv_only,aci_bounded,2,12,23,0.04824537725069335,0.8260869565217391,23
