site,population,endpoint,method,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,forecast_target_pairs,strata,min_events_per_stratum,min_cases_per_stratum,wis_kw,width90_kw
reserve10,exclude_bright_zero,all,aci_bounded,0.0535212247130588,0.09398154855555022,0.49931240515933234,0.8008662114314619,0.9018399089529591,0.39961590673181197,126528,32,0,3954,0.059943771678625864,0.44756981553962943
reserve10,exclude_bright_zero,all,carry_forward,0.055315546411950495,0.09632868134091303,0.3940550708143652,0.6863302984319676,0.8292393778452201,0.3812116815791412,126528,32,0,3954,0.06195341198138456,0.4269570833686382
reserve10,exclude_bright_zero,all,geometric_persistence,0.09005091800462608,0.15755129000083762,0.5252197142134547,0.8290259863429439,0.9172278072837633,0.6314728647877907,126528,32,0,3954,0.10085702816518123,0.7072496085623257
reserve10,exclude_bright_zero,all,mask50,0.0534948760050895,0.09398154855555022,0.5091758345978755,0.8056003414264037,0.9053806272129489,0.4011782743406325,126528,32,0,3954,0.059914261125700245,0.44931966726150846
reserve10,exclude_bright_zero,all,mi_recency,0.06034136480905669,0.09615517830763841,0.5100294006069802,0.8037509484066768,0.9010179564997471,0.40937208276462006,126528,32,0,3954,0.0675823285861435,0.45849673269637453
reserve10,exclude_bright_zero,all,multiple_imputation,0.06165928387680091,0.09615517830763841,0.5561061583206879,0.7613966868993425,0.8341078654527061,0.3173896670742498,126528,32,0,3954,0.06905839794201703,0.3554764271231598
reserve10,exclude_bright_zero,all,persistence,0.11629542263456222,0.23263555450102,0.5346563606474456,0.823303932726353,0.9188717121901872,0.7299906231838599,126528,32,0,3954,0.1302508733507097,0.8175894979659232
reserve10,exclude_bright_zero,all,physical,0.05334739040433216,0.09398154855555022,0.5080298431967628,0.8129583965604451,0.9094982928679818,0.40404808916483936,126528,32,0,3954,0.05974907725285202,0.45253385986462014
reserve10,exclude_bright_zero,all,physical_availability,0.053348708035385585,0.09398154855555022,0.508164200809307,0.812294511886697,0.9101779843196762,0.40481785378083057,126528,32,0,3954,0.05975055299963186,0.4533959962345303
reserve10,exclude_bright_zero,all,physical_recovery,0.05335804426451776,0.09398154855555022,0.5090414769853313,0.8135669575113809,0.910826062215478,0.4051252045325551,126528,32,0,3954,0.0597610095762599,0.4537402290764618
reserve10,exclude_bright_zero,all,previous_day,0.1020846469368667,0.1595618055486242,0.4891486469398078,0.7860631638846738,0.8864045902883156,0.6806608615398299,126528,32,0,3954,0.11433480456929071,0.7623401649246095
reserve10,exclude_bright_zero,all,raw,0.05397216358852145,0.09398154855555022,0.39492444360141626,0.6874683864441072,0.8338944739504299,0.37602627645715436,126528,32,0,3954,0.06044882321914403,0.4211494296320129
reserve10,exclude_bright_zero,all,recency,0.053503957098471236,0.09398154855555022,0.5061488366211432,0.8032767450682853,0.9024326631259484,0.3997109064586332,126528,32,0,3954,0.05992443195028779,0.44767621523366924
reserve10,exclude_bright_zero,all,rolling,0.053511892735510665,0.09398154855555022,0.5071525670207385,0.8017988113302984,0.903199291856348,0.3993852767218057,126528,32,0,3954,0.05993331986377195,0.4473115099284224
reserve10,exclude_bright_zero,all,single_imputation,0.06205331943299834,0.09613451570849975,0.5530080298431967,0.7566704602933738,0.8281724203338392,0.3122470703661703,126528,32,0,3954,0.06949971776495815,0.34971671881011074
reserve10,exclude_bright_zero,failure_recovery,aci_bounded,0.05645351483091811,0.1024796841160844,0.5112674891733119,0.811855710366652,0.909916086087127,0.43016091797831946,24159,28,47,842,0.06322793661062828,0.48178022813571786
reserve10,exclude_bright_zero,failure_recovery,carry_forward,0.059095847132574465,0.10706050469848197,0.40194705052921803,0.6979809953884688,0.825897508808497,0.4018960520241258,24159,28,47,842,0.06618734878848341,0.45012357826702093
reserve10,exclude_bright_zero,failure_recovery,geometric_persistence,0.10362969819882581,0.18305606917455797,0.4989322013560401,0.778884402003141,0.8758509205970737,0.601661209255031,24159,28,47,842,0.11606526198268492,0.6738605543656347
reserve10,exclude_bright_zero,failure_recovery,mask50,0.05643356627583808,0.1024796841160844,0.5183304359109892,0.8150877907548668,0.9140387200837754,0.43189133301287547,24159,28,47,842,0.06320559422893865,0.4837182929744206
reserve10,exclude_bright_zero,failure_recovery,mi_recency,0.06268156888621751,0.10311415943329305,0.48250364026131054,0.7886117434017363,0.9036963184366009,0.4318368070216861,24159,28,47,842,0.07020335715256362,0.48365722386428844
reserve10,exclude_bright_zero,failure_recovery,multiple_imputation,0.0637835441042233,0.10311415943329305,0.5301516988291542,0.7445658899906843,0.8320714115176681,0.33695989999745457,24159,28,47,842,0.0714375693967301,0.37739508799714916
